city,cityname
la,Los Angeles
ny,New York
chic,Chicago
hous,Houston
sand,San Diego
staa,Santa Ana/Anaheim
dlft,Dallas/Fort Worth
phoe,Phoenix
det,Detroit
miam,Miami
phil,Philadelphia
minn,Minneapolis/St. Paul
seat,Seattle
sanj,San Jose
clev,Cleveland
sanb,San Bernardino
pitt,Pittsburgh
oakl,Oakland
sana,San Antonio
rive,Riverside
denv,Denver
sacr,Sacramento
buff,Buffalo
clmo,Columbus
milw,Milwaukee
cinc,Cincinnati
stpe,St. Petersburg
kan,Kansas City
hono,Honolulu
tamp,Tampa
memp,Memphis
indi,Indianapolis
lasv,Las Vegas
balt,Baltimore
salt,Salt Lake City
orla,Orlando
tucs,Tucson
bost,Boston
aust,Austin
atla,Atlanta
