date,mortality,pm10,temp,dewpt,season
1992-01-01,18,38.396892655600006,30.5,29.625,winter
1992-01-02,29,NA,41.5,42.125,winter
1992-01-03,26,20.920903959000004,48,43.625,winter
1992-01-04,27,NA,46,45.5,winter
1992-01-05,25,8.988700560999998,45,30.875,winter
1992-01-06,23,NA,37.5,26.75,winter
1992-01-07,20,24.930442235999998,35,26,winter
1992-01-08,21,NA,38.5,25,winter
1992-01-09,28,38.9774011296,39,44.125,winter
1992-01-10,19,NA,43,28.625,winter
1992-01-11,35,15.988700560999998,39,24,winter
1992-01-12,20,NA,37.5,30.875,winter
1992-01-13,18,53.385875706,43.5,39.5,winter
1992-01-14,18,NA,45.5,18,winter
1992-01-15,19,21.864406781,26.5,11.125,winter
1992-01-16,30,NA,22,-4.125,winter
1992-01-17,21,21.830508474000002,26.5,17.75,winter
1992-01-18,31,NA,28,-0.75,winter
1992-01-19,32,19.300611724000003,15.5,-2.75,winter
1992-01-20,25,NA,24,17,winter
1992-01-21,38,47.101694916,33.5,23.75,winter
1992-01-22,18,NA,32,26.25,winter
1992-01-23,32,24.632768362,43.5,43.375,winter
1992-01-24,24,NA,34,8.625,winter
1992-01-25,34,14.746174266999997,26,22.25,winter
1992-01-26,18,NA,24.5,14.25,winter
1992-01-27,24,58.701009332,24.5,25.5,winter
1992-01-28,28,NA,35.5,26.125,winter
1992-01-29,36,NA,35,28.5,winter
1992-01-30,21,NA,37,33.5,winter
1992-01-31,25,47.320708853,39.5,26.625,winter
1992-02-01,16,NA,33,11.625,winter
1992-02-02,28,14.333365071,31,5.875,winter
1992-02-03,26,NA,36,22.875,winter
1992-02-04,26,69.225576081,37,27.25,winter
1992-02-05,18,NA,34,9.875,winter
1992-02-06,27,27.540769531000002,29,22.5,winter
1992-02-07,27,NA,33.5,27.5,winter
1992-02-08,19,24.270519901000004,32,17.875,winter
1992-02-09,24,NA,25,2.375,winter
1992-02-10,26,22.383926871,22.5,9.375,winter
1992-02-11,17,NA,38.5,24.625,winter
1992-02-12,25,20.776323271,32,1.375,winter
1992-02-13,25,NA,25.5,28.375,winter
1992-02-14,20,34.529994287,38,33.375,winter
1992-02-15,23,NA,44,47.625,winter
1992-02-16,21,13.050838094,45.5,29.75,winter
1992-02-17,25,NA,36,29.125,winter
1992-02-18,20,27.917505378999998,40.5,43.625,winter
1992-02-19,22,NA,49,46.5,winter
1992-02-20,19,20.053851084,41.5,28.5,winter
1992-02-21,14,NA,42,23.5,winter
1992-02-22,21,38.1705330931,42,39.375,winter
1992-02-23,28,NA,46,42,winter
1992-02-24,20,23.591312727000002,43.5,39.125,winter
1992-02-25,29,NA,37,38,winter
1992-02-26,24,18.014108514,38.5,28.5,winter
1992-02-27,17,NA,38.5,26.375,winter
1992-02-28,26,31.92936275,47,34.375,winter
1992-02-29,25,NA,40,7,winter
1992-03-01,28,20.873790082,40,23.5,winter
1992-03-02,26,NA,49,39.375,winter
1992-03-03,28,35.0019884484,42,36.25,winter
1992-03-04,21,NA,40,36.125,winter
1992-03-05,26,57.200359815,47,43.375,winter
1992-03-06,20,NA,46.5,43.75,winter
1992-03-07,19,24.479439810000002,53,54.125,winter
1992-03-08,20,NA,56,48.125,winter
1992-03-09,18,37.3009184738,54.5,44.625,winter
1992-03-10,25,NA,53.5,54.5,winter
