date,mortality,pm10,temp,dewpt,season
1992-01-01,18,33.7409696553,35,24.875,winter
1992-01-02,19,NA,35.5,35.375,winter
1992-01-03,20,NA,38,38.875,winter
1992-01-04,11,NA,42,43.875,winter
1992-01-05,16,NA,43,34.75,winter
1992-01-06,16,NA,42,29.75,winter
1992-01-07,16,17.6735827,41,23.625,winter
1992-01-08,27,NA,32,3.25,winter
1992-01-09,21,NA,33.5,37.5,winter
1992-01-10,21,NA,36.5,19.75,winter
1992-01-11,21,NA,24.5,1.125,winter
1992-01-12,15,NA,23,11,winter
1992-01-13,16,38.135206075,42.5,34.125,winter
1992-01-14,13,NA,48,43.125,winter
1992-01-15,18,NA,28.5,-4.5,winter
1992-01-16,13,NA,14,-12.5,winter
1992-01-17,23,NA,16.5,13.25,winter
1992-01-18,26,NA,19.5,-8.5,winter
1992-01-19,16,14.061285266,14.5,-4.125,winter
1992-01-20,20,NA,18,7.875,winter
1992-01-21,12,NA,23.5,14.625,winter
1992-01-22,12,NA,25.5,14.875,winter
1992-01-23,17,NA,41,49.875,winter
1992-01-24,22,NA,41.5,15.625,winter
1992-01-25,8,16.525341129999997,21,-9.875,winter
1992-01-26,14,NA,21,2,winter
1992-01-27,14,NA,20.5,16,winter
1992-01-28,10,NA,30,26.25,winter
1992-01-29,12,NA,36,23.875,winter
1992-01-30,17,NA,37,30.25,winter
1992-01-31,8,44.788084966,39.5,30.125,winter
1992-02-01,25,NA,28.5,15,winter
1992-02-02,7,NA,25,-1.625,winter
1992-02-03,18,NA,27,-2.625,winter
1992-02-04,11,NA,29,24,winter
1992-02-05,14,NA,26,5.375,winter
1992-02-06,16,21.418181818,20.5,12.75,winter
1992-02-07,18,NA,29.5,30.625,winter
1992-02-08,17,NA,30.5,25.125,winter
1992-02-09,10,NA,21.5,-3.5,winter
1992-02-10,11,NA,16,2,winter
1992-02-11,16,NA,33.5,25.25,winter
1992-02-12,16,21.666573982000003,19.5,-11.75,winter
1992-02-13,16,NA,24,23.25,winter
1992-02-14,11,NA,37,21,winter
1992-02-15,10,NA,32.5,32.625,winter
1992-02-16,12,NA,47.5,34.25,winter
1992-02-17,20,NA,43.5,27.25,winter
1992-02-18,25,28.4049346884,37.5,39.25,winter
1992-02-19,15,NA,43,42.75,winter
1992-02-20,10,NA,42,26,winter
1992-02-21,10,NA,39,23.625,winter
1992-02-22,17,NA,34,34.25,winter
1992-02-23,15,NA,41.5,35,winter
1992-02-24,12,21.733193473,35,27.5,winter
1992-02-25,12,NA,35.5,34.75,winter
1992-02-26,18,NA,38.5,29.25,winter
1992-02-27,14,NA,37,23.625,winter
1992-02-28,16,NA,36,32.5,winter
1992-02-29,16,NA,28,-9.5,winter
1992-03-01,12,19.459140271,25,23.625,winter
1992-03-02,15,NA,26,16.875,winter
1992-03-03,16,NA,31.5,26.375,winter
1992-03-04,16,NA,33,25.75,winter
1992-03-05,15,NA,46,30.5,winter
1992-03-06,14,NA,41,26.375,winter
1992-03-07,17,21.956324249,39.5,41.75,winter
1992-03-08,13,NA,41.5,39.5,winter
1992-03-09,17,NA,39.5,30.875,winter
1992-03-10,13,NA,45,41.25,winter
1992-03-11,22,NA,41.5,27.875,winter
1992-03-12,15,NA,28.5,8.25,winter
1992-03-13,12,16.815461454,26.5,0.75,winter
1992-03-14,12,NA,26,4.875,winter
1992-03-15,5,NA,26.5,2.125,winter
1992-03-16,14,NA,24,0.5,winter
1992-03-17,10,NA,33,25.375,winter
1992-03-18,15,NA,33,1.375,winter
1992-03-19,11,15.452111613,32,26.375,winter
1992-03-20,17,NA,31.5,24.125,winter
1992-03-21,6,NA,31.5,19.5,winter
1992-03-22,15,NA,25.5,20.375,winter
1992-03-23,6,NA,29.5,24.125,winter
1992-03-24,13,NA,31.5,10.5,winter
1992-03-25,16,28.4281567484,35,26.625,winter
1992-03-26,22,NA,46,37.625,winter
1992-03-27,8,NA,49.5,42.625,winter
1992-03-28,15,NA,41,33.875,winter
1992-03-29,16,NA,43,10.75,winter
1992-03-30,13,NA,46.5,27.875,winter
1992-03-31,12,19.935283019,41,35.875,winter
1992-04-01,13,NA,45.5,32.125,spring
1992-04-02,12,NA,41,28.25,spring
1992-04-03,10,NA,40.5,15.125,spring
1992-04-04,16,NA,41.5,16.25,spring
1992-04-05,15,NA,42.5,23.375,spring
1992-04-06,10,13.322024675,47,15.875,spring
1992-04-07,13,NA,48,28.5,spring
1992-04-08,19,NA,53.5,11,spring
1992-04-09,13,NA,48.5,37.125,spring
1992-04-10,14,NA,57,27.25,spring
1992-04-11,8,NA,41,34.625,spring
1992-04-12,12,13.105287855,47,24.375,spring
1992-04-13,21,NA,38,3.5,spring
1992-04-14,16,NA,42.5,21.125,spring
1992-04-15,14,NA,44,7.5,spring
1992-04-16,9,NA,38.5,30.625,spring
1992-04-17,12,NA,37.5,35.5,spring
1992-04-18,13,18.736393323999998,38.5,36.25,spring
1992-04-19,16,NA,42.5,39.625,spring
1992-04-20,16,NA,53,51.875,spring
1992-04-21,17,20.557222889000002,64,57.375,spring
1992-04-22,21,NA,62,57.875,spring
1992-04-23,18,NA,59.5,43.875,spring
1992-04-24,19,17.069875897,45,40.75,spring
1992-04-25,9,NA,40,35.875,spring
1992-04-26,12,NA,41,31.125,spring
1992-04-27,13,NA,43.5,28.125,spring
1992-04-28,14,NA,45,33.625,spring
1992-04-29,16,NA,44,31.75,spring
1992-04-30,21,29.1750120951,50.5,30,spring
1992-05-01,10,NA,56,45.5,spring
1992-05-02,14,NA,57,46.375,spring
1992-05-03,7,NA,57.5,34.625,spring
