date,mortality,pm10,temp,dewpt,season
1992-01-01,126,31.758799092,33.5,32.625,winter
1992-01-02,131,30.842987805,39.5,41.875,winter
1992-01-03,145,26.950757576,38.5,34.875,winter
1992-01-04,151,21.886997065000003,35,32.5,winter
1992-01-05,106,20.323434859,35,32.375,winter
1992-01-06,150,29.756199187,35,33.125,winter
1992-01-07,147,39.2649590559,34.5,31.5,winter
1992-01-08,124,21.296153842000002,38.5,40.875,winter
1992-01-09,136,28.296153847,38,33.625,winter
1992-01-10,128,26.576402236,30,23.125,winter
1992-01-11,131,19.597164952,36,34.875,winter
1992-01-12,136,17.536658035,36.5,38.125,winter
1992-01-13,135,16.417173859,32.5,30.75,winter
1992-01-14,143,23.599773415999998,20.5,10.5,winter
1992-01-15,143,32.553645833000004,6,-9.625,winter
1992-01-16,119,33.349188038,7.5,15,winter
1992-01-17,131,28.849188037999998,21,3.25,winter
1992-01-18,116,NA,5.5,-7.25,winter
1992-01-19,117,26.228347051999997,14.5,23.375,winter
1992-01-20,138,36.5522823066,24,20.5,winter
1992-01-21,125,33.428902777,33.5,33,winter
1992-01-22,130,33.713069069999996,35.5,36.875,winter
1992-01-23,114,44.555039668,28.5,15.875,winter
1992-01-24,131,59.555039668999996,18.5,7.25,winter
1992-01-25,143,23.501449569,25,20.5,winter
1992-01-26,135,28.685390957000003,19.5,23.125,winter
1992-01-27,128,39.9568069985,30,25.875,winter
1992-01-28,111,35.421901211699996,29.5,25.75,winter
1992-01-29,104,40.8216674298,30,31.5,winter
1992-01-30,120,34.9222549737,33.5,34.375,winter
1992-01-31,115,18.123414863,32,22.375,winter
1992-02-01,129,36.3080948412,30.5,22.625,winter
1992-02-02,129,18.308094840000003,37.5,33.5,winter
1992-02-03,141,77.41991709,43.5,43,winter
1992-02-04,125,21.304301763999998,36,25.375,winter
1992-02-05,87,22.764340615000002,32.5,30.25,winter
1992-02-06,118,36.0052210588,34.5,30.375,winter
1992-02-07,142,29.225497421,28,17.375,winter
1992-02-08,123,19.718094361999995,18.5,4.625,winter
1992-02-09,99,38.2482758623,17.5,11.5,winter
1992-02-10,117,72.706779661,31,33,winter
1992-02-11,119,13.702975314,27,12.5,winter
1992-02-12,127,29.385025214000002,23.5,18.375,winter
1992-02-13,118,32.308953574,30,30.5,winter
1992-02-14,119,26.328401283,33,32.5,winter
1992-02-15,106,20.339673912000002,35,33.625,winter
1992-02-16,115,20.74480073,34,34.625,winter
1992-02-17,118,25.447875663999998,37.5,36.375,winter
1992-02-18,140,37.2855173956,40.5,42.375,winter
1992-02-19,99,20.494350287,37.5,32.875,winter
1992-02-20,124,31.444439409,39.5,34.5,winter
1992-02-21,110,19.223169829999996,31.5,27.375,winter
1992-02-22,108,29.765613070999997,42,33.875,winter
1992-02-23,137,29.195050487,37,36.875,winter
1992-02-24,125,37.118470637600005,36,34.125,winter
1992-02-25,114,30.705688784000003,33.5,27.25,winter
1992-02-26,125,24.736870042,33.5,31.375,winter
1992-02-27,119,22.61261261,39.5,34.125,winter
1992-02-28,127,15.409650328000001,39.5,26.625,winter
1992-02-29,105,10.157840622000002,30,25.125,winter
1992-03-01,113,35.4605909522,54,41.125,winter
1992-03-02,120,38.3661462982,45.5,37.875,winter
1992-03-03,122,47.006001308,38,38.125,winter
1992-03-04,118,70.73424805900001,49,40.75,winter
1992-03-05,110,92.617628884,53,53.75,winter
1992-03-06,99,43.674061585000004,55.5,52.125,winter
1992-03-07,112,41.166066291,48,48,winter
1992-03-08,104,21.299920546000003,52.5,50.375,winter
1992-03-09,125,27.800122948000002,44,31.375,winter
