date,mortality,pm10,temp,dewpt,season
1992-01-01,25,35.25,38.5,34.875,winter
1992-01-02,20,56.64839315100001,39.5,44.125,winter
1992-01-03,23,26.691961365999997,45.5,46,winter
1992-01-04,25,NA,40.5,35.625,winter
1992-01-05,27,NA,36,31.75,winter
1992-01-06,28,28.796934587,35.5,29,winter
1992-01-07,21,35.435599284,32,31.25,winter
1992-01-08,27,39.7451149491,37.5,39.125,winter
1992-01-09,31,32.59969686,42.5,34.5,winter
1992-01-10,8,21.476981022,32,24.375,winter
1992-01-11,17,NA,34.5,26,winter
1992-01-12,20,NA,33,34.625,winter
1992-01-13,26,27.070932264,44.5,46.25,winter
1992-01-14,23,NA,33.5,15.75,winter
1992-01-15,26,19.343747176,17.5,11,winter
1992-01-16,13,26.068278674,9,3.75,winter
1992-01-17,24,28.971377459999996,27.5,9.875,winter
1992-01-18,22,NA,15.5,-4.125,winter
1992-01-19,23,22.799450548,13,7.875,winter
1992-01-20,22,20.017889087,30,24,winter
1992-01-21,19,48.058586763,40.5,31.375,winter
1992-01-22,17,65.938497492,42.5,35,winter
1992-01-23,17,25.986027404000005,39,28.625,winter
1992-01-24,29,NA,25,13,winter
1992-01-25,21,19.971066019000002,30.5,29.625,winter
1992-01-26,21,NA,29.5,24.25,winter
1992-01-27,21,33.969699813000005,37,28.75,winter
1992-01-28,25,45.397096531,32.5,28.125,winter
1992-01-29,17,38.8067073172,34.5,29.875,winter
1992-01-30,28,62.633630393999994,38.5,37.125,winter
1992-01-31,22,27,38.5,30.5,winter
1992-02-01,14,NA,32.5,21.5,winter
1992-02-02,21,NA,34.5,25.25,winter
1992-02-03,22,55.923031644999995,45.5,37.875,winter
1992-02-04,20,66.699061914,42,29.75,winter
1992-02-05,25,15.675984992000004,34.5,23.75,winter
1992-02-06,20,54.645843703,37.5,20,winter
1992-02-07,23,38.6682926828,33.5,22.125,winter
1992-02-08,26,NA,26.5,16.5,winter
1992-02-09,22,NA,26,14.75,winter
1992-02-10,22,28.003972379000004,34.5,15.25,winter
1992-02-11,19,38.9865978619,39,29.875,winter
1992-02-12,20,19.427277877,26.5,24.25,winter
1992-02-13,21,NA,35,36.25,winter
1992-02-14,20,26.980843769,38,38.25,winter
1992-02-15,20,NA,51.5,41.375,winter
1992-02-16,26,NA,39,32.5,winter
1992-02-17,32,26.254403409000002,42,34.75,winter
1992-02-18,22,20.01953565,54,40.875,winter
1992-02-19,23,NA,41.5,33.375,winter
1992-02-20,20,24.065672810000002,38,32,winter
1992-02-21,22,32.590584291,47,36.625,winter
1992-02-22,21,NA,54,30.875,winter
1992-02-23,27,NA,49,44.125,winter
1992-02-24,26,41.6308170548,47.5,42.75,winter
1992-02-25,25,39.818298774599995,40.5,33,winter
1992-02-26,21,26.7883054,36.5,26.5,winter
1992-02-27,23,33.456893939,42.5,31.375,winter
1992-02-28,26,28.205839503999997,49,39,winter
1992-02-29,19,NA,33.5,14.25,winter
1992-03-01,25,18.500000000999997,45.5,32,winter
1992-03-02,26,23.278522128999995,62,42.25,winter
1992-03-03,33,46.236697033999995,63.5,39.125,winter
1992-03-04,17,69.034839134,62,50.625,winter
1992-03-05,33,87.132349073,65,49.25,winter
1992-03-06,19,35.074817963200005,63,53.75,winter
1992-03-07,28,15.904920455000003,57.5,50.125,winter
1992-03-08,26,NA,56,45.25,winter
1992-03-09,18,27.101333115000003,58.5,45,winter
1992-03-10,21,14.544883452,41,23.875,winter
1992-03-11,15,14.597151316999998,25.5,16.375,winter
1992-03-12,26,22.600924897999995,27.5,15.25,winter
1992-03-13,22,17.844321126999997,25,13.625,winter
1992-03-14,19,NA,31.5,27.125,winter
1992-03-15,12,NA,29,13.75,winter
1992-03-16,20,25.099440558999998,32,17.375,winter
1992-03-17,19,24.315345193999995,50,36.125,winter
1992-03-18,17,42.182769436899996,42,38.25,winter
1992-03-19,21,24.071973981999996,37.5,25.375,winter
1992-03-20,19,27.951708830999998,37.5,30.625,winter
1992-03-21,23,NA,35.5,28.75,winter
1992-03-22,20,NA,39,27,winter
1992-03-23,18,18.110140351,34.5,20.625,winter
1992-03-24,21,41.113942630699995,41.5,28,winter
1992-03-25,17,27.644360881999997,41.5,44,winter
1992-03-26,16,28.213903744,47,38.875,winter
1992-03-27,12,16.264053831,37,30.25,winter
1992-03-28,17,NA,39,18.25,winter
1992-03-29,17,NA,43.5,30.75,winter
1992-03-30,18,26.032117057999997,44,36.125,winter
1992-03-31,17,23.59423077,42,33.25,winter
1992-04-01,24,20.056160378999998,39.5,21.375,spring
1992-04-02,21,15.022578288999998,31.5,22,spring
1992-04-03,24,23.961011121,34,25.625,spring
1992-04-04,23,NA,39,33.375,spring
1992-04-05,17,NA,41.5,24.625,spring
1992-04-06,22,46.593800077,47.5,31,spring
1992-04-07,25,44.052907884,57.5,43.75,spring
1992-04-08,15,49.911643943,56.5,30.875,spring
1992-04-09,13,27.894915319,60.5,49.875,spring
1992-04-10,21,57.89853782,65.5,55,spring
1992-04-11,29,NA,67.5,51.625,spring
1992-04-12,23,16.461390633,51.5,30.125,spring
1992-04-13,20,13.969169792999999,48,24.125,spring
1992-04-14,25,20.950582432999997,50,41,spring
1992-04-15,24,30.004539605,59.5,53.25,spring
1992-04-16,19,34.18228414159999,69,59.75,spring
1992-04-17,18,28.275220944999997,63.5,57.375,spring
1992-04-18,12,30.229224162999998,67.5,60.75,spring
1992-04-19,20,NA,69,57.875,spring
1992-04-20,20,18.290090830999997,68.5,61.25,spring
1992-04-21,13,12.187396344,61,47.125,spring
1992-04-22,24,22.316054879999996,54.5,39.5,spring
1992-04-23,23,34.3049024595,63,53.5,spring
1992-04-24,20,29.521770681999996,60,47,spring
1992-04-25,15,NA,45,37.25,spring
1992-04-26,20,NA,43.5,40.5,spring
1992-04-27,12,15.133765350999997,45,38.75,spring
1992-04-28,23,20.204404807000003,47.5,29.875,spring
1992-04-29,13,35.0999271937,49.5,43.125,spring
1992-04-30,22,32.8675806716,58,48.875,spring
1992-05-01,16,32.286494358,66,51.375,spring
1992-05-02,20,NA,71,63.625,spring
1992-05-03,18,NA,59,36.25,spring
1992-05-04,23,22.288976002000002,48,42.5,spring
1992-05-05,21,22.212309622,45,41.125,spring
1992-05-06,12,26.002989149,48,35.875,spring
1992-05-07,26,27.257422402000003,53.5,35.25,spring
1992-05-08,21,38.2950163869,53.5,50.25,spring
1992-05-09,20,NA,58,48,spring
1992-05-10,21,NA,61.5,54,spring
1992-05-11,23,37.231309421,68.5,54.5,spring
1992-05-12,27,53.772435898,69.5,59.375,spring
1992-05-13,20,33.3549049266,69,54.5,spring
1992-05-14,17,32.381122155,61.5,46.625,spring
1992-05-15,22,31.361092751999998,65,53.625,spring
1992-05-16,23,NA,69,62.75,spring
1992-05-17,21,NA,73.5,64.5,spring
1992-05-18,19,29.772808587,65.5,61.75,spring
1992-05-19,17,38.1097775877,67.5,61.5,spring
1992-05-20,13,44.035150722,69,62.25,spring
1992-05-21,17,38.016586867,72,57.25,spring
1992-05-22,23,41.040276558100004,72,63.625,spring
1992-05-23,22,NA,68.5,64.25,spring
1992-05-24,24,13.499999998,55,41.25,spring
1992-05-25,16,17.099978048,51,40.5,spring
1992-05-26,6,24.096246707,53,44.375,spring
1992-05-27,19,37.1671422298,53.5,41.875,spring
1992-05-28,15,35.753667559600004,58,38.125,spring
1992-05-29,21,31.8133690521,53,53.75,spring
1992-05-30,25,16,58,54.375,spring
1992-05-31,23,NA,59.5,52.875,spring
1992-06-01,12,32.772324276,59,51.25,spring
1992-06-02,16,45.893522583,64,49.5,spring
1992-06-03,17,43.545038776,67,62.5,spring
1992-06-04,26,43.578620865,66,62.5,spring
1992-06-05,21,34.0371205906,69,62.625,spring
1992-06-06,23,NA,70,64.25,spring
1992-06-07,19,NA,71,68.625,spring
1992-06-08,15,31.7647291843,68.5,58.125,spring
1992-06-09,15,22.518170094,69.5,55.5,spring
1992-06-10,26,17.570604547,65,50.125,spring
1992-06-11,23,32.499999999799996,68,47.125,spring
1992-06-12,15,35.6829641013,69.5,63.25,spring
1992-06-13,18,NA,68.5,64.625,spring
1992-06-14,20,NA,69.5,63.125,spring
1992-06-15,22,25.974422175999997,71.5,64.25,spring
1992-06-16,24,47.872918416999994,75,66.125,spring
1992-06-17,10,57.971563011,77.5,70.75,spring
1992-06-18,22,43.737580070999996,71.5,68.125,spring
1992-06-19,20,22.741339468999996,68,58.625,spring
1992-06-20,17,NA,59,52.625,spring
1992-06-21,20,NA,56,44.5,spring
1992-06-22,25,27.558316074,56.5,48.5,spring
1992-06-23,21,34.4999999997,65.5,56.625,spring
1992-06-24,21,32.4272299318,68.5,63,spring
1992-06-25,14,NA,73,58.25,spring
1992-06-26,18,NA,73,51.25,spring
1992-06-27,17,NA,65.5,51.625,spring
1992-06-28,24,NA,67.5,54.625,spring
1992-06-29,17,54.925381263999995,71,61.875,spring
1992-06-30,17,78.429441843,73.5,68.25,spring
1992-07-01,20,36.4182478131,76,70.75,summer
1992-07-02,12,27.375770205000002,76.5,71.375,summer
1992-07-03,15,19.21886889,73,64.25,summer
1992-07-04,13,NA,67,60,summer
1992-07-05,31,34.9999999996,73,67.125,summer
1992-07-06,19,19.25991367,68.5,54.375,summer
1992-07-07,18,32.312152472499996,66.5,61.625,summer
1992-07-08,15,43.280461841000005,75,73.125,summer
1992-07-09,23,72.518798979,80,72.375,summer
1992-07-10,14,NA,79,70.75,summer
1992-07-11,19,28.5,75.5,68.375,summer
1992-07-12,18,NA,77.5,72,summer
1992-07-13,25,49.466560173000005,81,72,summer
1992-07-14,23,66.49194029899999,79,70.875,summer
1992-07-15,16,31.271640708800003,69,64.25,summer
1992-07-16,24,31.2567708203,72,69,summer
1992-07-17,16,21.081154684,72,66.5,summer
1992-07-18,21,NA,72,64.5,summer
1992-07-19,19,NA,70.5,66.875,summer
1992-07-20,16,40.3656096869,75.5,66.875,summer
1992-07-21,13,33.3189363635,72,65.25,summer
1992-07-22,22,29.415951289000002,73.5,70.5,summer
1992-07-23,13,43.075708061,72,70.375,summer
1992-07-24,19,40.602518453100004,75,67.875,summer
1992-07-25,18,NA,73,71.125,summer
1992-07-26,18,NA,78,73.75,summer
1992-07-27,14,26.550832438999997,74,64.625,summer
1992-07-28,16,28.588145872,67,62.125,summer
1992-07-29,16,50.634948777999995,71.5,68,summer
1992-07-30,20,64.715011543,73.5,69,summer
1992-07-31,18,31.8754593044,67,59.375,summer
1992-08-01,22,NA,65,56.25,summer
1992-08-02,20,NA,66.5,59.375,summer
1992-08-03,21,41.912817583999995,68.5,65.75,summer
1992-08-04,14,23.612687155,68,55.25,summer
1992-08-05,18,26.109843607,66.5,54.75,summer
1992-08-06,12,23.005754387,68.5,58.125,summer
1992-08-07,24,53.583389914,72.5,70.25,summer
1992-08-08,20,NA,76.5,74.25,summer
1992-08-09,12,NA,80,71.75,summer
1992-08-10,15,49.995496685999996,79,71.375,summer
1992-08-11,15,37.5459694993,74,60,summer
1992-08-12,15,NA,69,57,summer
1992-08-13,14,34.4562613561,69,60.375,summer
1992-08-14,18,26.441981233999996,65.5,59.5,summer
1992-08-15,24,NA,66,58.625,summer
1992-08-16,15,21.814542482999997,65.5,58,summer
1992-08-17,22,29.467811492,66.5,56.625,summer
1992-08-18,14,48.508401898,67.5,59,summer
1992-08-19,25,63.701456146,67,56.125,summer
1992-08-20,16,23.746001132000004,65,53.75,summer
1992-08-21,15,29.738648190000003,67.5,60.5,summer
1992-08-22,17,48,72.5,66.75,summer
1992-08-23,17,NA,71.5,69.5,summer
1992-08-24,17,33.7754128962,76.5,67.875,summer
1992-08-25,19,52.675907863,76.5,67.25,summer
1992-08-26,21,39.5547341626,76.5,70.5,summer
1992-08-27,25,30.551057692,74.5,67.375,summer
1992-08-28,21,14.640224362,62,54.25,summer
1992-08-29,9,NA,60,56,summer
1992-08-30,21,NA,67.5,66.5,summer
1992-08-31,21,NA,64.5,56.125,summer
1992-09-01,13,31.755768941,64.5,57.125,summer
1992-09-02,16,35.811119494500005,69.5,66.75,summer
1992-09-03,24,37.4999999999,71.5,68.5,summer
1992-09-04,21,47.180123185,70,68.125,summer
1992-09-05,11,NA,73.5,69.125,summer
1992-09-06,21,NA,72,68.375,summer
1992-09-07,21,40.0600643194,71,70.5,summer
