date,mortality,pm10,temp,dewpt,season
1992-01-01,38,42.296806729000004,34,30.25,winter
1992-01-02,39,49.8606274786,41.5,33.75,winter
1992-01-03,49,39.872088797,49,42.75,winter
1992-01-04,36,22.835863779,42.5,36.75,winter
1992-01-05,29,16.762520523000003,37.5,30.875,winter
1992-01-06,32,20.776888343,35,26.25,winter
1992-01-07,32,25.819396553,35,27.25,winter
1992-01-08,43,33.54412972,34.5,26.25,winter
1992-01-09,39,26.585626623000003,42,36.25,winter
1992-01-10,32,15.559370962000003,35.5,26.75,winter
1992-01-11,34,33.607600687,31.5,27.75,winter
1992-01-12,34,34.604718842000004,37.5,29.875,winter
1992-01-13,40,24.558107823,41,42.5,winter
1992-01-14,37,69.509617978,30.5,6.25,winter
1992-01-15,41,30.673883107,17.5,17,winter
1992-01-16,46,17.515619328,7.5,-3.25,winter
1992-01-17,32,16.513606246000002,21.5,14.25,winter
1992-01-18,46,13.672107686,14,0.625,winter
1992-01-19,52,29.490354336000003,9.5,2.5,winter
1992-01-20,42,22.896891546000003,20.5,10.5,winter
1992-01-21,46,35.997756100000004,29.5,23,winter
1992-01-22,23,79.888215605,31,30.125,winter
1992-01-23,34,51.826029053,37,30.875,winter
1992-01-24,38,13.797210607999997,25,10.375,winter
1992-01-25,40,23.969601837999996,17.5,18.75,winter
1992-01-26,46,29.739573720999996,25,16.25,winter
1992-01-27,47,63.722282655,29.5,24,winter
1992-01-28,50,50.80553286999999,33,27,winter
1992-01-29,48,45.9651552359,28.5,26.625,winter
1992-01-30,43,52.953627858000004,35,31.125,winter
1992-01-31,48,27.196289936,32.5,27.875,winter
1992-02-01,38,16.106365606,26,17.125,winter
1992-02-02,30,26.109247456000002,25.5,23.25,winter
1992-02-03,48,71.228123472,31,29,winter
1992-02-04,48,39.073586420999995,35,20.625,winter
1992-02-05,49,21.119963230999996,27,19.125,winter
1992-02-06,41,60.25002863899999,33,23.625,winter
1992-02-07,36,22.986629900999997,32,26.125,winter
1992-02-08,41,16.934455990999997,24,8.25,winter
1992-02-09,34,19.028710642,14,3.5,winter
1992-02-10,48,61.064114371,22.5,19.125,winter
1992-02-11,32,28.078607129,29,12.25,winter
1992-02-12,45,28.769922479,18,5.875,winter
1992-02-13,41,57.156867994,29,30.125,winter
1992-02-14,32,39.206143357,33.5,32,winter
1992-02-15,31,38.91527191,45,47.375,winter
1992-02-16,35,NA,36.5,32.25,winter
1992-02-17,41,41.8372768968,37.5,31.875,winter
1992-02-18,33,38.391623546,42.5,45.5,winter
1992-02-19,42,19.828581243000002,42,35.375,winter
1992-02-20,38,24.785102983,35.5,30.25,winter
1992-02-21,30,25.633453731,37,25.625,winter
1992-02-22,26,59.578244806,45,38.625,winter
1992-02-23,39,32.375346255000004,37.5,32.5,winter
1992-02-24,37,41.093842429000006,34.5,31.75,winter
1992-02-25,31,41.625753996,39,30.875,winter
1992-02-26,35,22.757904099,33.5,25.75,winter
1992-02-27,24,26.558099905,40.5,30.875,winter
1992-02-28,39,28.629473336000004,36.5,31.75,winter
1992-02-29,31,16.822775436,24,10.875,winter
1992-03-01,39,25.605290526,42.5,33,winter
1992-03-02,23,47.723206976600004,43,31.25,winter
1992-03-03,43,NA,38,25.25,winter
1992-03-04,44,83.334970238,45.5,33.125,winter
1992-03-05,24,130.373127665,55,41.125,winter
1992-03-06,31,57.373127665,50,53.5,winter
1992-03-07,42,20.713273723,54.5,52,winter
1992-03-08,36,22.478958873,50,44.75,winter
1992-03-09,45,51.559461059,50.5,45.5,winter
1992-03-10,43,26.711213688999997,44,19.25,winter
1992-03-11,31,10.698826978999996,20.5,9.75,winter
1992-03-12,28,14.631653728999996,22,6.125,winter
1992-03-13,37,32.512569922,23.5,17.25,winter
1992-03-14,36,22.661212299,25,18,winter
1992-03-15,28,13.676127588999996,23,10.125,winter
1992-03-16,30,NA,25.5,17,winter
1992-03-17,38,25.008527927000003,38,27.625,winter
1992-03-18,29,23.965021837000002,30,23.25,winter
1992-03-19,35,22.747673467000002,32.5,21.75,winter
1992-03-20,42,34.877196444,31,25.375,winter
1992-03-21,35,27.804747067,29,21.5,winter
1992-03-22,35,33.060182282,28,20.5,winter
1992-03-23,24,24.959246758999996,24.5,18.75,winter
1992-03-24,29,68.901710501,33,30.625,winter
1992-03-25,26,39.741169060299995,44,40.875,winter
1992-03-26,43,45.8807801515,47,41.375,winter
1992-03-27,33,16.825629008999996,37.5,28.625,winter
1992-03-28,40,14.692767937,34.5,21.125,winter
1992-03-29,34,45.2116049273,36,28.375,winter
1992-03-30,50,27.206998195000004,36.5,31.5,winter
1992-03-31,40,33.33109744,42,30.875,winter
1992-04-01,35,13.365980085000004,33,24.5,spring
1992-04-02,35,12.420271265000004,28.5,17.875,spring
1992-04-03,44,21.413026875000003,35.5,24.375,spring
1992-04-04,34,34.735428492,38.5,29.875,spring
1992-04-05,36,22.741460851,38.5,21.375,spring
1992-04-06,33,69.23332165,44,30.375,spring
1992-04-07,44,56.685032895,57.5,45.875,spring
1992-04-08,38,35.684338089,46.5,32,spring
1992-04-09,32,44.0095618303,50,37.375,spring
1992-04-10,40,65.950850965,45.5,44.875,spring
1992-04-11,39,35.013508772,62,52,spring
1992-04-12,33,16.265810382,39.5,20.625,spring
1992-04-13,44,20.918609442,36,26.25,spring
1992-04-14,38,23.964956582000003,40.5,21.625,spring
1992-04-15,35,32.791272263,43,30.625,spring
1992-04-16,41,NA,62,57.75,spring
1992-04-17,40,22.833355712,51,39.875,spring
1992-04-18,46,37.753270292,53,49.75,spring
1992-04-19,36,NA,66.5,56.375,spring
1992-04-20,44,51.742641074000005,71.5,57.375,spring
1992-04-21,35,28.692346655,64,57.25,spring
1992-04-22,30,22.015394509000004,50,39.125,spring
1992-04-23,30,38.186038011200004,56.5,52.375,spring
1992-04-24,37,28.017745700000003,51.5,43.375,spring
1992-04-25,41,10.254681169000001,41,40.125,spring
1992-04-26,32,14.287609649,45.5,40.375,spring
1992-04-27,32,15.592904202,43,33.875,spring
1992-04-28,44,24.680565568000002,44.5,23.375,spring
1992-04-29,33,73.695927818,47,40.375,spring
1992-04-30,32,43.6380438232,47,42.375,spring
1992-05-01,42,50.748410088,58.5,54.25,spring
1992-05-02,30,28.900381414,64,48.875,spring
1992-05-03,33,24.781265541999996,53,40.375,spring
1992-05-04,25,13.155930352999999,47.5,37.375,spring
1992-05-05,41,21.092164853,46,38.875,spring
1992-05-06,43,31.286773162,47.5,32.75,spring
1992-05-07,41,51.098274026,50,33.125,spring
1992-05-08,31,41.0299336077,55,50.125,spring
1992-05-09,26,31.161459746,55.5,47.625,spring
1992-05-10,39,39.979057422100006,56.5,53.5,spring
1992-05-11,41,78.01676413300001,66,51.375,spring
1992-05-12,40,74.422446781,70.5,53.625,spring
