date,mortality,pm10,temp,dewpt,season
1992-01-01,16,33.9999999999,38,32.25,winter
1992-01-02,20,28.084731249999997,39,38.125,winter
1992-01-03,27,17.100779908,48,43,winter
1992-01-04,21,NA,42,35.75,winter
1992-01-05,20,18.121263158,38,29.125,winter
1992-01-06,24,25.145263158,36,25,winter
1992-01-07,28,32.635263158,36.5,27.125,winter
1992-01-08,29,NA,36,29.5,winter
1992-01-09,21,18.450717702,44,33,winter
1992-01-10,19,NA,35,27.125,winter
1992-01-11,18,23.690643916,35.5,26.875,winter
1992-01-12,21,22.05922807,36,30.375,winter
1992-01-13,22,26.00477193,43,45,winter
1992-01-14,18,13.973228069999998,36.5,11,winter
1992-01-15,15,15.525167459999999,21.5,17.875,winter
1992-01-16,15,17.873928571,7.5,1.625,winter
1992-01-17,20,8.230183417,26.5,14.75,winter
1992-01-18,21,NA,13,0.5,winter
1992-01-19,15,23.874122807,10.5,2.875,winter
1992-01-20,19,15.922122807000001,28.5,18.5,winter
1992-01-21,20,36.498001594899996,34,30.125,winter
1992-01-22,22,61.937,37.5,32.75,winter
1992-01-23,21,14.057701754,38.5,31,winter
1992-01-24,24,NA,24,13.625,winter
1992-01-25,21,23.570368421,22.5,23,winter
1992-01-26,17,31.0785105189,24,18.5,winter
1992-01-27,17,44.835247209,29,27.125,winter
1992-01-28,20,57.044998578000005,33,27.125,winter
1992-01-29,16,40.920574163,32.5,27,winter
1992-01-30,12,49.147689942,34.5,30.5,winter
1992-01-31,31,26.809122806999998,36.5,31.5,winter
1992-02-01,18,NA,27,14.75,winter
1992-02-02,23,32.5326953745,29.5,27.5,winter
1992-02-03,18,63.258145987,38.5,30.875,winter
1992-02-04,14,26.523604465000002,39.5,23.75,winter
1992-02-05,16,29.160638149,30.5,19.375,winter
1992-02-06,24,36.857290138,34,23,winter
1992-02-07,23,NA,33.5,24.375,winter
1992-02-08,12,10.771165734,26.5,18.125,winter
1992-02-09,14,22.204538987,21.5,8.625,winter
1992-02-10,21,28.095853269000003,30,18,winter
1992-02-11,18,24.224260852,34,23.25,winter
1992-02-12,16,14.851913870999999,22.5,5.25,winter
1992-02-13,17,NA,33.5,35,winter
1992-02-14,21,20.988113218000002,36,33.625,winter
1992-02-15,13,NA,48.5,45.625,winter
1992-02-16,18,15.845630363999998,38.5,31.875,winter
1992-02-17,14,NA,40,33,winter
1992-02-18,18,18.834654409000002,52,45.5,winter
1992-02-19,28,16.161329533,43,34.5,winter
1992-02-20,24,24.43476874,37.5,31.125,winter
1992-02-21,13,NA,41,29,winter
1992-02-22,20,31.5611402545,52,34.5,winter
1992-02-23,24,41.162385965,47,40.875,winter
1992-02-24,13,34.8256140352,42,39,winter
1992-02-25,13,26.192385965,41,34.375,winter
1992-02-26,19,22.951355662,34.5,26.125,winter
1992-02-27,23,28.117142857,43.5,34.125,winter
1992-02-28,14,24.490108453,45,38.375,winter
1992-02-29,16,NA,27,12.625,winter
1992-03-01,20,19.099684211000003,44.5,34.5,winter
1992-03-02,10,44.103166282000004,55.5,44.5,winter
1992-03-03,22,32.9494417868,52.5,44.25,winter
1992-03-04,20,71.020833333,57.5,43.875,winter
1992-03-05,15,57.902870813999996,58,47.25,winter
1992-03-06,11,NA,57.5,56.625,winter
1992-03-07,19,14.999999999000002,57.5,53,winter
1992-03-08,15,29.003721954,53,50,winter
1992-03-09,12,22.002870813999998,54,43.875,winter
1992-03-10,18,9.890509393000002,43,23.875,winter
1992-03-11,18,14.906968613000002,21.5,14,winter
1992-03-12,19,7.914936745999999,26,6.875,winter
1992-03-13,15,17.072385965000002,24,12.875,winter
1992-03-14,21,NA,29.5,25,winter
1992-03-15,18,10.912944708000001,26,13.875,winter
1992-03-16,24,18.877088141999998,29,14,winter
1992-03-17,19,34.0839602923,45,38.125,winter
1992-03-18,19,16.96866448,36,32.5,winter
1992-03-19,24,27.75,32.5,25.25,winter
1992-03-20,27,NA,34,30.625,winter
1992-03-21,23,17.034429271,36,22,winter
1992-03-22,15,18.694653302,37,21.625,winter
1992-03-23,16,20.743260188,30.5,21,winter
1992-03-24,24,33.709872742,39.5,30.5,winter
1992-03-25,16,27.252589615,40,43.125,winter
1992-03-26,21,20.776778441999998,48,40,winter
1992-03-27,17,15.710914998999998,37.5,32.875,winter
1992-03-28,22,NA,39,20.625,winter
1992-03-29,16,16.015621738999997,36,26.75,winter
1992-03-30,20,28.570430694,39.5,36.75,winter
1992-03-31,20,21.52392213,41.5,35.5,winter
1992-04-01,20,10.637624371000001,37.5,27.25,spring
1992-04-02,16,10.441900766,29.5,21.125,spring
1992-04-03,15,NA,33,22.375,spring
1992-04-04,22,18.406095279,39,30.25,spring
