date,mortality,pm10,temp,dewpt,season
1992-01-01,23,20.487936296999997,29.75,16.5875,winter
1992-01-02,26,NA,36,10.9625,winter
1992-01-03,31,NA,37.25,14.725,winter
1992-01-04,24,51.644906033,28.75,21.6875,winter
1992-01-05,20,NA,33,23.8,winter
1992-01-06,21,NA,35.25,23.925,winter
1992-01-07,23,17.375014020000002,26.5,23.4625,winter
1992-01-08,24,NA,24,13.3875,winter
1992-01-09,30,NA,21,11.175,winter
1992-01-10,21,91.572442265,30.75,19.9375,winter
1992-01-11,11,NA,38,20.175,winter
1992-01-12,14,NA,25,20.8,winter
1992-01-13,14,24.569844347,23,7.5125,winter
1992-01-14,24,NA,24.75,13.2375,winter
1992-01-15,23,NA,13,0.5625,winter
1992-01-16,25,NA,36,18.7125,winter
1992-01-17,10,NA,25.5,16.625,winter
1992-01-18,17,NA,19.75,6.85,winter
1992-01-19,14,43.919390486,32,13.025,winter
1992-01-20,20,NA,34,15.4625,winter
1992-01-21,21,NA,34.5,14.3875,winter
1992-01-22,21,NA,29.75,9.0625,winter
1992-01-23,25,NA,35.5,18.325,winter
1992-01-24,23,NA,44,19.725,winter
1992-01-25,23,39.810192991,35.5,24.1,winter
1992-01-26,16,NA,34.5,21.375,winter
1992-01-27,23,NA,32.5,22.5125,winter
1992-01-28,20,NA,44.75,22.4875,winter
1992-01-29,22,NA,38.5,22.4625,winter
1992-01-30,11,NA,40.75,22.25,winter
1992-01-31,27,52.574406902,49.25,19.6375,winter
1992-02-01,18,NA,43.5,24.65,winter
1992-02-02,22,NA,44.25,21.2125,winter
1992-02-03,18,NA,35.25,23.525,winter
1992-02-04,13,NA,31.75,21.8375,winter
1992-02-05,20,82.500893088,32,15,winter
1992-02-06,15,36.5134758468,37,14.1125,winter
1992-02-07,17,64.475034238,34.25,19.575,winter
1992-02-08,20,73.48860619300001,32.75,26.3,winter
1992-02-09,20,36.5173143268,38.75,23.9625,winter
1992-02-10,20,53.540144129,38.5,25.075,winter
1992-02-11,15,26.553278861,39.5,29.525,winter
1992-02-12,23,37.9297967615,43.75,24.7125,winter
1992-02-13,15,73.65429570500001,40.25,24.4875,winter
1992-02-14,19,38.643348400899995,42.25,17.9875,winter
1992-02-15,28,32.5919465318,40.75,19.0125,winter
1992-02-16,18,29.6278517698,33.75,16.1625,winter
1992-02-17,19,20.69120233,37.75,8.1375,winter
1992-02-18,22,17.084360750000002,34.75,6.9,winter
1992-02-19,24,53.719829581,39,12.7,winter
1992-02-20,21,59.644906033,47.75,22.1125,winter
1992-02-21,17,53.658604663,46,24.875,winter
1992-02-22,18,22.711572699999998,42.75,24.1,winter
1992-02-23,18,6.82288492,36.25,24.775,winter
1992-02-24,19,20.423806054,36.75,16.0875,winter
1992-02-25,22,15.069420229999999,38,21.3875,winter
1992-02-26,18,38.150858414300004,42.75,20.6625,winter
1992-02-27,15,46.137465557,51.75,21.9625,winter
1992-02-28,21,52.142683811,51.5,15.8875,winter
1992-02-29,22,21.156705443,52,10.1,winter
1992-03-01,25,19.332866681,50.5,15.4,winter
1992-03-02,16,80.188765682,49.75,17.8,winter
1992-03-03,27,45.224236454999996,45,30.8,winter
1992-03-04,23,3.324673139999998,40,38.7625,winter
1992-03-05,23,14.33331183,42.75,36.0625,winter
1992-03-06,13,27.276940664999998,46,25.925,winter
1992-03-07,12,22.729846614,45.75,28.2375,winter
1992-03-08,28,NA,40.75,31.4875,winter
1992-03-09,13,NA,23.5,17.8125,winter
1992-03-10,20,33.3927692812,27.25,20.5,winter
1992-03-11,22,32.3583812106,38.75,22.975,winter
1992-03-12,15,42.214784118,44.75,27.9875,winter
1992-03-13,19,31.5900304506,48.5,30.4125,winter
1992-03-14,21,NA,46.75,32.375,winter
1992-03-15,17,24.273915795999997,50.5,26.725,winter
1992-03-16,21,33.145640086,50.25,24.1625,winter
1992-03-17,20,20.211572699999998,40.75,31.1,winter
1992-03-18,28,10.19539013,40.5,29.675,winter
1992-03-19,19,21.66081259,39.75,29.4625,winter
1992-03-20,13,22.14284842,46,13.9125,winter
1992-03-21,22,7.06976942,31.75,26.4125,winter
1992-03-22,13,16.64483413,35.75,22.6125,winter
1992-03-23,15,32.2340216796,44,28.025,winter
1992-03-24,18,17.20588164,45,32.9,winter
1992-03-25,24,22.736713942999998,44,21.15,winter
1992-03-26,15,25.122056570999998,48.75,25.6375,winter
1992-03-27,24,28.026432138,53,30.8125,winter
1992-03-28,12,6.711655789999998,46,37.4625,winter
1992-03-29,19,17.255572700000002,44,30.275,winter
1992-03-30,19,14.204002979999999,46.75,32.0875,winter
1992-03-31,23,22.253698405999998,40.75,32.6875,winter
1992-04-01,11,21.963746612999998,41,17.875,spring
1992-04-02,18,19.835194747,47,29.0625,spring
1992-04-03,23,28.513728045,54.5,24.5,spring
1992-04-04,20,39.672357014,58.25,24.775,spring
1992-04-05,13,21.69829145,58.5,30.2375,spring
1992-04-06,28,25.315350949,52.75,30.35,spring
1992-04-07,13,23.765061071999998,47,32.6625,spring
1992-04-08,18,35.7980591865,56,26.4375,spring
1992-04-09,18,46.663841831,56,26.7,spring
1992-04-10,18,40.907726546,63,27.4625,spring
1992-04-11,21,31.916936684699998,55,39.225,spring
1992-04-12,16,32.084467724599996,57.5,41.5875,spring
1992-04-13,16,38.878112623999996,64,25.65,spring
1992-04-14,17,44.690360579,60.75,44.0625,spring
1992-04-15,13,13.016208339999999,55.5,42.7,spring
1992-04-16,16,8.760629299999998,47.75,42.95,spring
1992-04-17,21,20.679993752999998,57.25,32.9375,spring
1992-04-18,19,9.52060342,50.5,23.1875,spring
1992-04-19,11,0.6660503099999993,47.75,25.7375,spring
1992-04-20,18,8.51231619,48,22,spring
1992-04-21,23,22.414375102,49.75,21.2125,spring
1992-04-22,18,38.5152764037,52.5,32.175,spring
1992-04-23,21,17.44072399,52.5,23.6625,spring
1992-04-24,12,21.014999163,47.75,23.825,spring
1992-04-25,23,20.249301638,45.5,23.725,spring
1992-04-26,20,23.264127445,52.75,26.0875,spring
1992-04-27,10,41.215742132,65,28.8125,spring
1992-04-28,19,36.3042999727,66.25,32.3125,spring
1992-04-29,13,36.3840364681,64,31.5625,spring
1992-04-30,13,33.8311539454,72.5,22.725,spring
1992-05-01,8,68.343946801,65.75,28.075,spring
1992-05-02,12,17.368920369999998,57,34.7125,spring
1992-05-03,25,26.426268041,58,29.4125,spring
1992-05-04,14,29.5151441286,58.5,28.5375,spring
1992-05-05,21,41.603387647,60.75,33.6375,spring
1992-05-06,15,39.609632863,65.25,36.1875,spring
1992-05-07,12,46.671996727999996,67.5,37,spring
1992-05-08,19,41.712981151,66.5,39.075,spring
1992-05-09,21,16.820824949,66,42.425,spring
1992-05-10,18,3.687126265,52.75,38.9,spring
1992-05-11,18,17.719097804999997,60.75,27.525,spring
1992-05-12,10,30.4019117525,54.75,42.4,spring
1992-05-13,17,38.78125,65.25,41.9375,spring
1992-05-14,13,32.7814782774,64.25,40.2625,spring
1992-05-15,21,31.8783640905,69.75,34.4875,spring
1992-05-16,15,34.873452999,65.75,35.275,spring
1992-05-17,12,24.921480016,63.5,40.7,spring
1992-05-18,22,27.254606357,70,33.7375,spring
1992-05-19,25,37.8932294073,70,40.875,spring
1992-05-20,21,32.8599007174,71.25,39.4875,spring
1992-05-21,16,18.982349697,65.25,50.225,spring
1992-05-22,11,8.892429377,50,43.7125,spring
1992-05-23,14,7.963558556999999,58.75,43.3125,spring
1992-05-24,24,20.614237287999998,59.25,44.4375,spring
1992-05-25,15,4.966800896999999,49.5,42.65,spring
1992-05-26,22,16.807736311,57.75,47.6375,spring
1992-05-27,19,6.851214571,47.75,41.45,spring
1992-05-28,15,9.918874461999998,50.5,40.375,spring
