date,mortality,pm10,temp,dewpt,season
1992-01-01,67,25.401318458,27,22.875,winter
1992-01-02,54,29.911531115,34.5,30.5,winter
1992-01-03,44,23.946158499,41.5,41.375,winter
1992-01-04,53,14.983918126999999,39,30.5,winter
1992-01-05,59,4.891258321999999,38.5,27.375,winter
1992-01-06,66,24.967281709999998,35.5,29.375,winter
1992-01-07,57,22.463173019,35,23.75,winter
1992-01-08,43,11.783071182,32.5,29.625,winter
1992-01-09,60,25.841550716,40.5,33.75,winter
1992-01-10,55,19.627192985,33.5,20.5,winter
1992-01-11,43,29.664196411000002,33.5,28,winter
1992-01-12,44,28.605716878000003,35,31.5,winter
1992-01-13,42,18.977405901,39.5,38.125,winter
1992-01-14,64,7.734371851000002,24.5,3.25,winter
1992-01-15,52,NA,16.5,11.125,winter
1992-01-16,68,19.625730992999998,7,-1.75,winter
1992-01-17,46,NA,21,9.125,winter
1992-01-18,59,14.976104055999999,8.5,-5.375,winter
1992-01-19,57,17.799568966,6.5,4.625,winter
1992-01-20,50,21.291893527,18,9.375,winter
1992-01-21,43,40.499495867,27,22.875,winter
1992-01-22,44,27.571637427,30.5,29.875,winter
1992-01-23,45,29.549203469,34.5,27,winter
1992-01-24,52,17.560899376,22,5.875,winter
1992-01-25,61,13.752671906,16.5,14.625,winter
1992-01-26,43,21.470256100999997,21,19.25,winter
1992-01-27,51,41.443940311,28,23.375,winter
1992-01-28,53,37.2865497076,33.5,27.25,winter
1992-01-29,57,45.226759427,31,25,winter
1992-01-30,48,40.334946560999995,33,31,winter
1992-01-31,60,15.233141759999999,32,24.75,winter
1992-02-01,48,7.434361769999999,24.5,10.5,winter
1992-02-02,50,45.294010889,29,26.375,winter
1992-02-03,61,22.396198831,29.5,27.5,winter
1992-02-04,43,21.406180682,31,17,winter
1992-02-05,45,11.341853193000002,25,17.875,winter
1992-02-06,49,29.284689454000002,29,26.875,winter
1992-02-07,46,22.160566647000003,30.5,23.75,winter
1992-02-08,47,12.084543253,19.5,1.375,winter
1992-02-09,39,8.884502924,16.5,2.625,winter
1992-02-10,49,44.012300867,25,24.5,winter
1992-02-11,51,15.032768701,27,7.875,winter
1992-02-12,40,18.333091161,15,8.5,winter
1992-02-13,48,32.2374470656,24.5,25,winter
1992-02-14,58,35.310092021100004,33.5,29.875,winter
1992-02-15,55,18,37,38.75,winter
1992-02-16,51,14.104055013000002,36,29.75,winter
1992-02-17,60,24.021943574,35.5,29.625,winter
1992-02-18,59,25.912731318000002,37,38.125,winter
1992-02-19,44,NA,38.5,34.25,winter
1992-02-20,42,31.7486815418,36.5,31.25,winter
1992-02-21,50,13.516666667000003,35.5,23.5,winter
1992-02-22,56,27.840618662,36.5,37.875,winter
1992-02-23,53,13.672971607000001,38.5,28.25,winter
1992-02-24,51,23.217429336000002,35.5,30.5,winter
1992-02-25,45,21.577409242999998,35.5,25.75,winter
1992-02-26,31,28.568611589,34,25,winter
1992-02-27,50,29.087796471,38.5,26.125,winter
1992-02-28,33,53.069926181,34,23.375,winter
1992-02-29,43,10.193093335,23,12,winter
1992-03-01,52,25.388827442,46.5,37.5,winter
1992-03-02,54,28.091298649,37.5,31.875,winter
1992-03-03,53,20.070830813,39.5,30,winter
1992-03-04,40,33.6842105263,43,36,winter
1992-03-05,36,51.60440613,46.5,40,winter
1992-03-06,46,33.6599616854,45,43,winter
1992-03-07,49,18.473116821,52.5,51.125,winter
1992-03-08,53,16.711851551000002,49.5,42,winter
1992-03-09,40,37.7910304375,50.5,47.5,winter
1992-03-10,53,7.444152909000003,35.5,10,winter
1992-03-11,39,12.617453732000001,17.5,4.5,winter
1992-03-12,39,24.55836714,17.5,2.625,winter
1992-03-13,43,20.356844141,22.5,8.625,winter
1992-03-14,62,25.667307109,24.5,8.75,winter
1992-03-15,38,11.816867221999999,22,5,winter
1992-03-16,56,38.808069573,26.5,20.875,winter
1992-03-17,42,34.155300959499996,40,22.25,winter
1992-03-18,38,NA,29,18.5,winter
1992-03-19,59,23.251763726,36,15.25,winter
1992-03-20,47,14.797529697999998,33.5,26.375,winter
1992-03-21,47,12.803394798,27.5,23,winter
1992-03-22,55,5.625695212,28,12.5,winter
1992-03-23,52,37.6073363484,25,14.625,winter
1992-03-24,52,68.578010835,33,29.75,winter
1992-03-25,57,34.6169636387,38.5,38.125,winter
1992-03-26,56,37.6696402019,42,36.5,winter
1992-03-27,59,19.655020319,40.5,26.125,winter
1992-03-28,40,17.774803387,37,13.125,winter
1992-03-29,36,39.780651341,38.5,28.5,winter
1992-03-30,40,24.698779996,38.5,32.75,winter
1992-03-31,55,29.7694352671,42,33.625,winter
1992-04-01,34,4.836206897,31.5,18.625,spring
1992-04-02,40,6.888838477,28.5,15.875,spring
1992-04-03,49,25.821637427,34.5,25.25,spring
1992-04-04,42,17.789473684999997,41,23.375,spring
1992-04-05,51,7.847953215,40.5,22.5,spring
