date,mortality,pm10,temp,dewpt,season
1992-01-01,54,37.388552328,53,45.5,winter
1992-01-02,51,NA,53.5,40.625,winter
1992-01-03,41,63.908105558,52,41.375,winter
1992-01-04,54,NA,52.5,43,winter
1992-01-05,40,6.943184432999999,53,53,winter
1992-01-06,39,NA,58,57.125,winter
1992-01-07,49,17.997841162,60,63.375,winter
1992-01-08,49,NA,60.5,54.5,winter
1992-01-09,41,4.7031844330000006,54.5,38.25,winter
1992-01-10,52,NA,53,33.75,winter
1992-01-11,42,6.0807080089999985,48,42.75,winter
1992-01-12,56,NA,51,54.625,winter
1992-01-13,43,10.983093148999998,50.5,31.625,winter
1992-01-14,40,NA,44,24.625,winter
1992-01-15,49,15.949279439,46,25.5,winter
1992-01-16,38,NA,35,12.875,winter
1992-01-17,33,5.817079105000001,41,42,winter
1992-01-18,42,NA,42.5,38.5,winter
1992-01-19,39,6.970920575000001,42,28.25,winter
1992-01-20,48,NA,42.5,29.75,winter
1992-01-21,44,30.339806376800002,48,47.875,winter
1992-01-22,50,NA,61,47.75,winter
1992-01-23,32,12.274186948,50.5,28.625,winter
1992-01-24,55,NA,49.5,32.25,winter
1992-01-25,33,39.812121439,52.5,50,winter
1992-01-26,40,NA,56.5,50,winter
1992-01-27,49,NA,54.5,52.5,winter
1992-01-28,43,NA,52.5,50.625,winter
1992-01-29,40,7.138021538,52.5,50.75,winter
1992-01-30,59,NA,55,47.875,winter
1992-01-31,39,49.070953805,60,43.125,winter
1992-02-01,35,NA,55.5,45.625,winter
1992-02-02,43,22.617956607,59.5,51.375,winter
1992-02-03,47,NA,57,56.75,winter
1992-02-04,49,-1.2918587119999998,53,47.375,winter
1992-02-05,39,NA,46.5,38,winter
1992-02-06,32,20.947657029,49,33.125,winter
1992-02-07,41,NA,50.5,36.125,winter
1992-02-08,43,32.7767127194,50,36.75,winter
1992-02-09,35,NA,49.5,35.875,winter
1992-02-10,46,43.777746547,56.5,54.625,winter
1992-02-11,42,NA,57.5,57.625,winter
1992-02-12,42,14.973256748,65.5,63.25,winter
1992-02-13,40,NA,68.5,64.75,winter
1992-02-14,37,18.977746547000002,70.5,65.125,winter
1992-02-15,51,NA,71,44.25,winter
