date,mortality,pm10,temp,dewpt,season
1992-01-01,20,34.0875424488,37,35.125,winter
1992-01-02,23,NA,39.5,42,winter
1992-01-03,14,NA,44,41.375,winter
1992-01-04,21,21.63720696,39.5,32.25,winter
1992-01-05,19,18.053441192,35.5,30.75,winter
1992-01-06,30,NA,37,30.125,winter
1992-01-07,34,30.172766222,34,32.875,winter
1992-01-08,14,NA,38.5,40.75,winter
1992-01-09,17,14.341911262,40.5,33.875,winter
1992-01-10,19,NA,29.5,22.25,winter
1992-01-11,23,18.914386105,35,29.5,winter
1992-01-12,23,NA,34,36,winter
1992-01-13,25,19.600700194999998,41.5,41.375,winter
1992-01-14,21,NA,25,12.125,winter
1992-01-15,18,18.658288544999998,11.5,4.375,winter
1992-01-16,20,NA,8,8.125,winter
1992-01-17,21,13.35752303,24,11.25,winter
1992-01-18,18,5.316098329999999,10,-2.625,winter
1992-01-19,22,21.4488986,12,13.125,winter
1992-01-20,16,NA,26.5,18.875,winter
1992-01-21,23,NA,36,32.125,winter
1992-01-22,25,33.0539786265,40.5,36.125,winter
1992-01-23,27,NA,36,26.875,winter
1992-01-24,21,NA,22.5,12.375,winter
1992-01-25,12,21.19222251,28.5,24.875,winter
1992-01-26,14,NA,31,24.75,winter
1992-01-27,22,53.645568036,36,31.375,winter
1992-01-28,21,NA,33,28,winter
1992-01-29,20,41.639282607,34.5,28.75,winter
1992-01-30,25,NA,38.5,36.625,winter
1992-01-31,19,23.597397445,35.5,28.25,winter
1992-02-01,18,NA,32,22,winter
1992-02-02,20,33.9360006504,37,27.25,winter
1992-02-03,17,NA,47,41.75,winter
1992-02-04,25,27.822706383,39.5,25.375,winter
1992-02-05,20,NA,34.5,23.5,winter
1992-02-06,20,46.489691629999996,34.5,28.125,winter
1992-02-07,22,NA,32.5,21.125,winter
1992-02-08,17,8.841339922,25,13.75,winter
1992-02-09,13,NA,23.5,10.75,winter
1992-02-10,18,42.062156271,35,17.5,winter
1992-02-11,16,NA,34,24.375,winter
1992-02-12,21,20.253423192,25.5,22.375,winter
1992-02-13,14,NA,32,33,winter
1992-02-14,15,NA,36,36,winter
1992-02-15,18,26.984047943,46.5,36.5,winter
1992-02-16,19,NA,37.5,34.625,winter
1992-02-17,21,NA,40.5,39,winter
1992-02-18,13,23.537658222999998,50.5,45.25,winter
1992-02-19,29,NA,40.5,34.25,winter
1992-02-20,23,23.682167088,39,34.25,winter
1992-02-21,25,NA,41.5,39.5,winter
1992-02-22,22,35.6546896046,53,36.375,winter
1992-02-23,21,NA,50,43.125,winter
1992-02-24,18,39.974804361,43,43.625,winter
1992-02-25,11,NA,41,28.5,winter
1992-02-26,18,23.760279667,37.5,29.25,winter
1992-02-27,19,NA,43.5,36.875,winter
1992-02-28,20,25.740551153000002,48,36.875,winter
1992-02-29,17,NA,34,21.5,winter
1992-03-01,18,26.011334385,47,38.375,winter
1992-03-02,17,NA,60.5,47.25,winter
1992-03-03,14,NA,61.5,47.25,winter
1992-03-04,20,NA,57.5,52.375,winter
1992-03-05,13,46.649650357,63,53.75,winter
1992-03-06,15,NA,63,55.625,winter
1992-03-07,11,21.135071727,57,52.75,winter
1992-03-08,20,NA,58.5,46.125,winter
1992-03-09,20,NA,58.5,50.375,winter
1992-03-10,21,NA,38.5,18,winter
1992-03-11,19,11.474340323,22.5,16,winter
1992-03-12,13,NA,27.5,14,winter
1992-03-13,19,25.883801192,26.5,16.125,winter
1992-03-14,15,NA,33,24.875,winter
1992-03-15,15,11.350883532999998,29.5,16.125,winter
1992-03-16,16,NA,34,20.625,winter
1992-03-17,15,34.3540781214,51.5,39.625,winter
1992-03-18,16,NA,38.5,32.875,winter
1992-03-19,17,20.32771839,37,24.625,winter
1992-03-20,12,NA,38.5,35.5,winter
1992-03-21,19,19.131855899,37.5,34,winter
1992-03-22,14,NA,36.5,25.125,winter
1992-03-23,14,33.0843906371,33.5,27.625,winter
1992-03-24,15,NA,43,29.75,winter
1992-03-25,18,24.134146393,43.5,43.875,winter
1992-03-26,18,NA,45,35.625,winter
1992-03-27,18,NA,34.5,30.375,winter
1992-03-28,24,NA,38,23.75,winter
1992-03-29,12,NA,43,41.125,winter
1992-03-30,19,NA,38.5,36.5,winter
1992-03-31,21,29.373160458700003,41.5,38.75,winter
1992-04-01,19,NA,35.5,28.375,spring
1992-04-02,18,14.182804551000002,33,23.75,spring
1992-04-03,19,NA,34.5,33.875,spring
1992-04-04,16,23.318449688999998,41.5,32.375,spring
1992-04-05,18,NA,40.5,30.75,spring
1992-04-06,25,30.8141716316,49,35.625,spring
1992-04-07,7,NA,54,51.875,spring
1992-04-08,16,45.974345915,54,33.625,spring
1992-04-09,13,NA,60,52.5,spring
1992-04-10,18,57.875506124,60.5,58.75,spring
1992-04-11,23,NA,62,53.25,spring
1992-04-12,23,13.776678777,46,24.375,spring
1992-04-13,16,NA,46.5,26.375,spring
1992-04-14,11,32.8692168161,51,41,spring
1992-04-15,12,NA,60,58.125,spring
1992-04-16,17,NA,68,61.25,spring
1992-04-17,19,NA,55.5,50.25,spring
1992-04-18,18,29.3017763707,64,61.5,spring
1992-04-19,13,NA,69,60,spring
1992-04-20,16,NA,67.5,60,spring
