date,mortality,pm10,temp,dewpt,season
1992-01-01,13,19.327175574,36.5,36.25,winter
1992-01-02,24,NA,40.5,37.125,winter
1992-01-03,23,NA,40,33.25,winter
1992-01-04,31,NA,33.5,31.25,winter
1992-01-05,16,NA,37.5,38.875,winter
1992-01-06,28,NA,40,39.125,winter
1992-01-07,17,22.240000000000002,46,44.25,winter
1992-01-08,22,NA,41,26.375,winter
1992-01-09,22,NA,26.5,19,winter
1992-01-10,17,NA,31.5,24.5,winter
1992-01-11,17,NA,41.5,30.375,winter
1992-01-12,17,NA,40,39.75,winter
1992-01-13,15,10.703174047,31,17.25,winter
1992-01-14,10,NA,28,21.25,winter
1992-01-15,10,NA,19,-1,winter
1992-01-16,21,NA,29,22.875,winter
1992-01-17,16,NA,30,7.125,winter
1992-01-18,17,NA,28,12.625,winter
1992-01-19,20,11.803001172999998,36.5,21,winter
1992-01-20,12,NA,41,25.625,winter
1992-01-21,23,NA,42,35.625,winter
1992-01-22,17,NA,42,35.25,winter
1992-01-23,18,NA,34,21.375,winter
1992-01-24,18,NA,30.5,24.375,winter
1992-01-25,18,21.840888066,32.5,19.75,winter
1992-01-26,23,NA,34.5,29.375,winter
1992-01-27,14,NA,39.5,29,winter
1992-01-28,27,NA,31.5,28.25,winter
1992-01-29,29,NA,43,42.875,winter
1992-01-30,27,NA,44.5,30.75,winter
1992-01-31,18,32.2970037752,43.5,28.75,winter
1992-02-01,24,NA,47,37,winter
1992-02-02,13,NA,54,39.125,winter
1992-02-03,30,NA,52,40,winter
1992-02-04,17,NA,36.5,25.375,winter
1992-02-05,15,NA,31,25.5,winter
1992-02-06,23,36.080808081,35,26.875,winter
1992-02-07,20,NA,32,17.125,winter
1992-02-08,17,NA,22.5,10.625,winter
1992-02-09,13,NA,32.5,22.75,winter
1992-02-10,18,NA,39,34.75,winter
1992-02-11,20,NA,32,25,winter
1992-02-12,27,16.557328386000002,29.5,28,winter
1992-02-13,12,NA,33.5,36.75,winter
1992-02-14,19,NA,36.5,39.375,winter
1992-02-15,17,NA,38.5,37.625,winter
1992-02-16,23,NA,44,39.875,winter
1992-02-17,30,NA,45.5,44.5,winter
1992-02-18,16,10.497732423999999,41,35,winter
1992-02-19,25,NA,34.5,31,winter
1992-02-20,17,NA,47,42.5,winter
1992-02-21,25,NA,42.5,37.375,winter
1992-02-22,22,NA,48.5,42.75,winter
1992-02-23,24,NA,47,44.875,winter
1992-02-24,25,19,36,28.125,winter
1992-02-25,17,NA,31.5,24.25,winter
1992-02-26,26,NA,38,36.25,winter
1992-02-27,16,NA,48,37.625,winter
1992-02-28,17,NA,53,33.625,winter
1992-02-29,16,NA,46.5,37.5,winter
1992-03-01,22,28.046031745700002,63,37.25,winter
1992-03-02,19,NA,65.5,47.875,winter
1992-03-03,24,NA,64,58,winter
1992-03-04,10,NA,58,55.75,winter
1992-03-05,24,NA,57.5,52.125,winter
1992-03-06,15,27.7344632772,57.5,50.625,winter
1992-03-07,19,17.526417234,55,50,winter
1992-03-08,16,NA,63.5,48.125,winter
1992-03-09,24,NA,46,23.375,winter
1992-03-10,22,NA,25,11.25,winter
1992-03-11,13,NA,30,29.375,winter
1992-03-12,20,NA,31.5,18.625,winter
1992-03-13,19,23.945782483000002,46,34.25,winter
1992-03-14,12,NA,44,22,winter
1992-03-15,21,NA,37,20,winter
1992-03-16,29,NA,51,44.875,winter
1992-03-17,11,NA,51.5,35.625,winter
1992-03-18,20,NA,40,32.5,winter
1992-03-19,16,16,37,29.25,winter
1992-03-20,17,NA,42.5,35,winter
1992-03-21,19,NA,41,36.875,winter
1992-03-22,15,NA,37,21.25,winter
1992-03-23,18,NA,42,29.5,winter
1992-03-24,18,NA,45.5,41.25,winter
1992-03-25,15,23.135382828999997,48,25.25,winter
1992-03-26,26,NA,43.5,16.375,winter
1992-03-27,14,NA,39.5,20,winter
1992-03-28,12,NA,46.5,37.5,winter
1992-03-29,21,NA,45.5,41,winter
1992-03-30,16,NA,46.5,32.875,winter
1992-03-31,16,22.962965138,45.5,25.375,winter
1992-04-01,20,NA,32.5,18.25,spring
1992-04-02,21,NA,36.5,17.25,spring
1992-04-03,18,NA,50.5,37.625,spring
1992-04-04,15,NA,51,24.125,spring
1992-04-05,15,33.9518743668,54.5,38.375,spring
1992-04-06,13,34.266949152500004,61.5,46.5,spring
1992-04-07,18,NA,55,47,spring
1992-04-08,19,NA,57.5,51.875,spring
1992-04-09,21,NA,52.5,49.75,spring
1992-04-10,28,NA,65.5,55.125,spring
1992-04-11,18,11.751411198999998,55,43.25,spring
1992-04-12,19,17.607402283,43.5,28.75,spring
1992-04-13,21,NA,53.5,50.875,spring
1992-04-14,15,NA,70,61.75,spring
1992-04-15,25,NA,71.5,58.25,spring
1992-04-16,12,NA,57.5,47.375,spring
1992-04-17,22,14.492267440000001,51,50.875,spring
1992-04-18,13,24.646440678,61,61,spring
1992-04-19,11,NA,57.5,51.375,spring
1992-04-20,21,NA,42.5,32,spring
1992-04-21,13,NA,34.5,29.25,spring
1992-04-22,23,NA,46,45.875,spring
1992-04-23,19,20.20125,55,50.875,spring
1992-04-24,11,22.760677966,51,41.375,spring
1992-04-25,15,NA,44.5,35.875,spring
1992-04-26,12,NA,44,35.125,spring
1992-04-27,17,NA,47,34,spring
1992-04-28,16,NA,52.5,45.5,spring
1992-04-29,24,36.0175,64.5,58.625,spring
1992-04-30,27,24.142068966,72,53.875,spring
1992-05-01,10,NA,72.5,62.625,spring
1992-05-02,19,NA,63,38.625,spring
1992-05-03,13,NA,63.5,41.25,spring
1992-05-04,18,NA,61,40.125,spring
1992-05-05,9,39.397358944,53,30.25,spring
1992-05-06,18,30.9486139283,50.5,28.25,spring
1992-05-07,14,NA,58,34.125,spring
1992-05-08,12,NA,63.5,47.125,spring
1992-05-09,20,NA,70.5,50,spring
