date,mortality,pm10,temp,dewpt,season
1992-01-01,216,18.039154561000004,59.25,34.5,winter
1992-01-02,221,NA,64.75,29.125,winter
1992-01-03,206,NA,54.5,49.6875,winter
1992-01-04,200,NA,59.25,54.5,winter
1992-01-05,174,NA,54.75,47.875,winter
1992-01-06,213,NA,50.25,45.5625,winter
1992-01-07,187,19.243119454000002,48.75,43.9375,winter
1992-01-08,177,NA,52.25,41.625,winter
1992-01-09,174,NA,56.25,37.625,winter
1992-01-10,176,NA,60.25,37.625,winter
1992-01-11,191,NA,59.25,37.4375,winter
1992-01-12,164,NA,55.5,39.5625,winter
1992-01-13,164,37.427579365,53.5,33.9375,winter
1992-01-14,170,NA,55,39,winter
1992-01-15,183,NA,59,36.6875,winter
1992-01-16,159,NA,61.5,44.0625,winter
1992-01-17,192,NA,55.25,51.4375,winter
1992-01-18,178,NA,55,49.75,winter
1992-01-19,186,26.392281423,58,38,winter
1992-01-20,179,NA,59.75,41.8125,winter
1992-01-21,188,NA,56.25,52.125,winter
1992-01-22,177,NA,57.25,49.1875,winter
1992-01-23,182,NA,60.25,47.4375,winter
1992-01-24,182,NA,65,43.5,winter
1992-01-25,179,49.961328867700004,60.25,47.75,winter
1992-01-26,173,NA,56.5,51.5,winter
1992-01-27,150,NA,57.75,52.875,winter
1992-01-28,184,NA,58,50,winter
1992-01-29,184,NA,63.75,37.75,winter
1992-01-30,163,NA,67.25,39.625,winter
1992-01-31,185,56.201621997000004,64.25,39.75,winter
1992-02-01,181,NA,59.75,48.875,winter
1992-02-02,155,NA,59.5,38.0625,winter
1992-02-03,174,NA,64,29.9375,winter
1992-02-04,164,NA,63.75,39.9375,winter
1992-02-05,189,NA,61.75,50.8125,winter
1992-02-06,183,14.412192206999997,57,54.1875,winter
1992-02-07,169,NA,58,51.5,winter
1992-02-08,168,NA,58,52.625,winter
1992-02-09,163,NA,57,52.125,winter
1992-02-10,178,NA,56.25,55.0625,winter
1992-02-11,157,NA,60.25,56.25,winter
1992-02-12,173,9.972339247,57,55.0625,winter
1992-02-13,139,18.037301587,55.75,48.375,winter
1992-02-14,145,NA,54.25,49.75,winter
1992-02-15,151,NA,55.25,45.1875,winter
1992-02-16,152,NA,54.5,50.125,winter
1992-02-17,153,NA,56.75,51.0625,winter
1992-02-18,168,27.54072465,57.5,53.0625,winter
1992-02-19,157,NA,57.5,56.0625,winter
1992-02-20,171,NA,61,58.0625,winter
1992-02-21,168,24.450205032,61.75,56.25,winter
1992-02-22,139,NA,64.25,49.9375,winter
1992-02-23,142,NA,66.5,37.25,winter
1992-02-24,146,37.240775664,66,36.25,winter
1992-02-25,158,NA,67.75,39.25,winter
1992-02-26,172,NA,67.75,38.9375,winter
1992-02-27,140,NA,68.75,36.1875,winter
1992-02-28,157,38.269047619,68.25,38.75,winter
1992-02-29,165,NA,63.25,51.75,winter
1992-03-01,121,21.136894949,61.5,50.875,winter
1992-03-02,143,NA,57.75,53.5625,winter
1992-03-03,159,13.269047618999998,59,53.6875,winter
1992-03-04,164,NA,59.25,52.1875,winter
1992-03-05,137,NA,59.25,49.0625,winter
1992-03-06,168,NA,58.5,49.8125,winter
1992-03-07,157,14.759701110999998,54.75,46.625,winter
1992-03-08,137,NA,55.75,49.4375,winter
1992-03-09,166,NA,58.25,52.875,winter
1992-03-10,154,NA,58.5,54.375,winter
1992-03-11,149,NA,60.5,54.6875,winter
1992-03-12,147,NA,62,55.625,winter
1992-03-13,147,59.796125492,60.75,52.125,winter
1992-03-14,161,NA,59,50.125,winter
1992-03-15,161,NA,58.25,49.4375,winter
1992-03-16,175,NA,57.75,51.625,winter
1992-03-17,147,NA,59.25,51.4375,winter
1992-03-18,134,NA,58.25,50.5,winter
1992-03-19,152,31.425448825,57.5,51.375,winter
1992-03-20,146,28.970014665,57.75,54.25,winter
1992-03-21,143,NA,58,51.625,winter
1992-03-22,141,NA,57.25,53.75,winter
1992-03-23,132,NA,58,50.0625,winter
1992-03-24,145,NA,59.75,52.625,winter
1992-03-25,135,45.0647501113,59.5,51.25,winter
1992-03-26,142,NA,63.75,56.0625,winter
1992-03-27,153,NA,60.75,55.4375,winter
1992-03-28,153,33.791347905,62,52.125,winter
1992-03-29,146,NA,61.25,52.9375,winter
1992-03-30,139,NA,61,51.375,winter
1992-03-31,152,15.364057817000003,59.5,53,winter
1992-04-01,154,NA,63.25,54.4375,spring
1992-04-02,165,NA,62.25,57.75,spring
1992-04-03,128,NA,65,58.1875,spring
1992-04-04,132,NA,63.75,55.25,spring
1992-04-05,146,22.288515018000002,64,55.875,spring
1992-04-06,149,30.608781358,63.5,55.5625,spring
1992-04-07,150,NA,63.25,56.125,spring
1992-04-08,152,NA,62.5,56.875,spring
1992-04-09,137,NA,64.25,57.375,spring
1992-04-10,142,NA,64.75,56.875,spring
1992-04-11,161,NA,63.75,54.375,spring
1992-04-12,157,21.477941267,60.5,53.8125,spring
1992-04-13,131,NA,62.25,55.4375,spring
1992-04-14,136,NA,64,55.375,spring
1992-04-15,160,NA,63.75,54.8125,spring
1992-04-16,165,NA,64,56.875,spring
1992-04-17,151,NA,66.5,60.1875,spring
1992-04-18,149,36.884344703000004,69,54.9375,spring
1992-04-19,143,NA,71.75,49.75,spring
1992-04-20,155,NA,69.25,54.125,spring
1992-04-21,165,41.118852458999996,66.5,57.25,spring
1992-04-22,152,NA,66.75,51.5,spring
1992-04-23,131,NA,67.5,48.9375,spring
1992-04-24,159,57.849908925,70.75,53.6875,spring
1992-04-25,127,NA,73.25,57.5,spring
1992-04-26,176,NA,72.75,56.0625,spring
1992-04-27,161,NA,73,55.5,spring
1992-04-28,155,NA,70.5,60.625,spring
1992-04-29,139,NA,70,58.625,spring
1992-04-30,144,69.15894482,66.75,56.5,spring
1992-05-01,143,NA,66.75,57.125,spring
1992-05-02,138,NA,67.25,58.1875,spring
1992-05-03,133,NA,67.75,59.375,spring
1992-05-04,140,NA,65.25,57.125,spring
1992-05-05,151,NA,66.25,60.3125,spring
1992-05-06,145,32.754165167000004,67.75,59.75,spring
1992-05-07,145,46.26557377,66,58.8125,spring
1992-05-08,149,NA,66.25,60.625,spring
1992-05-09,120,NA,65.75,59.625,spring
1992-05-10,131,NA,68.5,59.4375,spring
1992-05-11,143,NA,68.25,56.25,spring
1992-05-12,121,29.042192413000002,67.5,58.125,spring
1992-05-13,113,NA,68,56.5,spring
1992-05-14,156,NA,65.75,56.6875,spring
1992-05-15,113,NA,66.75,56.75,spring
1992-05-16,141,NA,65.5,57.9375,spring
1992-05-17,139,NA,66.75,58.4375,spring
