date,mortality,pm10,temp,dewpt,season
1992-01-01,17,NA,43,30.125,winter
1992-01-02,20,NA,41,28.5,winter
1992-01-03,25,NA,42,32,winter
1992-01-04,25,NA,42,38.375,winter
1992-01-05,20,NA,47,42.625,winter
1992-01-06,14,NA,45.5,31.625,winter
1992-01-07,23,NA,42.5,33.625,winter
1992-01-08,11,NA,43,25,winter
1992-01-09,14,NA,44.5,26.25,winter
1992-01-10,19,NA,44.5,27.875,winter
1992-01-11,25,NA,42.5,20.5,winter
1992-01-12,14,NA,47,15.125,winter
1992-01-13,16,25.239356326,42,20.5,winter
1992-01-14,22,NA,45,24.625,winter
1992-01-15,18,NA,46,24.125,winter
1992-01-16,29,NA,43.5,24.5,winter
1992-01-17,20,NA,44.5,26.25,winter
1992-01-18,22,NA,47,18.625,winter
1992-01-19,13,18.024112426,45,16.25,winter
1992-01-20,23,NA,46,18.125,winter
1992-01-21,14,NA,47,22.5,winter
1992-01-22,18,NA,46.5,19.625,winter
1992-01-23,18,NA,46.5,14.625,winter
1992-01-24,17,NA,47.5,17.75,winter
1992-01-25,13,67.054240631,47.5,21.125,winter
1992-01-26,17,NA,46.5,25.375,winter
1992-01-27,22,NA,52.5,22.125,winter
1992-01-28,13,NA,48.5,23.25,winter
1992-01-29,15,NA,54,26.625,winter
1992-01-30,20,NA,54.5,16.875,winter
1992-01-31,21,61.454375584,51.5,21.625,winter
1992-02-01,22,NA,51.5,26.5,winter
1992-02-02,19,NA,54,24.75,winter
1992-02-03,19,NA,56,21.5,winter
1992-02-04,15,NA,53,29.375,winter
1992-02-05,13,NA,51,31.5,winter
1992-02-06,19,33.227490804,54,42.5,winter
1992-02-07,12,NA,50.5,45.375,winter
1992-02-08,12,NA,51,46.25,winter
1992-02-09,16,NA,53.5,44,winter
1992-02-10,17,NA,56,40.375,winter
1992-02-11,19,NA,56.5,42,winter
1992-02-12,14,11.626890205999999,52,48.75,winter
1992-02-13,12,NA,50.5,41.625,winter
1992-02-14,15,NA,48.5,40.125,winter
