date,mortality,pm10,temp,dewpt,season
1992-01-01,22,31,45.5,31.75,winter
1992-01-02,20,NA,44,45.375,winter
1992-01-03,15,NA,42.5,38.25,winter
1992-01-04,20,NA,40,37.125,winter
1992-01-05,26,NA,42.5,38,winter
1992-01-06,23,NA,49.5,40.375,winter
1992-01-07,23,36.9999999997,51,42.875,winter
1992-01-08,20,NA,53,54.625,winter
1992-01-09,20,NA,44.5,34.25,winter
1992-01-10,20,NA,34.5,23.375,winter
1992-01-11,20,NA,36.5,24.625,winter
1992-01-12,11,NA,45.5,46.875,winter
1992-01-13,21,14.000000002,44,45.625,winter
1992-01-14,27,NA,32.5,20.625,winter
1992-01-15,17,NA,30,10.625,winter
1992-01-16,16,NA,23.5,13.375,winter
1992-01-17,23,NA,35.5,24.375,winter
1992-01-18,23,NA,32.5,13.75,winter
1992-01-19,21,15.999999999000003,30,17.5,winter
1992-01-20,13,NA,40,33.25,winter
1992-01-21,26,NA,45,35.5,winter
1992-01-22,22,NA,48.5,53.25,winter
1992-01-23,24,NA,44.5,29.25,winter
1992-01-24,20,NA,40.5,18.75,winter
1992-01-25,20,22.000000002,51.5,32.25,winter
1992-01-26,20,NA,40.5,30.875,winter
1992-01-27,23,NA,45.5,45.75,winter
1992-01-28,20,NA,49,39.25,winter
1992-01-29,13,NA,41.5,37.375,winter
1992-01-30,19,NA,50.5,38.25,winter
1992-01-31,20,44,53.5,38.125,winter
1992-02-01,18,NA,47.5,30,winter
1992-02-02,15,NA,48.5,33.875,winter
1992-02-03,17,NA,56,40.25,winter
1992-02-04,13,NA,55.5,41.875,winter
1992-02-05,18,NA,43,31,winter
1992-02-06,19,44,46,32.75,winter
1992-02-07,18,NA,41,24.25,winter
1992-02-08,20,NA,35,16,winter
1992-02-09,14,NA,34.5,12.125,winter
1992-02-10,19,NA,43,20.75,winter
1992-02-11,24,NA,53,46.125,winter
1992-02-12,15,36.000000000200004,50.5,51.125,winter
1992-02-13,24,NA,53.5,50.5,winter
1992-02-14,16,NA,56,60.75,winter
1992-02-15,15,NA,55.5,42.375,winter
1992-02-16,27,NA,49.5,37.625,winter
1992-02-17,21,NA,53.5,54.375,winter
1992-02-18,27,16.000000004,59.5,37,winter
1992-02-19,21,NA,47.5,36.5,winter
1992-02-20,17,NA,48,32.625,winter
1992-02-21,17,NA,55.5,33.875,winter
1992-02-22,11,NA,59.5,49.875,winter
1992-02-23,24,NA,60,58,winter
1992-02-24,12,24.095980962,58.5,54.625,winter
1992-02-25,19,NA,45.5,36.875,winter
1992-02-26,15,NA,38.5,33.125,winter
1992-02-27,15,NA,49.5,43.25,winter
1992-02-28,13,NA,55.5,43.875,winter
1992-02-29,16,NA,51.5,39.625,winter
1992-03-01,14,22.828893442000002,54,37.125,winter
1992-03-02,13,NA,61.5,46.625,winter
1992-03-03,12,NA,61.5,55.25,winter
1992-03-04,21,NA,65,49.125,winter
1992-03-05,21,NA,66.5,56.5,winter
1992-03-06,11,NA,62.5,59.125,winter
1992-03-07,17,43.94709389,66,50.125,winter
1992-03-08,19,NA,66.5,47.375,winter
1992-03-09,17,NA,63,59.75,winter
1992-03-10,15,NA,46,15.875,winter
1992-03-11,16,NA,36,24.875,winter
1992-03-12,15,NA,46,33.125,winter
1992-03-13,19,27.014705882,40.5,32.875,winter
1992-03-14,15,NA,52,33,winter
1992-03-15,20,NA,47.5,29.875,winter
1992-03-16,21,NA,47,36.5,winter
1992-03-17,23,NA,62,56.75,winter
1992-03-18,20,NA,62.5,59.625,winter
1992-03-19,13,20.104449649,51,34.5,winter
1992-03-20,23,NA,44.5,29.625,winter
1992-03-21,21,NA,50.5,37.625,winter
1992-03-22,20,NA,47,34.375,winter
1992-03-23,21,NA,41.5,28.125,winter
1992-03-24,13,NA,48.5,35.875,winter
1992-03-25,13,28.096252927000002,50.5,47,winter
1992-03-26,21,NA,54.5,44.5,winter
1992-03-27,22,NA,48.5,24.5,winter
1992-03-28,30,NA,53,29.25,winter
1992-03-29,20,NA,62,58.125,winter
1992-03-30,14,NA,56,41.125,winter
1992-03-31,9,39.0142857143,51,40.25,winter
1992-04-01,23,NA,46.5,24.125,spring
1992-04-02,23,NA,42.5,22.875,spring
1992-04-03,19,NA,46,28.5,spring
1992-04-04,26,NA,62,27.75,spring
1992-04-05,14,NA,54.5,27,spring
1992-04-06,18,30.604449649,56,48.625,spring
1992-04-07,20,NA,60,52.25,spring
1992-04-08,18,NA,62,53.25,spring
1992-04-09,19,NA,67.5,58.5,spring
1992-04-10,11,NA,72,54.875,spring
1992-04-11,21,NA,69.5,57.375,spring
1992-04-12,15,39.022482436,63.5,45.625,spring
1992-04-13,13,NA,65,49.5,spring
1992-04-14,15,NA,71.5,55.875,spring
1992-04-15,21,NA,76,56.75,spring
