date,mortality,pm10,temp,dewpt,season
1992-01-01,56,17.506801535,68.5,67,winter
1992-01-02,45,NA,71,63,winter
1992-01-03,48,NA,66,56.125,winter
1992-01-04,39,NA,63,50.5,winter
1992-01-05,48,NA,58,51.75,winter
1992-01-06,62,NA,62.5,56.5,winter
1992-01-07,39,29.6316649225,67,51.25,winter
1992-01-08,41,NA,67.5,54.875,winter
1992-01-09,44,NA,69.5,65.25,winter
1992-01-10,48,NA,73,65,winter
1992-01-11,52,NA,66,55,winter
1992-01-12,47,NA,66,60.5,winter
1992-01-13,62,22,73.5,70,winter
1992-01-14,51,NA,73,62.75,winter
1992-01-15,54,NA,61,47.375,winter
1992-01-16,59,NA,54.5,32.5,winter
1992-01-17,54,NA,57.5,50.375,winter
1992-01-18,53,NA,64,58.125,winter
1992-01-19,50,21.5,74,68.125,winter
1992-01-20,44,NA,66,54.25,winter
1992-01-21,51,NA,64.5,54.125,winter
1992-01-22,55,NA,72,65.375,winter
1992-01-23,48,NA,73,70.875,winter
1992-01-24,40,NA,62.5,38.25,winter
1992-01-25,40,24.737431693999998,61,52.75,winter
1992-01-26,46,NA,65.5,54.75,winter
1992-01-27,42,NA,71,64.5,winter
1992-01-28,42,NA,74.5,70.125,winter
1992-01-29,52,NA,76.5,72,winter
1992-01-30,54,NA,74.5,67.75,winter
1992-01-31,39,19.292349727,70.5,57.125,winter
1992-02-01,51,NA,63.5,45.25,winter
1992-02-02,54,NA,63.5,52.875,winter
1992-02-03,53,NA,67,51.875,winter
1992-02-04,61,NA,67,60.25,winter
1992-02-05,38,NA,72,64.375,winter
1992-02-06,64,19.025,68,58.75,winter
1992-02-07,56,NA,65.5,55,winter
1992-02-08,55,NA,62.5,51.875,winter
1992-02-09,61,NA,61.5,58.875,winter
1992-02-10,57,NA,67,58,winter
1992-02-11,51,NA,67,56.625,winter
1992-02-12,54,30.0093971633,67.5,55,winter
1992-02-13,43,NA,70,61.75,winter
1992-02-14,36,NA,70.5,62.625,winter
