date,mortality,pm10,temp,dewpt,season
1992-01-01,29,34.5103389831,32.5,30.125,winter
1992-01-02,28,NA,36.5,38.375,winter
1992-01-03,34,NA,38,33.375,winter
1992-01-04,36,NA,35.5,29.625,winter
1992-01-05,34,NA,34.5,28,winter
1992-01-06,27,NA,35,29.625,winter
1992-01-07,21,21,36,28.375,winter
1992-01-08,36,NA,36.5,36.25,winter
1992-01-09,32,NA,36.5,30.875,winter
1992-01-10,30,NA,30,21.625,winter
1992-01-11,25,NA,37.5,32.125,winter
1992-01-12,40,NA,38.5,35.125,winter
1992-01-13,34,16.499999997000003,32,21.625,winter
1992-01-14,26,NA,23,7,winter
1992-01-15,27,NA,7,-10.875,winter
1992-01-16,25,NA,10,12.875,winter
1992-01-17,19,NA,18.5,-1.25,winter
1992-01-18,24,NA,5.5,-8.875,winter
1992-01-19,22,27.8271851115,12.5,14.875,winter
1992-01-20,31,NA,21,17.375,winter
1992-01-21,19,NA,31,27.25,winter
1992-01-22,18,NA,35,32,winter
1992-01-23,19,NA,27.5,12.875,winter
1992-01-24,15,NA,17.5,1.375,winter
1992-01-25,28,17.500000001,23,17.125,winter
1992-01-26,30,NA,22.5,20.625,winter
1992-01-27,28,NA,27.5,20.625,winter
1992-01-28,36,NA,29,21.625,winter
1992-01-29,29,NA,30.5,27.75,winter
1992-01-30,23,NA,35,29.625,winter
1992-01-31,28,18.5,30.5,17.125,winter
1992-02-01,14,NA,28,21.875,winter
1992-02-02,23,NA,37,31.125,winter
1992-02-03,25,NA,37.5,37.875,winter
1992-02-04,20,NA,33.5,20,winter
1992-02-05,26,NA,31.5,27.75,winter
1992-02-06,25,30.9999999996,35,23.875,winter
1992-02-07,18,NA,26,12,winter
1992-02-08,25,NA,19,0.25,winter
1992-02-09,26,NA,17.5,9.875,winter
1992-02-10,26,NA,29.5,29.75,winter
1992-02-11,25,NA,26.5,6,winter
1992-02-12,23,14.984088547,24.5,15.875,winter
1992-02-13,28,NA,30.5,26.5,winter
1992-02-14,19,NA,32.5,29.375,winter
1992-02-15,25,NA,33,28.25,winter
1992-02-16,13,NA,31,29.375,winter
1992-02-17,28,NA,35,31.625,winter
1992-02-18,20,23.5,34,34.375,winter
1992-02-19,19,NA,35,30.25,winter
1992-02-20,22,NA,38.5,31.125,winter
1992-02-21,30,NA,32,25.125,winter
1992-02-22,22,NA,34.5,29.875,winter
1992-02-23,23,NA,34,32.75,winter
1992-02-24,24,18,34,31,winter
1992-02-25,28,NA,34.5,24.375,winter
1992-02-26,17,NA,34,28.625,winter
1992-02-27,20,NA,41.5,31,winter
1992-02-28,26,NA,36,22.875,winter
1992-02-29,22,NA,27.5,23.875,winter
1992-03-01,23,19,50,37.125,winter
1992-03-02,20,NA,35,34.25,winter
1992-03-03,18,NA,35,35.5,winter
1992-03-04,29,NA,40,34.625,winter
1992-03-05,26,NA,42,41.625,winter
1992-03-06,22,NA,43,40.5,winter
1992-03-07,18,41.700660308,40.5,38.625,winter
1992-03-08,28,NA,50.5,40.875,winter
1992-03-09,25,NA,38.5,21.625,winter
1992-03-10,21,NA,20,9.25,winter
1992-03-11,26,NA,20,9.75,winter
1992-03-12,20,NA,21.5,8,winter
1992-03-13,31,29.5000000002,24,14.875,winter
1992-03-14,25,NA,26.5,12.875,winter
1992-03-15,26,NA,28,8.125,winter
1992-03-16,16,NA,34,31.625,winter
1992-03-17,32,NA,37,22.75,winter
1992-03-18,16,NA,32,23.875,winter
1992-03-19,12,23.5,34,21.625,winter
1992-03-20,18,NA,32.5,18.875,winter
1992-03-21,26,NA,29,27,winter
1992-03-22,34,NA,31.5,16.125,winter
1992-03-23,28,NA,33,22.375,winter
1992-03-24,16,NA,41.5,34.25,winter
1992-03-25,24,37.963316215,45.5,25.5,winter
1992-03-26,19,NA,38.5,29.125,winter
1992-03-27,24,NA,31,26,winter
1992-03-28,21,NA,35,27.875,winter
1992-03-29,26,NA,36,34.625,winter
1992-03-30,26,NA,44.5,20,winter
1992-03-31,23,25.999999999899998,42.5,24.25,winter
1992-04-01,12,NA,32,25.25,spring
1992-04-02,19,NA,30.5,20.875,spring
1992-04-03,24,NA,38,33.625,spring
1992-04-04,26,NA,37.5,24,spring
1992-04-05,22,NA,37.5,25.875,spring
1992-04-06,22,44.5,52,31.25,spring
1992-04-07,17,NA,52,39.25,spring
1992-04-08,10,NA,43,35.875,spring
1992-04-09,17,NA,46.5,35.625,spring
1992-04-10,22,NA,39.5,37.5,spring
1992-04-11,20,NA,43.5,31.75,spring
1992-04-12,17,11.499999998999998,34,18.25,spring
1992-04-13,15,NA,35,29.875,spring
1992-04-14,15,NA,38,32.5,spring
