date,mortality,pm10,temp,dewpt,season
1992-01-01,72,37.111755757999994,31,28.25,winter
1992-01-02,42,NA,44.5,31.75,winter
1992-01-03,56,NA,49.5,40.375,winter
1992-01-04,42,NA,46.5,43.75,winter
1992-01-05,56,NA,44.5,30.625,winter
1992-01-06,47,NA,40.5,27.5,winter
1992-01-07,38,21.474712642999997,38.5,26.625,winter
1992-01-08,56,NA,37,21.875,winter
1992-01-09,55,NA,39,41.75,winter
1992-01-10,49,NA,40,32.125,winter
1992-01-11,60,NA,37.5,22.75,winter
1992-01-12,46,NA,38,31.875,winter
1992-01-13,62,56.089102564,45.5,30.375,winter
1992-01-14,62,NA,49,23.125,winter
1992-01-15,52,NA,28.5,10,winter
1992-01-16,36,NA,23.5,-3.875,winter
1992-01-17,45,NA,25.5,16.5,winter
1992-01-18,46,NA,27.5,-3.125,winter
1992-01-19,42,20.953475032999997,17,-3,winter
1992-01-20,49,NA,26,17,winter
1992-01-21,48,NA,30.5,21.125,winter
1992-01-22,33,NA,34,25.75,winter
1992-01-23,63,NA,47.5,48.5,winter
1992-01-24,39,NA,35.5,9.5,winter
1992-01-25,31,22.121208173,26.5,13.25,winter
1992-01-26,44,NA,26.5,11.75,winter
1992-01-27,44,NA,27.5,22,winter
1992-01-28,50,NA,36,25.75,winter
1992-01-29,48,NA,36,28.875,winter
1992-01-30,57,NA,36.5,31.625,winter
1992-01-31,53,50.120439870999995,41,28.5,winter
1992-02-01,33,NA,31,12,winter
1992-02-02,63,NA,29.5,6.75,winter
1992-02-03,54,NA,36.5,9.875,winter
1992-02-04,50,NA,33.5,24.125,winter
1992-02-05,48,NA,34.5,10.625,winter
1992-02-06,55,23.741481963,32.5,18.375,winter
1992-02-07,40,NA,36.5,26.75,winter
1992-02-08,55,NA,33.5,25.125,winter
1992-02-09,40,NA,26,-0.5,winter
1992-02-10,35,NA,24,6.625,winter
1992-02-11,48,NA,36.5,24.375,winter
1992-02-12,38,20.131781373,24.5,-2.75,winter
1992-02-13,49,NA,28,28.125,winter
1992-02-14,44,NA,38.5,29.375,winter
1992-02-15,58,NA,43.5,49.5,winter
1992-02-16,55,NA,45,26.5,winter
1992-02-17,38,NA,41.5,29.5,winter
1992-02-18,45,33.875202429,42,44,winter
1992-02-19,46,NA,47.5,42,winter
1992-02-20,46,NA,41,29,winter
1992-02-21,47,NA,44,22,winter
1992-02-22,45,NA,43.5,37.875,winter
1992-02-23,50,NA,51,38.375,winter
1992-02-24,41,31.913663966999998,42.5,35.125,winter
1992-02-25,44,NA,38.5,37.375,winter
1992-02-26,44,NA,40,27.625,winter
1992-02-27,48,NA,40,29,winter
1992-02-28,46,NA,48.5,34.875,winter
1992-02-29,45,NA,39,1.875,winter
1992-03-01,38,25.170653453,39.5,26.5,winter
1992-03-02,46,NA,43,31.125,winter
1992-03-03,44,NA,40.5,33.375,winter
