date,mortality,pm10,temp,dewpt,season
1992-01-01,19,NA,40,35.625,winter
1992-01-02,16,NA,44.5,41.625,winter
1992-01-03,33,NA,42.5,38.5,winter
1992-01-04,31,NA,44,37,winter
1992-01-05,35,NA,42,36,winter
1992-01-06,22,NA,39.5,36,winter
1992-01-07,25,NA,38.5,28.125,winter
1992-01-08,18,NA,40,30.5,winter
1992-01-09,23,NA,41.5,30.125,winter
1992-01-10,20,NA,44,42.25,winter
1992-01-11,20,NA,41,36.375,winter
1992-01-12,26,NA,36,36.5,winter
1992-01-13,21,NA,40.5,41.875,winter
1992-01-14,19,NA,45.5,44.375,winter
1992-01-15,14,NA,45,41.625,winter
1992-01-16,24,NA,46,37.875,winter
1992-01-17,19,NA,41,31.75,winter
1992-01-18,26,NA,44,29.625,winter
1992-01-19,27,NA,41,28.5,winter
1992-01-20,17,NA,38,30.25,winter
1992-01-21,30,NA,46,35.875,winter
1992-01-22,15,NA,43,42,winter
1992-01-23,23,NA,53,41.125,winter
1992-01-24,21,NA,52.5,44.5,winter
1992-01-25,17,NA,50,43.5,winter
1992-01-26,23,NA,44.5,41.75,winter
1992-01-27,24,NA,50,47.375,winter
1992-01-28,22,NA,53,45.375,winter
1992-01-29,21,NA,51.5,45.625,winter
1992-01-30,23,NA,51,44.625,winter
1992-01-31,22,NA,54,44.125,winter
1992-02-01,18,NA,47,42.25,winter
1992-02-02,16,NA,48.5,39,winter
1992-02-03,25,NA,47.5,35.5,winter
1992-02-04,23,NA,48,36.875,winter
1992-02-05,23,NA,42,35.875,winter
1992-02-06,18,NA,41,35.125,winter
1992-02-07,18,NA,44,37,winter
1992-02-08,16,NA,42.5,42,winter
1992-02-09,19,NA,48,38.25,winter
1992-02-10,16,NA,49.5,38.125,winter
1992-02-11,14,NA,47.5,43.5,winter
1992-02-12,23,NA,48,41.5,winter
1992-02-13,21,NA,51,45.125,winter
1992-02-14,18,NA,48.5,42.5,winter
1992-02-15,22,NA,46,35.75,winter
1992-02-16,15,NA,44,39.625,winter
1992-02-17,18,NA,47.5,42,winter
1992-02-18,18,NA,46.5,44.875,winter
1992-02-19,16,NA,45.5,45.125,winter
1992-02-20,15,NA,50.5,43.25,winter
1992-02-21,15,NA,54,46.125,winter
1992-02-22,13,NA,51.5,41.625,winter
1992-02-23,17,NA,48,47.75,winter
1992-02-24,20,NA,53.5,50.375,winter
1992-02-25,19,NA,55,45,winter
1992-02-26,21,NA,56,43,winter
1992-02-27,25,NA,51,43.125,winter
1992-02-28,17,NA,48.5,42.125,winter
1992-02-29,13,NA,47.5,41.75,winter
1992-03-01,21,NA,47,42.375,winter
1992-03-02,18,NA,46,43.25,winter
1992-03-03,21,NA,53,45,winter
1992-03-04,17,NA,47.5,47.25,winter
1992-03-05,27,NA,52.5,46.5,winter
1992-03-06,18,NA,51.5,45.75,winter
1992-03-07,26,NA,52,41.875,winter
1992-03-08,17,NA,49.5,39.5,winter
1992-03-09,19,NA,51,38.875,winter
1992-03-10,11,NA,52.5,41.625,winter
1992-03-11,18,NA,50.5,44.125,winter
1992-03-12,12,NA,53.5,46.625,winter
1992-03-13,22,NA,53.5,48.375,winter
1992-03-14,30,NA,54.5,49.75,winter
1992-03-15,14,NA,55.5,46.375,winter
1992-03-16,16,NA,51,48.125,winter
1992-03-17,15,NA,49,44.75,winter
1992-03-18,22,NA,48,39.625,winter
1992-03-19,20,NA,51.5,39.625,winter
1992-03-20,17,NA,53,41.25,winter
1992-03-21,24,NA,55,36.125,winter
1992-03-22,18,NA,54.5,40.875,winter
1992-03-23,22,NA,55,47.375,winter
1992-03-24,16,NA,52.5,45.625,winter
1992-03-25,20,NA,55,47.625,winter
1992-03-26,21,NA,53.5,45.5,winter
1992-03-27,17,NA,52,32.125,winter
1992-03-28,22,NA,47.5,26.5,winter
1992-03-29,16,NA,59,35.875,winter
1992-03-30,21,NA,60,47.375,winter
1992-03-31,23,NA,58,47.875,winter
1992-04-01,16,NA,61.5,52,spring
1992-04-02,20,NA,63,50.75,spring
1992-04-03,9,NA,55,41.125,spring
1992-04-04,17,NA,46.5,40.875,spring
1992-04-05,13,NA,44.5,39.875,spring
1992-04-06,19,NA,48,37.125,spring
1992-04-07,21,NA,45.5,36.5,spring
1992-04-08,21,NA,45.5,45.875,spring
1992-04-09,10,NA,54,50.25,spring
1992-04-10,12,NA,53,46.25,spring
1992-04-11,19,NA,51.5,49.125,spring
1992-04-12,17,NA,56.5,50.75,spring
1992-04-13,15,NA,57,51.375,spring
1992-04-14,22,NA,60.5,51.75,spring
1992-04-15,20,NA,58.5,53.875,spring
1992-04-16,19,NA,57.5,54.375,spring
1992-04-17,11,NA,55,47.125,spring
1992-04-18,17,NA,55,45.875,spring
1992-04-19,17,NA,53.5,49.75,spring
1992-04-20,22,NA,56.5,43.125,spring
1992-04-21,17,NA,50.5,40,spring
1992-04-22,23,NA,48.5,38.5,spring
1992-04-23,18,NA,52.5,45.125,spring
1992-04-24,20,NA,63.5,40.75,spring
1992-04-25,15,NA,65.5,48.125,spring
1992-04-26,22,NA,61.5,51.375,spring
1992-04-27,14,NA,64,57.25,spring
1992-04-28,18,NA,63.5,59.75,spring
1992-04-29,17,NA,62,52.875,spring
1992-04-30,13,NA,53,38.625,spring
1992-05-01,23,NA,53.5,40.875,spring
1992-05-02,21,NA,61.5,47.375,spring
1992-05-03,13,NA,67.5,53.5,spring
1992-05-04,22,NA,71.5,53.875,spring
1992-05-05,21,NA,70.5,53.25,spring
1992-05-06,21,NA,70.5,57.125,spring
1992-05-07,13,NA,65.5,40,spring
1992-05-08,18,NA,52,47.125,spring
1992-05-09,22,NA,55,48,spring
1992-05-10,15,NA,56,39.75,spring
1992-05-11,14,NA,52.5,40.625,spring
1992-05-12,11,NA,54,42.375,spring
1992-05-13,26,NA,64.5,44.625,spring
1992-05-14,21,NA,62.5,44.875,spring
1992-05-15,15,NA,61,47.5,spring
1992-05-16,19,NA,66.5,45.5,spring
1992-05-17,19,NA,69.5,54.125,spring
1992-05-18,20,NA,63.5,51.75,spring
1992-05-19,18,NA,62.5,47.75,spring
1992-05-20,15,NA,54.5,37.25,spring
1992-05-21,17,NA,56,39.75,spring
1992-05-22,19,NA,63.5,47,spring
1992-05-23,12,NA,70,51.75,spring
1992-05-24,23,NA,74.5,57.25,spring
1992-05-25,19,NA,68.5,53.375,spring
1992-05-26,15,NA,62.5,49.25,spring
1992-05-27,31,NA,62.5,52.5,spring
1992-05-28,22,NA,64,56,spring
1992-05-29,21,NA,65,53.875,spring
1992-05-30,19,NA,68,51.625,spring
1992-05-31,15,NA,73,56,spring
1992-06-01,26,NA,65,52.25,spring
1992-06-02,12,NA,63.5,50.875,spring
1992-06-03,18,NA,68.5,41.75,spring
1992-06-04,20,NA,62,49.25,spring
1992-06-05,16,NA,65,51.25,spring
1992-06-06,24,NA,67,49.125,spring
1992-06-07,17,NA,63.5,50.25,spring
1992-06-08,25,NA,64,51.75,spring
1992-06-09,18,NA,63.5,48.25,spring
1992-06-10,9,NA,66.5,49.5,spring
1992-06-11,15,NA,60.5,51.625,spring
1992-06-12,25,NA,59.5,52.75,spring
1992-06-13,19,NA,58.5,50.125,spring
1992-06-14,17,NA,63,47.75,spring
1992-06-15,22,NA,60.5,51.625,spring
1992-06-16,28,NA,60,50.875,spring
1992-06-17,17,NA,62.5,52.125,spring
1992-06-18,18,NA,68.5,54.625,spring
1992-06-19,23,NA,69.5,54.125,spring
1992-06-20,24,NA,71.5,60.125,spring
1992-06-21,21,NA,79,57.25,spring
1992-06-22,22,NA,80.5,58.375,spring
1992-06-23,35,NA,81,57.375,spring
1992-06-24,32,NA,80,57.25,spring
1992-06-25,23,NA,72,55.375,spring
1992-06-26,18,NA,72,58.875,spring
1992-06-27,16,NA,73.5,59.75,spring
1992-06-28,15,NA,66,56.25,spring
1992-06-29,20,NA,63.5,53,spring
1992-06-30,16,NA,65.5,55.125,spring
1992-07-01,23,NA,65.5,55.375,summer
1992-07-02,18,NA,68.5,54.125,summer
1992-07-03,20,NA,72,53.75,summer
1992-07-04,16,NA,64.5,56.875,summer
1992-07-05,21,NA,65,58.75,summer
1992-07-06,17,NA,65.5,53.625,summer
1992-07-07,14,NA,62.5,53.625,summer
