date,mortality,pm10,temp,dewpt,season
1992-01-01,29,77.611772487,46.75,40.375,winter
1992-01-02,23,NA,42.625,38.3,winter
1992-01-03,19,NA,46.875,44.279761905,winter
1992-01-04,24,NA,53,47.1875,winter
1992-01-05,27,NA,48.375,44.4375,winter
1992-01-06,27,NA,47,46.366666667,winter
1992-01-07,19,2.8339947069999987,47.25,42.986904762,winter
1992-01-08,27,NA,43,41.545238095,winter
1992-01-09,26,NA,40.5,36.871428571,winter
1992-01-10,24,NA,41.125,40.061904762,winter
1992-01-11,15,NA,47.875,35.4125,winter
1992-01-12,19,NA,41.875,35.375,winter
1992-01-13,22,66.130291005,41.75,37.227380952,winter
1992-01-14,27,NA,42.875,38.147619048,winter
1992-01-15,16,NA,40.875,39.555555556,winter
1992-01-16,25,NA,41.125,39.458333333,winter
1992-01-17,18,NA,41.625,39.80952381,winter
1992-01-18,27,NA,43.5,39.1875,winter
1992-01-19,30,26.111772487,40,38.125,winter
1992-01-20,22,NA,39.75,37.4375,winter
1992-01-21,14,NA,40.125,36.923809524,winter
1992-01-22,24,NA,37.75,36.054761905,winter
1992-01-23,30,NA,36.875,34.589285714,winter
1992-01-24,24,NA,37.375,34.522619048,winter
1992-01-25,17,71.093253968,43.375,41.1375,winter
1992-01-26,19,NA,47.625,44.9375,winter
1992-01-27,27,NA,47.25,42.186904762,winter
1992-01-28,19,NA,49.875,46.963095238,winter
1992-01-29,19,NA,46.375,44.229761905,winter
1992-01-30,25,NA,44.25,44.438095238,winter
1992-01-31,22,NA,49.625,45.042857143,winter
1992-02-01,22,NA,53.5,44.425,winter
1992-02-02,13,NA,51.125,39.4875,winter
1992-02-03,16,NA,50.125,40.451190476,winter
1992-02-04,18,NA,48.375,41.033333333,winter
1992-02-05,19,NA,48.75,41.932142857,winter
1992-02-06,23,35.5590659339,51,47.777380952,winter
1992-02-07,19,NA,54.5,51.696428571,winter
1992-02-08,25,NA,57.625,51.5125,winter
1992-02-09,20,NA,57.125,47.875,winter
1992-02-10,19,NA,54.75,48.55952381,winter
