date,mortality,pm10,temp,dewpt,season
1992-01-01,21,26.114175415600002,59.5,56.5,winter
1992-01-02,24,NA,54.5,37.875,winter
1992-01-03,32,NA,52.5,42.75,winter
1992-01-04,26,NA,50.5,51.25,winter
1992-01-05,23,NA,54.5,51.25,winter
1992-01-06,17,NA,53,52.75,winter
1992-01-07,19,15.288514869000002,59,58.125,winter
1992-01-08,28,NA,57.5,39.75,winter
1992-01-09,18,NA,54.5,33.375,winter
1992-01-10,30,NA,54.5,29,winter
1992-01-11,27,NA,50,44.5,winter
1992-01-12,19,NA,51.5,49,winter
1992-01-13,26,8.041431641,45.5,30.125,winter
1992-01-14,22,NA,44,23.75,winter
1992-01-15,25,NA,46,24.5,winter
1992-01-16,26,NA,35,18,winter
1992-01-17,20,NA,39.5,31.6,winter
1992-01-18,34,NA,42,34.75,winter
1992-01-19,21,10.894123721000001,43.5,31.25,winter
1992-01-20,24,NA,43,33.5,winter
1992-01-21,21,NA,47,46.625,winter
1992-01-22,28,NA,58,36.125,winter
1992-01-23,26,NA,50.5,29.5,winter
1992-01-24,28,NA,49,30.625,winter
1992-01-25,19,19.054740779,49.5,52.875,winter
1992-01-26,13,NA,54,52,winter
1992-01-27,28,NA,54,49.75,winter
1992-01-28,32,NA,51.5,47,winter
1992-01-29,17,NA,54,49.25,winter
1992-01-30,19,NA,55.5,47.125,winter
1992-01-31,22,34.565327591,59,44,winter
1992-02-01,27,NA,55.5,48.625,winter
1992-02-02,18,NA,55.5,56.5,winter
1992-02-03,26,NA,59,58.75,winter
1992-02-04,22,NA,53.5,45.125,winter
1992-02-05,23,NA,53,36.125,winter
1992-02-06,19,22.411667579000003,50.5,39.125,winter
1992-02-07,24,NA,53,33.25,winter
1992-02-08,17,NA,49.5,30.625,winter
1992-02-09,14,NA,54.5,45.875,winter
1992-02-10,19,NA,59.5,57.375,winter
1992-02-11,22,NA,68.5,59,winter
1992-02-12,27,20.454771027,70.5,60.625,winter
1992-02-13,31,NA,68,63.25,winter
1992-02-14,23,NA,68.5,63.25,winter
1992-02-15,19,NA,67.5,39.875,winter
1992-02-16,17,NA,61,55.75,winter
1992-02-17,21,NA,66.5,32.25,winter
1992-02-18,17,23.37718482,61.5,28.5,winter
1992-02-19,11,NA,58,28.25,winter
1992-02-20,29,NA,55.5,44.625,winter
1992-02-21,25,NA,59,57.5,winter
1992-02-22,22,NA,65.5,56,winter
1992-02-23,19,NA,64,58.125,winter
1992-02-24,21,6.506495161,59.5,53.625,winter
1992-02-25,20,NA,49,29.625,winter
1992-02-26,26,NA,49.5,34.75,winter
1992-02-27,20,NA,58,40,winter
1992-02-28,27,NA,58.5,39.25,winter
1992-02-29,23,NA,63.5,40.75,winter
1992-03-01,24,10.282357231,60.5,56.25,winter
1992-03-02,20,NA,65.5,64,winter
1992-03-03,15,NA,66,62.5,winter
1992-03-04,27,NA,65,59.875,winter
1992-03-05,28,NA,67.5,52,winter
1992-03-06,29,NA,66.5,50.25,winter
1992-03-07,20,13.744075531000002,64.5,52.125,winter
1992-03-08,28,NA,70,65.875,winter
1992-03-09,15,NA,71,40.25,winter
1992-03-10,26,NA,49.5,18.875,winter
1992-03-11,18,NA,45,27.125,winter
1992-03-12,29,NA,57,35.375,winter
1992-03-13,20,33.357313399700004,59,38,winter
1992-03-14,24,NA,65.5,40.5,winter
1992-03-15,28,NA,65,53.625,winter
1992-03-16,25,NA,67.5,54.5,winter
1992-03-17,18,NA,68.5,62.75,winter
1992-03-18,14,NA,71.5,38.125,winter
1992-03-19,27,21.684368728000003,65,41.125,winter
1992-03-20,17,NA,57.5,43.625,winter
1992-03-21,23,NA,62.5,63.875,winter
1992-03-22,22,NA,66,41.75,winter
1992-03-23,25,NA,55.5,34.375,winter
1992-03-24,20,NA,56,56.375,winter
1992-03-25,23,18.675941179000002,73,44.625,winter
1992-03-26,18,NA,65.5,53.375,winter
1992-03-27,24,NA,62,55.625,winter
1992-03-28,21,NA,61,60.125,winter
1992-03-29,22,NA,70,60.875,winter
1992-03-30,18,NA,65.5,45.875,winter
1992-03-31,17,27.235862038700002,60,55.875,winter
1992-04-01,22,NA,63,46,spring
1992-04-02,21,NA,51,35.375,spring
1992-04-03,13,NA,56.5,44.375,spring
1992-04-04,27,NA,61,54.125,spring
1992-04-05,22,NA,61,57.75,spring
1992-04-06,19,13.432300701,70,56.875,spring
1992-04-07,17,NA,69.5,62.125,spring
1992-04-08,24,NA,70,61.25,spring
1992-04-09,20,NA,71,60.125,spring
1992-04-10,16,NA,71.5,64.375,spring
1992-04-11,23,NA,74,66.5,spring
1992-04-12,30,19.372379845,75.5,64.75,spring
1992-04-13,15,NA,75,60.5,spring
1992-04-14,13,NA,73,61.125,spring
1992-04-15,19,NA,74.5,60.875,spring
1992-04-16,25,NA,75,64.875,spring
1992-04-17,20,NA,65.5,60.5,spring
1992-04-18,17,15.178908958000001,68.5,65.625,spring
1992-04-19,24,NA,71,50.75,spring
