date,mortality,pm10,temp,dewpt,season
1992-01-01,57,26.593220339000005,56.5,42,winter
1992-01-02,45,NA,63.5,37.125,winter
1992-01-03,60,NA,57.5,55,winter
1992-01-04,52,NA,59,52.875,winter
1992-01-05,48,NA,56,48.25,winter
1992-01-06,62,NA,55.5,45.75,winter
1992-01-07,35,20.559322039,53.5,46.375,winter
1992-01-08,50,NA,57,32.5,winter
1992-01-09,42,NA,54.5,42.125,winter
1992-01-10,41,NA,58.5,43.625,winter
1992-01-11,50,NA,57,51,winter
1992-01-12,57,NA,53.5,42.125,winter
1992-01-13,48,31.944778568000004,52.5,40.625,winter
1992-01-14,46,NA,53,46.75,winter
1992-01-15,45,NA,59.5,27.5,winter
1992-01-16,56,NA,57,32.5,winter
1992-01-17,57,NA,53.5,51.375,winter
1992-01-18,69,NA,56,52.625,winter
1992-01-19,57,28.783488245000004,60,29.375,winter
1992-01-20,46,NA,57,42.375,winter
1992-01-21,54,NA,55.5,51.75,winter
1992-01-22,43,NA,55.5,47.75,winter
1992-01-23,50,NA,57,45.25,winter
1992-01-24,59,NA,60.5,29.5,winter
1992-01-25,43,53.578055308,59.5,49,winter
1992-01-26,52,NA,55,49.875,winter
1992-01-27,61,NA,60,53.125,winter
1992-01-28,40,NA,58,49.5,winter
1992-01-29,43,NA,60,45.375,winter
1992-01-30,55,NA,62,30.875,winter
1992-01-31,47,36.6306868869,65,44.375,winter
1992-02-01,44,NA,58.5,53.5,winter
1992-02-02,43,NA,59.5,51.75,winter
1992-02-03,51,NA,60.5,38.375,winter
1992-02-04,50,NA,63,43.75,winter
1992-02-05,56,NA,61,51.75,winter
1992-02-06,40,18.702843079000004,61,56,winter
1992-02-07,45,NA,60.5,53.625,winter
1992-02-08,42,NA,58.5,50.125,winter
1992-02-09,54,NA,57.5,51,winter
1992-02-10,32,NA,60,52.75,winter
1992-02-11,38,NA,61,53.125,winter
1992-02-12,37,15.576271189000003,60.5,56.125,winter
1992-02-13,56,NA,60.5,49.875,winter
1992-02-14,45,NA,58,47.125,winter
1992-02-15,50,NA,56,47.375,winter
1992-02-16,41,NA,55.5,49.25,winter
1992-02-17,52,NA,56,51.25,winter
1992-02-18,44,31.443456516000005,58,52.75,winter
1992-02-19,51,NA,58.5,54.125,winter
1992-02-20,42,NA,62,57.25,winter
1992-02-21,46,NA,61.5,55.25,winter
1992-02-22,55,NA,59.5,55.125,winter
1992-02-23,40,NA,67.5,45.125,winter
1992-02-24,49,27.061661865000005,64.5,38.25,winter
1992-02-25,32,NA,65,39.375,winter
1992-02-26,45,NA,70,51.5,winter
1992-02-27,36,NA,66.5,32.25,winter
1992-02-28,47,NA,67.5,45.5,winter
1992-02-29,55,NA,65,51.75,winter
1992-03-01,38,23.458757059000003,65.5,48.375,winter
1992-03-02,60,NA,59,52,winter
1992-03-03,50,19.084745759000004,58.5,52.375,winter
1992-03-04,47,NA,60,50.125,winter
1992-03-05,28,NA,59.5,47.5,winter
1992-03-06,42,NA,59,53.25,winter
1992-03-07,45,13.063143029000003,56.5,46.625,winter
1992-03-08,44,NA,56,50.375,winter
1992-03-09,41,NA,57.5,52.25,winter
1992-03-10,44,NA,58,55.125,winter
1992-03-11,51,41.8983050849,60,55.75,winter
1992-03-12,45,NA,61.5,54.875,winter
1992-03-13,44,35.648230746500005,61.5,53.125,winter
1992-03-14,35,NA,59.5,50,winter
1992-03-15,29,NA,58.5,52.875,winter
1992-03-16,57,NA,59,51,winter
1992-03-17,49,24.050847458000003,61.5,52,winter
1992-03-18,47,NA,59,47.5,winter
1992-03-19,42,26.342090396000003,59,51.125,winter
1992-03-20,52,NA,62,57.5,winter
1992-03-21,49,17.342090399000003,61.5,50.75,winter
1992-03-22,39,NA,58.5,55,winter
1992-03-23,53,NA,61.5,52.25,winter
1992-03-24,42,NA,58.5,52.125,winter
1992-03-25,46,33.575423729,61.5,52.625,winter
1992-03-26,59,NA,63.5,53,winter
1992-03-27,41,NA,62,55.375,winter
1992-03-28,48,NA,62,50.5,winter
1992-03-29,42,NA,63.5,51,winter
1992-03-30,49,NA,61.5,50.625,winter
1992-03-31,47,13.408757059000003,59.5,52.375,winter
1992-04-01,36,NA,63.5,51.375,spring
1992-04-02,29,NA,63,57.25,spring
1992-04-03,50,NA,64,57,spring
1992-04-04,40,NA,64,51.875,spring
1992-04-05,38,NA,64,53.75,spring
1992-04-06,41,24.084745763,63.5,53.75,spring
1992-04-07,44,NA,64.5,56.375,spring
1992-04-08,42,NA,63.5,55.875,spring
1992-04-09,44,NA,65,55.625,spring
1992-04-10,40,NA,65.5,56.125,spring
1992-04-11,38,NA,65,56.25,spring
1992-04-12,40,28.908757062000003,64.5,54.125,spring
1992-04-13,41,NA,65,57.625,spring
1992-04-14,33,NA,64,53.875,spring
1992-04-15,52,NA,64,55,spring
1992-04-16,54,NA,65,58.125,spring
1992-04-17,50,NA,67,60,spring
1992-04-18,43,40.7903954806,68,60.625,spring
1992-04-19,60,NA,69,61.375,spring
1992-04-20,41,NA,69.5,54.625,spring
1992-04-21,33,NA,66,57.125,spring
1992-04-22,35,NA,66.5,59.875,spring
1992-04-23,37,NA,68.5,58.875,spring
1992-04-24,40,44.816666665999996,70.5,55.75,spring
1992-04-25,45,NA,73,57.25,spring
