date,mortality,pm10,temp,dewpt,season
1992-01-01,35,63.815183450999996,49.75,41,winter
1992-01-02,21,58.098613295,47,41,winter
1992-01-03,30,NA,52.25,46.0625,winter
1992-01-04,31,NA,55,46.25,winter
1992-01-05,28,NA,52.75,41.6875,winter
1992-01-06,28,NA,51.75,41.0625,winter
1992-01-07,19,13.755768791000001,47.25,39.9375,winter
1992-01-08,20,NA,47.25,36.6875,winter
1992-01-09,34,NA,47.5,41.375,winter
1992-01-10,28,NA,48.5,44.0625,winter
1992-01-11,29,NA,49.75,37.3125,winter
1992-01-12,21,NA,50.25,34.4375,winter
1992-01-13,27,58.623403646,46.25,37.6875,winter
1992-01-14,27,NA,48.75,40.625,winter
1992-01-15,17,NA,49,41.5,winter
1992-01-16,26,NA,46.75,41.9375,winter
1992-01-17,23,NA,49.75,43.9375,winter
1992-01-18,26,NA,53,35.25,winter
1992-01-19,22,66.519727357,47.5,41,winter
1992-01-20,14,54.818539227,45.25,39.8125,winter
1992-01-21,30,NA,47,40.3125,winter
1992-01-22,22,NA,44.5,37.6875,winter
1992-01-23,34,NA,41.75,36.0625,winter
1992-01-24,21,NA,43.5,37.6875,winter
1992-01-25,24,74.253028069,49.25,44.6875,winter
1992-01-26,24,NA,54.5,42.375,winter
1992-01-27,23,NA,48.75,44.0625,winter
1992-01-28,18,NA,54.75,49.3125,winter
1992-01-29,31,NA,53.5,44.875,winter
1992-01-30,25,50.703029223,50.5,45.0625,winter
1992-01-31,20,56.723200285,54.5,41,winter
1992-02-01,22,NA,52.75,44.625,winter
1992-02-02,16,NA,51.25,40.8125,winter
1992-02-03,22,NA,54.25,34.5,winter
1992-02-04,28,NA,55,37.875,winter
1992-02-05,21,NA,51.75,43.125,winter
1992-02-06,19,49.325370660000004,53.5,48.5,winter
1992-02-07,19,NA,56,53,winter
1992-02-08,19,NA,57.5,48.75,winter
1992-02-09,29,NA,56.5,48.6875,winter
1992-02-10,26,NA,55.75,48.3125,winter
1992-02-11,17,NA,58.5,52,winter
1992-02-12,22,10.338527649,57.5,46.875,winter
1992-02-13,22,NA,55.25,43.5625,winter
1992-02-14,15,NA,52,45.8125,winter
1992-02-15,24,8.688533835000005,51.5,44,winter
1992-02-16,20,NA,54,46.5625,winter
1992-02-17,16,16.561228893,54.25,46.5,winter
