date,mortality,pm10,temp,dewpt,season
1992-01-01,31,16.893943254,63.5,60.25,winter
1992-01-02,27,NA,67.5,60.25,winter
1992-01-03,28,NA,60.5,49.5,winter
1992-01-04,38,NA,55,47.5,winter
1992-01-05,40,NA,56,52.375,winter
1992-01-06,40,NA,62,54.375,winter
1992-01-07,34,29.3283694832,60.5,44,winter
1992-01-08,30,NA,61,52.625,winter
1992-01-09,30,NA,67,62.875,winter
1992-01-10,43,NA,66.5,44.75,winter
1992-01-11,30,NA,53.5,37.75,winter
1992-01-12,30,NA,63.5,58.75,winter
1992-01-13,40,24.148041614,71,67.625,winter
1992-01-14,35,NA,63,48.875,winter
1992-01-15,39,NA,50.5,35.875,winter
1992-01-16,29,NA,48.5,26,winter
1992-01-17,30,NA,48.5,32.375,winter
1992-01-18,35,NA,58.5,50,winter
1992-01-19,36,19.311976041,58,51.25,winter
1992-01-20,40,NA,51.5,37.25,winter
1992-01-21,38,NA,53,41.875,winter
1992-01-22,31,NA,65,56.25,winter
1992-01-23,48,NA,68,63.25,winter
1992-01-24,30,NA,53.5,33.5,winter
1992-01-25,41,13.869353085,50.5,34.125,winter
1992-01-26,28,NA,53,37.625,winter
1992-01-27,37,NA,63.5,57.25,winter
1992-01-28,34,NA,67,67.25,winter
1992-01-29,39,NA,69,66.875,winter
1992-01-30,31,NA,65,62.125,winter
1992-01-31,33,10.979921625000001,61,51.875,winter
1992-02-01,32,NA,58.5,37,winter
1992-02-02,44,NA,54.5,43.375,winter
1992-02-03,32,NA,61.5,49,winter
1992-02-04,35,NA,64.5,56.375,winter
1992-02-05,38,NA,66,61.125,winter
1992-02-06,26,10.012708515000002,57.5,48.625,winter
1992-02-07,41,NA,56,49.375,winter
1992-02-08,34,NA,53.5,34.875,winter
1992-02-09,33,NA,50.5,36.375,winter
1992-02-10,36,NA,62,50.75,winter
1992-02-11,29,NA,63.5,51.25,winter
1992-02-12,33,24.9799216283,58.5,52.125,winter
1992-02-13,36,NA,59.5,52.875,winter
1992-02-14,25,NA,63.5,59.25,winter
1992-02-15,32,NA,67.5,62,winter
1992-02-16,26,NA,67,66,winter
1992-02-17,19,NA,70.5,61,winter
1992-02-18,34,17.373364251,71,67.75,winter
1992-02-19,35,NA,70,63.375,winter
1992-02-20,30,NA,68.5,44,winter
1992-02-21,40,NA,63.5,58,winter
1992-02-22,37,NA,72,66,winter
1992-02-23,30,NA,72.5,67.625,winter
1992-02-24,45,20.668446218,71,65.25,winter
1992-02-25,31,NA,68,67.75,winter
1992-02-26,31,NA,67,53.375,winter
1992-02-27,15,NA,58.5,46,winter
1992-02-28,35,NA,59.5,48.5,winter
1992-02-29,29,NA,65,55,winter
1992-03-01,31,18.914347858,64.5,53,winter
1992-03-02,30,NA,65,50.875,winter
1992-03-03,30,NA,66,56.125,winter
1992-03-04,27,NA,67,64.625,winter
1992-03-05,31,NA,73,59.75,winter
1992-03-06,35,NA,73.5,68.875,winter
1992-03-07,41,6.012708515,73,68.75,winter
1992-03-08,25,NA,70,60.75,winter
1992-03-09,32,NA,68.5,58.5,winter
1992-03-10,17,NA,69,65.75,winter
1992-03-11,23,NA,55.5,37,winter
1992-03-12,31,NA,49.5,41.875,winter
1992-03-13,31,16.209429825,59,51.125,winter
1992-03-14,28,NA,58,38.5,winter
1992-03-15,33,NA,61.5,58.375,winter
1992-03-16,27,NA,62.5,39.5,winter
1992-03-17,29,NA,60,49.25,winter
1992-03-18,21,NA,65.5,59.375,winter
1992-03-19,41,25.2422167102,73,68.375,winter
1992-03-20,39,NA,62,49.625,winter
1992-03-21,26,NA,58.5,39,winter
