date,mortality,pm10,temp,dewpt,season
1992-01-01,22,16.652367944999998,63.5,60.25,winter
1992-01-02,24,NA,67.5,60.25,winter
1992-01-03,17,NA,60.5,49.5,winter
1992-01-04,24,NA,55,47.5,winter
1992-01-05,18,NA,56,52.375,winter
1992-01-06,21,NA,62,54.375,winter
1992-01-07,21,34.1277777781,60.5,44,winter
1992-01-08,19,NA,61,52.625,winter
1992-01-09,16,NA,67,62.875,winter
1992-01-10,17,NA,66.5,44.75,winter
1992-01-11,11,NA,53.5,37.75,winter
1992-01-12,25,NA,63.5,58.75,winter
1992-01-13,19,25.241817659,71,67.625,winter
1992-01-14,20,NA,63,48.875,winter
1992-01-15,26,NA,50.5,35.875,winter
1992-01-16,14,NA,48.5,26,winter
1992-01-17,26,NA,48.5,32.375,winter
1992-01-18,22,NA,58.5,50,winter
1992-01-19,13,28.6185792353,58,51.25,winter
1992-01-20,20,NA,51.5,37.25,winter
1992-01-21,20,NA,53,41.875,winter
1992-01-22,15,NA,65,56.25,winter
1992-01-23,24,NA,68,63.25,winter
1992-01-24,19,NA,53.5,33.5,winter
1992-01-25,21,22.308105646,50.5,34.125,winter
1992-01-26,20,NA,53,37.625,winter
1992-01-27,23,NA,63.5,57.25,winter
1992-01-28,24,NA,67,67.25,winter
1992-01-29,18,NA,69,66.875,winter
1992-01-30,19,NA,65,62.125,winter
1992-01-31,18,17.431344072,61,51.875,winter
1992-02-01,16,NA,58.5,37,winter
1992-02-02,16,NA,54.5,43.375,winter
1992-02-03,15,NA,61.5,49,winter
1992-02-04,11,NA,64.5,56.375,winter
1992-02-05,15,NA,66,61.125,winter
1992-02-06,16,13.919413292000002,57.5,48.625,winter
1992-02-07,18,NA,56,49.375,winter
1992-02-08,19,NA,53.5,34.875,winter
1992-02-09,13,NA,50.5,36.375,winter
1992-02-10,15,NA,62,50.75,winter
1992-02-11,22,NA,63.5,51.25,winter
1992-02-12,17,35.8593039981,58.5,52.125,winter
1992-02-13,19,NA,59.5,52.875,winter
1992-02-14,20,NA,63.5,59.25,winter
1992-02-15,19,NA,67.5,62,winter
1992-02-16,14,NA,67,66,winter
1992-02-17,18,NA,70.5,61,winter
1992-02-18,17,24.935519126,71,67.75,winter
1992-02-19,17,NA,70,63.375,winter
1992-02-20,19,NA,68.5,44,winter
1992-02-21,10,NA,63.5,58,winter
1992-02-22,19,NA,72,66,winter
1992-02-23,17,NA,72.5,67.625,winter
1992-02-24,14,25.261657559,71,65.25,winter
1992-02-25,25,NA,68,67.75,winter
1992-02-26,12,NA,67,53.375,winter
1992-02-27,17,NA,58.5,46,winter
1992-02-28,16,NA,59.5,48.5,winter
1992-02-29,14,NA,65,55,winter
1992-03-01,23,24.880874317,64.5,53,winter
1992-03-02,18,NA,65,50.875,winter
1992-03-03,19,NA,66,56.125,winter
1992-03-04,20,NA,67,64.625,winter
1992-03-05,14,NA,73,59.75,winter
1992-03-06,11,NA,73.5,68.875,winter
1992-03-07,17,12.143169395,73,68.75,winter
1992-03-08,20,NA,70,60.75,winter
1992-03-09,23,NA,68.5,58.5,winter
1992-03-10,20,NA,69,65.75,winter
1992-03-11,21,NA,55.5,37,winter
1992-03-12,24,NA,49.5,41.875,winter
1992-03-13,20,22.239799636,59,51.125,winter
1992-03-14,22,NA,58,38.5,winter
1992-03-15,23,NA,61.5,58.375,winter
1992-03-16,17,NA,62.5,39.5,winter
1992-03-17,19,NA,60,49.25,winter
1992-03-18,23,NA,65.5,59.375,winter
1992-03-19,17,27.9136612025,73,68.375,winter
1992-03-20,24,NA,62,49.625,winter
1992-03-21,12,NA,58.5,39,winter
1992-03-22,22,NA,60.5,59.125,winter
1992-03-23,22,NA,66.5,56.875,winter
1992-03-24,20,NA,65,54.75,winter
1992-03-25,25,33.1650273221,69,63.75,winter
1992-03-26,20,NA,64,53.5,winter
1992-03-27,23,NA,63,52.75,winter
1992-03-28,22,NA,66,49.25,winter
1992-03-29,15,NA,64,56.5,winter
1992-03-30,24,NA,69,64,winter
1992-03-31,19,20.069398907,62.5,53.25,winter
1992-04-01,18,NA,60.5,54.875,spring
1992-04-02,17,NA,66,45.25,spring
1992-04-03,18,NA,59.5,41.625,spring
1992-04-04,32,NA,57,47.875,spring
1992-04-05,17,NA,68.5,51.75,spring
1992-04-06,17,36.973770492300005,66.5,55.125,spring
1992-04-07,10,NA,67,65.875,spring
1992-04-08,17,NA,73.5,64.5,spring
1992-04-09,17,NA,72.5,60,spring
1992-04-10,18,NA,74.5,63.125,spring
1992-04-11,14,NA,75.5,67.5,spring
1992-04-12,20,20.765711851,73,64.875,spring
1992-04-13,15,NA,71.5,60.5,spring
1992-04-14,20,NA,72.5,59.875,spring
1992-04-15,16,NA,71,58.125,spring
1992-04-16,25,NA,71,60.125,spring
1992-04-17,21,NA,72.5,57.875,spring
1992-04-18,24,23.600758955,73.5,63.75,spring
1992-04-19,17,NA,71.5,66.75,spring
1992-04-20,15,NA,75.5,70.125,spring
1992-04-21,21,NA,72.5,72.875,spring
1992-04-22,24,NA,77.5,71.75,spring
1992-04-23,28,NA,77,71.5,spring
1992-04-24,20,33.1451084082,75.5,66.625,spring
1992-04-25,15,NA,73,70.125,spring
1992-04-26,13,NA,65.5,51.875,spring
1992-04-27,12,NA,60,44.5,spring
1992-04-28,10,NA,59.5,41.75,spring
1992-04-29,12,NA,60,43.875,spring
1992-04-30,16,46.481735119999996,66,50.25,spring
1992-05-01,20,NA,67.5,63.375,spring
1992-05-02,19,NA,70,62.25,spring
1992-05-03,19,NA,69,64,spring
1992-05-04,12,NA,72.5,64.75,spring
1992-05-05,15,NA,72.5,60.5,spring
1992-05-06,23,35.0967213113,72.5,62.75,spring
1992-05-07,15,NA,64.5,46.125,spring
1992-05-08,13,NA,61,51.375,spring
1992-05-09,17,NA,65.5,54.625,spring
1992-05-10,19,NA,71,57.375,spring
1992-05-11,14,NA,74,61.625,spring
1992-05-12,20,49.627777777999995,74,61.5,spring
1992-05-13,14,NA,73,65.625,spring
1992-05-14,8,NA,76,62.75,spring
1992-05-15,21,NA,73.5,63,spring
1992-05-16,16,NA,80.5,66.5,spring
1992-05-17,23,NA,77,68.125,spring
1992-05-18,18,20.966575591999998,77.5,62.875,spring
1992-05-19,13,NA,77,60.75,spring
1992-05-20,12,NA,75,65.875,spring
1992-05-21,15,NA,77.5,64.5,spring
1992-05-22,15,NA,78,62.125,spring
1992-05-23,12,NA,78,63.375,spring
1992-05-24,13,22.977504554,74.5,65,spring
1992-05-25,12,NA,77,66,spring
1992-05-26,18,NA,79,69.375,spring
1992-05-27,10,NA,78.5,69,spring
1992-05-28,18,30.6295081968,78.5,66.375,spring
1992-05-29,18,NA,79,66.375,spring
1992-05-30,10,26.370947177,79.5,68,spring
1992-05-31,22,NA,79.5,70,spring
1992-06-01,13,NA,78.5,66.75,spring
1992-06-02,14,NA,83,67.375,spring
1992-06-03,20,NA,79,73.25,spring
1992-06-04,18,NA,82,75.625,spring
1992-06-05,16,45.766120218,84,75.75,spring
1992-06-06,13,NA,81,73.25,spring
1992-06-07,10,NA,81.5,74.125,spring
1992-06-08,24,NA,82.5,72.75,spring
1992-06-09,21,NA,81.5,74,spring
1992-06-10,20,NA,82.5,74.375,spring
1992-06-11,18,22.225136612,84.5,74.25,spring
1992-06-12,19,NA,82.5,72.75,spring
1992-06-13,16,NA,82,71.875,spring
1992-06-14,16,NA,79.5,71.875,spring
1992-06-15,17,NA,82,71.875,spring
1992-06-16,13,NA,80.5,72.625,spring
1992-06-17,12,25.206010928999998,83,71.375,spring
1992-06-18,17,NA,81,73.75,spring
1992-06-19,16,NA,82,72.375,spring
1992-06-20,20,NA,83,74.75,spring
1992-06-21,15,NA,85.5,74.875,spring
1992-06-22,12,NA,85,73.25,spring
1992-06-23,19,20.299908926,83.5,74,spring
1992-06-24,22,NA,78,73.125,spring
1992-06-25,17,NA,79.5,71.75,spring
1992-06-26,18,NA,81.5,75.125,spring
1992-06-27,18,NA,80,75.375,spring
1992-06-28,13,NA,80,76.5,spring
1992-06-29,12,17.451912569,80.5,75.25,spring
1992-06-30,19,NA,82,75.75,spring
1992-07-01,20,NA,84.5,76.125,summer
1992-07-02,21,NA,84.5,74.75,summer
1992-07-03,16,NA,84.5,74.25,summer
1992-07-04,17,NA,86,75.375,summer
1992-07-05,15,29.6540983607,85.5,71.875,summer
1992-07-06,18,NA,83.5,76.125,summer
