date,mortality,pm10,temp,dewpt,season
1992-01-01,21,19.759314783,50,34.5,winter
1992-01-02,21,NA,54.5,24.125,winter
1992-01-03,11,24.1567874607,56.5,43.75,winter
1992-01-04,7,NA,54,52,winter
1992-01-05,23,6.104146291999999,54,52.125,winter
1992-01-06,16,NA,49.5,40.5,winter
1992-01-07,17,13.959191393,46,36.5,winter
1992-01-08,18,NA,50,37.5,winter
1992-01-09,14,25.0597018498,51.5,36.125,winter
1992-01-10,17,NA,55,36,winter
1992-01-11,13,7.035658133,47,46.25,winter
1992-01-12,13,NA,43,25.25,winter
1992-01-13,11,25.6009158446,41.5,28.625,winter
1992-01-14,16,NA,42.5,31,winter
1992-01-15,15,22.941213689999998,43.5,20.875,winter
1992-01-16,10,NA,48.5,16.875,winter
1992-01-17,18,27.872452305899998,50.5,23.375,winter
1992-01-18,16,NA,51,30.625,winter
1992-01-19,16,9.997629657,51.5,30.375,winter
1992-01-20,26,NA,50.5,44.25,winter
1992-01-21,13,14.822452305999999,48,41.375,winter
1992-01-22,18,NA,48,36.5,winter
1992-01-23,15,27.809519701299998,49,26,winter
1992-01-24,21,NA,56,31.375,winter
1992-01-25,17,16.545256926999997,56.5,25.75,winter
1992-01-26,11,NA,61,34.625,winter
1992-01-27,21,24.870630812399998,58,36.125,winter
1992-01-28,14,NA,57,33.125,winter
1992-01-29,13,20.894947752,60.5,29.125,winter
1992-01-30,14,NA,58.5,29,winter
1992-01-31,15,19.121733782,61,31,winter
1992-02-01,13,NA,61.5,38.75,winter
1992-02-02,13,16.967169974,57,49.625,winter
1992-02-03,10,NA,58,43.875,winter
1992-02-04,13,15.972179081,59.5,36.5,winter
1992-02-05,18,NA,60,35.125,winter
1992-02-06,14,19.611737523000002,59,40.375,winter
1992-02-07,8,NA,58,50.375,winter
1992-02-08,15,4.022179079000001,58,47.875,winter
1992-02-09,16,NA,55.5,42.375,winter
1992-02-10,17,17.051505129000002,52.5,50.5,winter
1992-02-11,20,NA,55.5,52.75,winter
1992-02-12,15,14.917441709000002,58.5,42.25,winter
1992-02-13,12,NA,56.5,45,winter
1992-02-14,5,16.01261624,54,39.625,winter
1992-02-15,14,NA,55,39.75,winter
1992-02-16,15,1.025822068,51,33.375,winter
1992-02-17,22,NA,48.5,35.875,winter
1992-02-18,16,17.902602600999998,53,36.875,winter
1992-02-19,8,NA,56,38.5,winter
1992-02-20,12,28.014710958,60,43.625,winter
1992-02-21,19,NA,59.5,42.625,winter
1992-02-22,15,24.126914964799997,61,41.375,winter
1992-02-23,17,NA,56.5,27,winter
1992-02-24,17,21.543795177,56,29.625,winter
1992-02-25,16,NA,56.5,29.25,winter
1992-02-26,14,22.199137186999998,58,24.625,winter
1992-02-27,12,NA,60.5,21.375,winter
1992-02-28,16,23.1874796276,62,30.375,winter
1992-02-29,15,NA,64.5,30.875,winter
1992-03-01,13,23.365653266,62,42.875,winter
1992-03-02,11,NA,57.5,44.375,winter
1992-03-03,15,7.429714131999999,50.5,46,winter
1992-03-04,22,NA,52.5,43,winter
1992-03-05,12,15.371974793,56,41.5,winter
1992-03-06,26,NA,60,38.5,winter
1992-03-07,9,17.09528718,58.5,44.5,winter
1992-03-08,14,NA,50.5,42,winter
1992-03-09,20,9.289101869,49,44,winter
1992-03-10,12,NA,53,41.625,winter
1992-03-11,17,18.293721012,56.5,39.5,winter
1992-03-12,17,NA,59.5,32.375,winter
1992-03-13,15,22.543678371,64,30.5,winter
1992-03-14,20,NA,65.5,35.75,winter
1992-03-15,16,23.1615233442,66.5,35.75,winter
1992-03-16,20,NA,64.5,27,winter
1992-03-17,13,21.177370339,60,36.125,winter
1992-03-18,20,NA,57,30.5,winter
1992-03-19,23,27.9728312694,60.5,23,winter
1992-03-20,25,NA,64,17.875,winter
1992-03-21,19,16.166259228,59,39.75,winter
1992-03-22,9,NA,58.5,34.875,winter
1992-03-23,18,22.176550665999997,58.5,32.25,winter
1992-03-24,17,NA,59.5,33.25,winter
1992-03-25,11,27.8038227642,66,32.25,winter
1992-03-26,15,NA,65,36.125,winter
1992-03-27,12,9.115439556999998,58.5,51.5,winter
1992-03-28,12,NA,56.5,52.875,winter
1992-03-29,14,9.197953215,61,46.5,winter
1992-03-30,10,NA,63.5,42.5,winter
1992-03-31,16,13.975810953000002,62,37.5,winter
1992-04-01,20,NA,59,44.125,spring
1992-04-02,10,10.163808395,54,45.625,spring
1992-04-03,13,NA,62,42.375,spring
1992-04-04,18,16.175504843,62.5,42.125,spring
1992-04-05,15,NA,65,37.75,spring
1992-04-06,17,19.637456021,67,35.375,spring
1992-04-07,10,NA,67.5,35.75,spring
1992-04-08,16,22.197976753,68.5,34.375,spring
1992-04-09,18,NA,68,33.75,spring
1992-04-10,14,28.1872012874,68.5,36.875,spring
