date,mortality,pm10,temp,dewpt,season
1992-01-01,16,17.485310737,42,39.25,winter
1992-01-02,20,NA,46,48.5,winter
1992-01-03,29,NA,47.5,41.375,winter
1992-01-04,30,NA,51.5,45.625,winter
1992-01-05,25,NA,49,41.625,winter
1992-01-06,28,NA,48.5,32.25,winter
1992-01-07,24,36.4392850188,47.5,34.375,winter
1992-01-08,25,NA,47.5,44,winter
1992-01-09,26,NA,52,52.375,winter
1992-01-10,20,NA,42,23,winter
1992-01-11,27,NA,41.5,26,winter
1992-01-12,28,NA,48,35.75,winter
1992-01-13,25,21.222598866999995,54.5,59,winter
1992-01-14,25,NA,47.5,22.75,winter
1992-01-15,17,NA,36,17.5,winter
1992-01-16,18,NA,27.5,1.375,winter
1992-01-17,23,NA,34.5,9,winter
1992-01-18,26,NA,36.5,29.125,winter
1992-01-19,28,15.705649716999996,32.5,16.625,winter
1992-01-20,36,NA,36.5,24.75,winter
1992-01-21,24,NA,46.5,26.625,winter
1992-01-22,28,NA,49.5,31.625,winter
1992-01-23,25,NA,50,40.75,winter
1992-01-24,31,NA,39.5,15.75,winter
1992-01-25,24,25.315819208999997,44,25.875,winter
1992-01-26,23,NA,45,28.625,winter
1992-01-27,31,NA,46.5,43.5,winter
1992-01-28,27,NA,47,46.625,winter
1992-01-29,13,NA,52.5,42.375,winter
1992-01-30,23,NA,55.5,45,winter
1992-01-31,16,27.773446328,51.5,31,winter
1992-02-01,30,NA,46.5,19.25,winter
1992-02-02,21,NA,46,20.25,winter
1992-02-03,16,NA,51.5,20.125,winter
1992-02-04,17,NA,55,27.375,winter
1992-02-05,22,NA,50.5,39.75,winter
1992-02-06,22,20.070056496999996,52.5,24.625,winter
1992-02-07,19,NA,49,21.875,winter
1992-02-08,14,NA,38.5,15.125,winter
1992-02-09,20,NA,37.5,13.25,winter
1992-02-10,24,NA,42,19.25,winter
1992-02-11,13,NA,50,32.625,winter
1992-02-12,10,58.900564972,52.5,35.25,winter
1992-02-13,24,NA,51,48.375,winter
1992-02-14,14,NA,53.5,54,winter
1992-02-15,19,NA,60,56.875,winter
1992-02-16,21,NA,57.5,35.75,winter
1992-02-17,26,NA,46.5,42.75,winter
1992-02-18,17,20.290395476999997,47,50.375,winter
1992-02-19,24,NA,55.5,35.25,winter
1992-02-20,27,NA,50,30.75,winter
1992-02-21,20,NA,54,31.25,winter
1992-02-22,23,NA,56,52.5,winter
1992-02-23,18,NA,66,50.5,winter
1992-02-24,24,35.467338788599996,64,50.875,winter
1992-02-25,28,NA,64,62.375,winter
1992-02-26,18,NA,49,35.5,winter
1992-02-27,24,NA,45.5,30.375,winter
1992-02-28,26,NA,56.5,37.875,winter
1992-02-29,29,NA,58,30.125,winter
1992-03-01,17,29.266286771999997,55,30.375,winter
1992-03-02,34,NA,61,37.25,winter
1992-03-03,24,NA,65,41.625,winter
1992-03-04,18,NA,69.5,44.625,winter
1992-03-05,19,NA,58.5,57.625,winter
1992-03-06,23,NA,66,59.25,winter
1992-03-07,13,20.844252876999995,67.5,50.625,winter
1992-03-08,28,NA,64,39.625,winter
1992-03-09,22,NA,67.5,43.625,winter
1992-03-10,19,NA,51.5,38.5,winter
1992-03-11,21,NA,35,15,winter
1992-03-12,26,NA,43,25.625,winter
1992-03-13,23,22.537643677,41.5,19.75,winter
1992-03-14,22,NA,49,27.75,winter
1992-03-15,18,NA,49,22.25,winter
1992-03-16,22,NA,44.5,12,winter
1992-03-17,29,NA,56.5,33.625,winter
1992-03-18,27,NA,59.5,55.375,winter
1992-03-19,26,18.674425287,65.5,44.25,winter
1992-03-20,22,NA,49.5,22.375,winter
1992-03-21,22,NA,48,27,winter
1992-03-22,15,NA,49.5,52.375,winter
1992-03-23,22,NA,46,24,winter
1992-03-24,20,NA,47.5,27.5,winter
1992-03-25,23,33.114655172999996,45,42.375,winter
1992-03-26,30,NA,52.5,40.625,winter
1992-03-27,34,NA,51.5,17.5,winter
1992-03-28,17,NA,51,21.375,winter
1992-03-29,14,NA,54.5,40,winter
1992-03-30,25,NA,58,53.75,winter
1992-03-31,23,23.987068965999995,53,35.75,winter
1992-04-01,22,NA,52.5,37.125,spring
1992-04-02,27,NA,42.5,20.125,spring
1992-04-03,17,NA,43,16.625,spring
1992-04-04,38,NA,55,30.125,spring
1992-04-05,22,NA,51.5,25.125,spring
1992-04-06,17,38.13362069,54.5,35.25,spring
1992-04-07,21,NA,53.5,54.5,spring
1992-04-08,27,NA,64.5,46.25,spring
1992-04-09,20,NA,65.5,50.25,spring
1992-04-10,30,NA,68.5,51.125,spring
1992-04-11,25,NA,67.5,60.875,spring
1992-04-12,28,26.845114943,71,59.75,spring
1992-04-13,24,NA,68,50.625,spring
1992-04-14,21,NA,65,54.375,spring
1992-04-15,19,NA,72.5,54.75,spring
1992-04-16,31,NA,72,51.375,spring
1992-04-17,27,NA,71.5,55.25,spring
1992-04-18,17,36.266954023299995,71.5,52.375,spring
1992-04-19,17,NA,67,60.875,spring
1992-04-20,24,NA,71,62.625,spring
1992-04-21,22,NA,68,50.625,spring
1992-04-22,19,NA,64.5,47,spring
1992-04-23,22,NA,69.5,49.75,spring
1992-04-24,18,46.131609196,72.5,62.5,spring
1992-04-25,24,NA,61.5,37.125,spring
1992-04-26,22,NA,49,35.25,spring
1992-04-27,27,NA,48.5,37.125,spring
1992-04-28,21,NA,51.5,33.5,spring
1992-04-29,23,NA,54.5,36.125,spring
1992-04-30,15,47.468103449,63.5,52.125,spring
1992-05-01,24,NA,71,53.75,spring
1992-05-02,21,NA,73,53.75,spring
1992-05-03,36,NA,71.5,41.375,spring
1992-05-04,17,NA,66,38.5,spring
1992-05-05,27,NA,61,38.875,spring
1992-05-06,17,19.567528736999996,55,43.375,spring
1992-05-07,25,NA,48,43.25,spring
1992-05-08,24,NA,53,47,spring
1992-05-09,20,NA,62,45.125,spring
1992-05-10,23,NA,68.5,47.375,spring
1992-05-11,29,NA,71,51.25,spring
1992-05-12,21,59.251436782,72.5,55.25,spring
1992-05-13,15,NA,69.5,62.125,spring
1992-05-14,23,NA,72.5,57.75,spring
1992-05-15,14,NA,73.5,60.875,spring
1992-05-16,29,NA,74.5,59,spring
1992-05-17,24,NA,73.5,58.875,spring
1992-05-18,28,42.085919540599996,75.5,56.5,spring
1992-05-19,20,NA,77.5,61.75,spring
1992-05-20,20,NA,71,60.25,spring
1992-05-21,16,NA,69,53.25,spring
1992-05-22,20,NA,70,38.5,spring
1992-05-23,27,NA,71.5,44.25,spring
1992-05-24,20,41.1833333337,75.5,57.375,spring
1992-05-25,22,NA,71,58.375,spring
1992-05-26,16,NA,65,54,spring
1992-05-27,17,NA,67.5,45.25,spring
1992-05-28,20,NA,64,58.375,spring
1992-05-29,20,NA,59,56.75,spring
1992-05-30,20,22.392816096999997,66.5,60.625,spring
1992-05-31,18,NA,65,47.5,spring
1992-06-01,12,NA,64.5,55.125,spring
1992-06-02,29,NA,69,57.125,spring
1992-06-03,20,NA,68,66.125,spring
1992-06-04,31,NA,71,61.75,spring
1992-06-05,29,36.7479885061,72,62.625,spring
1992-06-06,20,NA,76,62.25,spring
1992-06-07,23,NA,78,67.5,spring
1992-06-08,24,NA,76.5,71.625,spring
1992-06-09,27,NA,77.5,72.375,spring
1992-06-10,24,NA,78.5,68.75,spring
1992-06-11,15,44.266379310999994,73.5,67.625,spring
1992-06-12,23,NA,63,60.25,spring
1992-06-13,26,NA,64.5,66,spring
1992-06-14,19,NA,74,67.875,spring
1992-06-15,17,NA,74,68.375,spring
1992-06-16,24,NA,78,70.375,spring
1992-06-17,27,28.182471264999997,76.5,67,spring
1992-06-18,20,NA,76,69.25,spring
1992-06-19,23,NA,78.5,62.5,spring
1992-06-20,25,NA,77,60.375,spring
1992-06-21,21,NA,74,57.25,spring
1992-06-22,19,NA,69,54.875,spring
1992-06-23,26,53.883908046,73,58.5,spring
1992-06-24,20,NA,77.5,58.625,spring
1992-06-25,21,NA,80,64.125,spring
1992-06-26,15,NA,78.5,69.5,spring
1992-06-27,21,NA,78,63.125,spring
1992-06-28,22,NA,75.5,69.375,spring
1992-06-29,25,45.85143678199999,78.5,68.5,spring
1992-06-30,19,NA,78,69.625,spring
1992-07-01,30,NA,78.5,72.625,summer
1992-07-02,22,NA,79.5,71.25,summer
1992-07-03,14,NA,77.5,72.75,summer
1992-07-04,29,NA,78.5,67,summer
1992-07-05,20,33.5870056501,79,67.5,summer
1992-07-06,21,NA,77,71,summer
1992-07-07,25,NA,81.5,68.75,summer
1992-07-08,25,NA,85,61.5,summer
1992-07-09,16,NA,82.5,68.25,summer
1992-07-10,25,NA,84,72.875,summer
1992-07-11,30,61.221069549999996,84,66.625,summer
1992-07-12,16,NA,84.5,69.125,summer
1992-07-13,31,NA,83,70.75,summer
1992-07-14,14,NA,82,69.75,summer
1992-07-15,18,NA,78,71.125,summer
1992-07-16,21,NA,77,71.625,summer
1992-07-17,21,44.263004092,78.5,69.875,summer
1992-07-18,22,NA,75,71.5,summer
1992-07-19,20,NA,79,64.625,summer
1992-07-20,26,NA,79,68.625,summer
1992-07-21,15,NA,82,70.75,summer
1992-07-22,20,NA,78.5,72,summer
1992-07-23,25,25.667514124999997,77.5,71.625,summer
1992-07-24,23,NA,78.5,72.25,summer
1992-07-25,21,NA,80.5,72.25,summer
1992-07-26,23,NA,81.5,74,summer
1992-07-27,21,NA,81.5,73.25,summer
1992-07-28,22,NA,78,68.25,summer
1992-07-29,19,53.244808105,78.5,70.875,summer
1992-07-30,19,NA,80.5,72.25,summer
1992-07-31,19,NA,80,71.75,summer
1992-08-01,18,NA,75.5,64,summer
1992-08-02,15,NA,75,61.625,summer
1992-08-03,18,NA,77,66.375,summer
1992-08-04,21,43.18344048349999,79,69.5,summer
1992-08-05,19,NA,79,65.25,summer
1992-08-06,22,NA,75.5,70.125,summer
1992-08-07,21,NA,74.5,71,summer
1992-08-08,19,NA,78.5,70.5,summer
1992-08-09,20,NA,81.5,69.5,summer
1992-08-10,21,39.563773622,83.5,68,summer
1992-08-11,25,NA,80,67.625,summer
1992-08-12,21,NA,80,70.5,summer
1992-08-13,16,NA,70,67.25,summer
1992-08-14,17,NA,73.5,66.5,summer
1992-08-15,25,NA,74,65.5,summer
1992-08-16,19,28.244155465,70.5,66.375,summer
1992-08-17,24,NA,76,68.625,summer
1992-08-18,17,NA,73.5,66,summer
1992-08-19,24,NA,76,67.125,summer
1992-08-20,11,NA,76,68.125,summer
1992-08-21,19,NA,70.5,69.75,summer
1992-08-22,26,26.606954997,76,69.25,summer
1992-08-23,27,NA,77,71.25,summer
1992-08-24,22,NA,77,70.5,summer
1992-08-25,13,NA,77.5,67.25,summer
1992-08-26,22,NA,78,71,summer
1992-08-27,15,NA,78,71.25,summer
1992-08-28,24,18.698129745000003,71.5,62.375,summer
1992-08-29,18,NA,68,59.125,summer
1992-08-30,17,NA,72.5,60,summer
1992-08-31,24,NA,75,64.125,summer
1992-09-01,25,NA,77,66.75,summer
1992-09-02,23,NA,78.5,64.125,summer
1992-09-03,21,26.741817650999998,75,68.625,summer
1992-09-04,27,NA,76,70,summer
1992-09-05,23,NA,73,69.25,summer
1992-09-06,19,NA,75.5,71,summer
1992-09-07,21,NA,77,69.375,summer
1992-09-08,20,NA,79.5,67.875,summer
1992-09-09,22,33.8370835769,79.5,69.375,summer
1992-09-10,26,NA,78,69.625,summer
1992-09-11,22,NA,74.5,63.75,summer
1992-09-12,17,NA,69.5,66.25,summer
1992-09-13,29,NA,72.5,64.375,summer
1992-09-14,19,NA,71,60.125,summer
1992-09-15,27,37.345704266199995,70.5,58.125,summer
1992-09-16,13,NA,71.5,66.875,summer
1992-09-17,14,NA,77,69,summer
1992-09-18,12,NA,77,69.625,summer
1992-09-19,26,NA,77.5,70.125,summer
1992-09-20,25,NA,79,70.125,summer
1992-09-21,16,30.250000000000004,79,71.25,summer
1992-09-22,30,NA,79,70.75,summer
1992-09-23,24,NA,72,66.125,summer
1992-09-24,27,NA,59,52.5,summer
1992-09-25,17,NA,62.5,59.375,summer
1992-09-26,17,NA,62,63.125,summer
