date,mortality,pm10,temp,dewpt,season
1992-01-01,26,25.4857270298,26.5,27.25,winter
1992-01-02,31,NA,35.5,30.25,winter
1992-01-03,20,NA,41,39.125,winter
1992-01-04,31,NA,40,38.75,winter
1992-01-05,39,NA,35.5,30.625,winter
1992-01-06,28,NA,33,28,winter
1992-01-07,28,11.257394019,32,25.75,winter
1992-01-08,26,NA,25.5,22.625,winter
1992-01-09,21,NA,37,37,winter
1992-01-10,40,NA,32.5,22.75,winter
1992-01-11,25,NA,28.5,23.75,winter
1992-01-12,33,NA,35.5,28.75,winter
1992-01-13,26,12.896294616,39,39.25,winter
1992-01-14,35,NA,33,13.375,winter
1992-01-15,30,NA,13,7,winter
1992-01-16,26,NA,7.5,1.25,winter
1992-01-17,23,NA,18,14.5,winter
1992-01-18,17,NA,9.5,-4.375,winter
1992-01-19,20,8.877506266000001,8.5,3.375,winter
1992-01-20,34,NA,16,10.625,winter
1992-01-21,32,NA,25.5,22.125,winter
1992-01-22,24,NA,28.5,24.5,winter
1992-01-23,28,NA,38,36.375,winter
1992-01-24,28,NA,24.5,7.25,winter
1992-01-25,25,11.059729062,12.5,4.75,winter
1992-01-26,26,NA,18,13.75,winter
1992-01-27,36,NA,24.5,20.375,winter
1992-01-28,31,NA,29.5,25.75,winter
1992-01-29,23,NA,30,26.25,winter
1992-01-30,31,NA,31,30.375,winter
1992-01-31,23,16.66923775,30,21.125,winter
1992-02-01,26,NA,20,9.75,winter
1992-02-02,24,NA,21.5,22.625,winter
1992-02-03,31,NA,28.5,19.375,winter
1992-02-04,19,NA,31,19.75,winter
1992-02-05,26,NA,23,16.375,winter
1992-02-06,26,24.879358958,27.5,17.5,winter
1992-02-07,31,NA,29.5,27,winter
1992-02-08,30,NA,19.5,6.625,winter
1992-02-09,25,NA,11.5,-0.875,winter
1992-02-10,28,NA,17,10.125,winter
1992-02-11,24,NA,23.5,6.5,winter
1992-02-12,24,23.1848100858,6.5,-1.125,winter
1992-02-13,24,NA,18.5,29.875,winter
1992-02-14,26,NA,31,29.625,winter
1992-02-15,16,NA,39,42.125,winter
1992-02-16,18,NA,38,28.75,winter
1992-02-17,29,NA,32.5,30.25,winter
1992-02-18,30,24.9302782822,37,39.875,winter
1992-02-19,23,NA,38.5,35.125,winter
1992-02-20,30,NA,32,28.75,winter
1992-02-21,21,NA,31.5,19.625,winter
1992-02-22,33,NA,34,36.375,winter
1992-02-23,21,NA,33,28,winter
1992-02-24,28,14.282130744,30,28.625,winter
1992-02-25,22,NA,38.5,33.5,winter
1992-02-26,21,NA,31,25.125,winter
1992-02-27,25,NA,32,22.75,winter
1992-02-28,32,NA,31.5,27.25,winter
1992-02-29,25,NA,15.5,6.625,winter
1992-03-01,21,15.193657635,32,31.125,winter
1992-03-02,23,NA,29,21.25,winter
1992-03-03,26,NA,29.5,18.875,winter
1992-03-04,25,NA,38,31.25,winter
1992-03-05,24,NA,43,32.125,winter
1992-03-06,34,NA,49,44.25,winter
1992-03-07,31,8.596674879000002,47.5,46.125,winter
1992-03-08,26,NA,39.5,37.625,winter
1992-03-09,26,NA,48.5,42,winter
1992-03-10,27,NA,41.5,29.125,winter
1992-03-11,24,NA,15,11.375,winter
1992-03-12,33,NA,17.5,13,winter
1992-03-13,31,11.414716749000002,18.5,6.5,winter
1992-03-14,22,NA,21,7.75,winter
1992-03-15,22,NA,16.5,5.75,winter
1992-03-16,25,NA,18.5,15.125,winter
1992-03-17,36,NA,32,21.625,winter
1992-03-18,24,NA,28.5,16.75,winter
1992-03-19,23,13.276932085000002,32.5,15.5,winter
1992-03-20,28,NA,28,21.25,winter
1992-03-21,26,NA,24,18.25,winter
1992-03-22,19,NA,24,20.25,winter
1992-03-23,15,NA,22,18,winter
1992-03-24,20,NA,26,24.625,winter
1992-03-25,25,26.0092775044,41,30.75,winter
1992-03-26,32,NA,44,35.75,winter
1992-03-27,18,NA,35,28.25,winter
1992-03-28,28,NA,31,15,winter
1992-03-29,21,NA,33,24.875,winter
1992-03-30,27,NA,37,30.875,winter
1992-03-31,26,18.994619639,39.5,24.5,winter
1992-04-01,26,NA,32.5,29.25,spring
1992-04-02,29,NA,29,22.5,spring
1992-04-03,22,NA,29.5,26,spring
1992-04-04,29,NA,36,19.625,spring
1992-04-05,26,NA,36,27.5,spring
1992-04-06,28,22.9336590491,38,20,spring
1992-04-07,26,NA,49,38.625,spring
1992-04-08,25,NA,42.5,29.625,spring
1992-04-09,21,NA,44,36.625,spring
1992-04-10,27,NA,46,26.75,spring
1992-04-11,26,NA,45.5,46.75,spring
1992-04-12,25,9.975985217,34.5,16.125,spring
1992-04-13,26,NA,32,16.625,spring
1992-04-14,24,NA,34.5,17.875,spring
1992-04-15,19,NA,38,19.5,spring
1992-04-16,22,NA,48,50.625,spring
1992-04-17,23,NA,40,36,spring
1992-04-18,26,12.573729581999999,41.5,42,spring
1992-04-19,28,NA,57.5,55.5,spring
1992-04-20,30,NA,66.5,53.75,spring
1992-04-21,22,NA,65,59.625,spring
1992-04-22,14,NA,55,43.375,spring
1992-04-23,25,NA,47,43,spring
1992-04-24,24,19.979649519,47.5,45,spring
1992-04-25,24,NA,41.5,38,spring
1992-04-26,28,NA,45.5,32.375,spring
1992-04-27,29,NA,47,27.625,spring
1992-04-28,22,NA,46,29.5,spring
1992-04-29,36,NA,48.5,34,spring
1992-04-30,22,21.872742428699997,49.5,44.75,spring
1992-05-01,29,NA,53,48.25,spring
1992-05-02,34,NA,60.5,53,spring
1992-05-03,25,NA,51.5,38.375,spring
1992-05-04,23,NA,48,30.75,spring
1992-05-05,16,NA,46.5,29.375,spring
1992-05-06,27,14.020274149999999,46.5,27,spring
1992-05-07,19,NA,52.5,37,spring
1992-05-08,31,NA,56,53.75,spring
1992-05-09,22,NA,59.5,54,spring
1992-05-10,17,NA,58.5,52.75,spring
1992-05-11,32,NA,65.5,54.75,spring
1992-05-12,22,44.651847735000004,72.5,54.375,spring
1992-05-13,22,NA,62,49.375,spring
1992-05-14,28,NA,53.5,43,spring
1992-05-15,24,NA,60,48.375,spring
1992-05-16,20,NA,64.5,57.125,spring
1992-05-17,19,NA,73.5,62.125,spring
1992-05-18,28,12.96954023,57.5,41.5,spring
1992-05-19,24,NA,59.5,47.625,spring
1992-05-20,23,NA,68.5,48.625,spring
1992-05-21,26,NA,67.5,43.125,spring
1992-05-22,26,NA,66,48.75,spring
1992-05-23,21,NA,64,54.5,spring
1992-05-24,22,7.411796736000001,45,31.875,spring
1992-05-25,26,NA,45.5,27.375,spring
1992-05-26,24,NA,44,40.875,spring
1992-05-27,28,NA,51,39.75,spring
1992-05-28,30,NA,53.5,34.375,spring
1992-05-29,23,NA,56.5,39.75,spring
1992-05-30,24,18.736259706000002,56.5,51.25,spring
1992-05-31,26,NA,56,53.375,spring
1992-06-01,21,NA,60,51.375,spring
1992-06-02,25,NA,62,48.25,spring
1992-06-03,24,NA,66,46.625,spring
1992-06-04,30,NA,69,53.5,spring
1992-06-05,35,13.986985471999999,66,61.25,spring
1992-06-06,27,NA,68.5,60.75,spring
1992-06-07,19,NA,68,64.375,spring
1992-06-08,26,NA,66.5,49.625,spring
1992-06-09,16,NA,62.5,42.75,spring
1992-06-10,22,NA,61,45.375,spring
1992-06-11,31,26.5346549633,64.5,42.25,spring
1992-06-12,25,NA,67.5,41.5,spring
1992-06-13,18,NA,70,50.375,spring
1992-06-14,28,NA,70.5,44.25,spring
1992-06-15,16,NA,59,34.875,spring
1992-06-16,34,NA,61.5,49.125,spring
1992-06-17,26,52.766215107,74.5,59.25,spring
1992-06-18,26,NA,73.5,60.25,spring
1992-06-19,27,NA,62.5,55,spring
1992-06-20,21,NA,49,44.5,spring
1992-06-21,21,NA,47.5,42.875,spring
1992-06-22,22,NA,54,47,spring
1992-06-23,31,21.8622272897,56,47,spring
1992-06-24,34,NA,56,49.375,spring
1992-06-25,26,NA,60,46.5,spring
1992-06-26,21,NA,63.5,53,spring
