date,mortality,pm10,temp,dewpt,season
1992-01-01,18,10.697976322999999,75.5,63.5,winter
1992-01-02,13,NA,75.5,61.75,winter
1992-01-03,13,NA,76,62.75,winter
1992-01-04,10,NA,73,63.75,winter
1992-01-05,15,NA,73,63.125,winter
1992-01-06,8,NA,73,63.125,winter
1992-01-07,14,21.9470588239,72.5,62.875,winter
1992-01-08,20,NA,73,64.5,winter
1992-01-09,11,NA,74,64.25,winter
1992-01-10,7,NA,78.5,64.875,winter
1992-01-11,8,NA,74,66.25,winter
1992-01-12,6,NA,75,62.75,winter
1992-01-13,13,11.790448311999999,72.5,63.625,winter
1992-01-14,11,NA,71,57.375,winter
1992-01-15,18,NA,70.5,58.125,winter
1992-01-16,9,NA,71.5,58.5,winter
1992-01-17,13,NA,71.5,60.5,winter
1992-01-18,11,NA,70,56.875,winter
1992-01-19,17,14.289481925,71.5,53.875,winter
1992-01-20,19,NA,70,56.25,winter
1992-01-21,11,NA,70,59.125,winter
1992-01-22,11,NA,73.5,62.25,winter
1992-01-23,8,NA,74,53.875,winter
1992-01-24,7,NA,70.5,55.25,winter
1992-01-25,10,17.4600000004,70,59.375,winter
1992-01-26,8,NA,71,59.25,winter
1992-01-27,13,NA,71.5,61.25,winter
1992-01-28,11,NA,72.5,64.75,winter
1992-01-29,16,NA,77.5,65.75,winter
1992-01-30,13,NA,72.5,57.25,winter
1992-01-31,16,24.057654193300003,74,54.25,winter
1992-02-01,12,NA,74.5,57.625,winter
1992-02-02,17,NA,71,57.5,winter
1992-02-03,14,NA,71,52.25,winter
1992-02-04,13,NA,69,54.75,winter
1992-02-05,4,NA,71.5,57.25,winter
1992-02-06,17,16.0622749103,72,56.875,winter
1992-02-07,17,NA,73,54.625,winter
1992-02-08,20,NA,70.5,51,winter
1992-02-09,13,NA,69,53,winter
1992-02-10,8,NA,69.5,56.125,winter
1992-02-11,17,NA,68.5,58.375,winter
1992-02-12,11,15.7327141381,71.5,61.125,winter
1992-02-13,11,NA,74,66.5,winter
1992-02-14,10,NA,75,68.875,winter
1992-02-15,21,NA,75,60.625,winter
1992-02-16,11,NA,72,64,winter
1992-02-17,13,NA,76.5,62.625,winter
1992-02-18,13,13.345738295,77.5,67.375,winter
1992-02-19,23,NA,78,70,winter
1992-02-20,9,NA,77,68.25,winter
1992-02-21,16,NA,77,67.75,winter
1992-02-22,12,NA,75.5,65.75,winter
1992-02-23,9,NA,73.5,65.5,winter
1992-02-24,12,17.5745146478,76,66,winter
1992-02-25,11,NA,74,57.125,winter
1992-02-26,7,NA,70,53.375,winter
1992-02-27,11,NA,69,57.125,winter
1992-02-28,12,NA,72,60.25,winter
1992-02-29,14,NA,77,63.125,winter
1992-03-01,15,12.585479656999999,74.5,63.5,winter
1992-03-02,9,NA,75,64.375,winter
1992-03-03,11,NA,75.5,60.5,winter
1992-03-04,15,NA,76.5,62,winter
1992-03-05,15,NA,73.5,58.5,winter
1992-03-06,12,NA,74.5,61.625,winter
1992-03-07,13,15.63125,73.5,62.5,winter
1992-03-08,15,NA,75.5,62.125,winter
1992-03-09,10,NA,77,60.375,winter
1992-03-10,11,NA,76,61.25,winter
1992-03-11,12,NA,74.5,61.375,winter
1992-03-12,19,NA,71.5,64.375,winter
1992-03-13,14,12.455614035000002,75,63.375,winter
1992-03-14,13,NA,75.5,62.375,winter
1992-03-15,11,NA,77,62,winter
1992-03-16,10,NA,78,59.875,winter
1992-03-17,14,NA,76,62.125,winter
1992-03-18,12,NA,73,57.5,winter
1992-03-19,11,20.2504137704,71.5,58.5,winter
