date,mortality,pm10,temp,dewpt,season
1992-01-01,28,26,50.625,40.94375,winter
1992-01-02,31,NA,48.125,40.158333333,winter
1992-01-03,27,NA,51.875,45.775,winter
1992-01-04,26,NA,54.5,47.40625,winter
1992-01-05,30,NA,52.125,44.78125,winter
1992-01-06,34,NA,51.375,44.29375,winter
1992-01-07,27,18.999999995,46.875,41.90625,winter
1992-01-08,31,NA,46.75,39.7,winter
1992-01-09,28,NA,47,41.46875,winter
1992-01-10,27,NA,48,42.66875,winter
1992-01-11,29,NA,49.875,38.875,winter
1992-01-12,26,NA,49.5,34.34375,winter
1992-01-13,29,29.999999999699998,45.625,37.1125,winter
1992-01-14,33,NA,48.25,40.9375,winter
1992-01-15,16,NA,47.875,40.9,winter
1992-01-16,28,NA,45.625,41.03125,winter
1992-01-17,23,NA,48,44.725,winter
1992-01-18,26,NA,51.625,38.83125,winter
1992-01-19,30,33.9999999997,46.625,40.0125,winter
1992-01-20,25,NA,44.125,38.38125,winter
1992-01-21,31,NA,45.75,38.7625,winter
1992-01-22,32,NA,43,37.18125,winter
1992-01-23,21,NA,41.375,35.65625,winter
1992-01-24,27,NA,43.75,36.075,winter
1992-01-25,26,51,46.875,43.225,winter
1992-01-26,28,NA,52.625,44.01875,winter
1992-01-27,30,NA,49.25,43.56875,winter
1992-01-28,20,NA,53.25,48.5375,winter
1992-01-29,20,NA,52.875,44.59375,winter
1992-01-30,32,NA,51.125,44.2,winter
1992-01-31,31,57,52.625,44.7,winter
1992-02-01,21,NA,52.625,46.825,winter
1992-02-02,18,NA,51.25,42.60625,winter
1992-02-03,28,NA,53.5,37.8875,winter
1992-02-04,21,NA,55.25,39.15,winter
1992-02-05,23,NA,51.75,43.39375,winter
1992-02-06,24,19.000000003,53.5,48.33125,winter
1992-02-07,29,NA,56.125,52.05625,winter
1992-02-08,20,NA,57.875,50.2,winter
1992-02-09,21,NA,55.875,48.80625,winter
1992-02-10,16,NA,55.375,49.31875,winter
1992-02-11,11,NA,57.875,51.8875,winter
1992-02-12,21,13.999999997,57.375,47.375,winter
1992-02-13,29,NA,55.375,46.04375,winter
1992-02-14,23,NA,51.625,46.6375,winter
1992-02-15,20,NA,51,45.05,winter
1992-02-16,17,NA,53.125,47.28125,winter
1992-02-17,14,NA,54.875,48.6875,winter
1992-02-18,22,18.000000002999997,54.375,48.85,winter
1992-02-19,20,NA,57.125,54.29375,winter
1992-02-20,20,NA,58.125,51.41875,winter
1992-02-21,24,NA,59.125,54.41875,winter
1992-02-22,21,NA,58.875,52.00625,winter
1992-02-23,19,NA,58.875,47.68125,winter
1992-02-24,26,19.999999997,59.5,48.45625,winter
1992-02-25,20,NA,61.75,50.025,winter
1992-02-26,26,NA,61.25,51.00625,winter
1992-02-27,20,NA,61.25,52.33125,winter
1992-02-28,18,NA,62.875,49.45625,winter
1992-02-29,26,NA,60,45.75625,winter
1992-03-01,21,10.999999997,59.5,50.74375,winter
1992-03-02,21,NA,58.625,51.35,winter
1992-03-03,34,NA,57.875,48.125,winter
1992-03-04,24,NA,57.375,48.75625,winter
1992-03-05,18,NA,56,50.8375,winter
1992-03-06,18,NA,54.875,48.05625,winter
1992-03-07,26,15,54.5,48.075,winter
1992-03-08,22,NA,56.375,48.5875,winter
1992-03-09,15,NA,58.625,50.2,winter
1992-03-10,18,NA,58.125,50.43125,winter
1992-03-11,25,NA,57.25,48.78125,winter
1992-03-12,27,NA,57.5,49.83125,winter
1992-03-13,20,24,58.125,47.4,winter
1992-03-14,16,NA,56.375,47.975,winter
1992-03-15,26,NA,56.875,50.0625,winter
1992-03-16,24,NA,56,48.43125,winter
1992-03-17,18,NA,55.5,47.45625,winter
1992-03-18,25,NA,57.875,50,winter
1992-03-19,22,30,59.25,50.75,winter
1992-03-20,23,NA,60.75,50.8375,winter
1992-03-21,26,NA,60.625,51.85,winter
1992-03-22,29,NA,60.625,52.14375,winter
1992-03-23,28,NA,57.875,49.075,winter
1992-03-24,15,NA,60,49.90625,winter
1992-03-25,19,23,63.125,51.8375,winter
1992-03-26,20,NA,62,53.5,winter
1992-03-27,34,NA,61.75,51.9875,winter
1992-03-28,17,NA,58.5,47.425,winter
1992-03-29,18,NA,57.875,48.175,winter
1992-03-30,18,NA,55.375,47.2125,winter
1992-03-31,25,27,59.875,51.55,winter
1992-04-01,15,NA,63.5,54.1875,spring
1992-04-02,30,NA,60.5,53.3375,spring
1992-04-03,27,NA,59.875,50.64375,spring
1992-04-04,19,NA,58.25,43.01875,spring
1992-04-05,15,NA,56.625,42.54375,spring
1992-04-06,26,24,57.625,43.575,spring
1992-04-07,23,NA,60.625,47.2125,spring
1992-04-08,20,NA,58.625,48.15625,spring
1992-04-09,20,NA,58.5,51.56875,spring
1992-04-10,24,NA,61.75,52.59375,spring
1992-04-11,30,NA,60.875,49.4375,spring
1992-04-12,21,12,59.25,53.13125,spring
1992-04-13,21,NA,60,51.54375,spring
1992-04-14,21,NA,61.125,50.775,spring
1992-04-15,25,NA,61.25,53.59375,spring
1992-04-16,20,NA,64.375,57.1875,spring
1992-04-17,18,NA,63.75,52.88125,spring
1992-04-18,27,19.000000002999997,63.875,49.725,spring
1992-04-19,26,NA,67.375,48.825,spring
1992-04-20,15,NA,63.625,51.83125,spring
1992-04-21,28,NA,59.25,43.8125,spring
1992-04-22,22,NA,58,42.4,spring
1992-04-23,27,NA,62.75,40.775,spring
1992-04-24,14,29,66.375,43.775,spring
1992-04-25,24,NA,67.125,42.15,spring
1992-04-26,25,NA,64,52.0625,spring
