date,mortality,pm10,temp,dewpt,season
1992-01-01,53,45.1861166739,53.5,27.375,winter
1992-01-02,46,NA,56,26.375,winter
1992-01-03,60,NA,57,44,winter
1992-01-04,54,NA,55.5,50.5,winter
1992-01-05,37,NA,57.5,54.25,winter
1992-01-06,52,NA,52.5,41.75,winter
1992-01-07,44,28.165095905,50.5,39.625,winter
1992-01-08,57,NA,52,32.125,winter
1992-01-09,29,NA,54.5,29.125,winter
1992-01-10,42,NA,61,30.5,winter
1992-01-11,36,NA,57,45.375,winter
1992-01-12,45,NA,52,31.125,winter
1992-01-13,39,37.487554908999996,49,28.875,winter
1992-01-14,50,NA,48.5,32.625,winter
1992-01-15,51,NA,51,22.75,winter
1992-01-16,37,NA,53.5,18.5,winter
1992-01-17,58,NA,53,26.125,winter
1992-01-18,53,NA,56.5,28.375,winter
1992-01-19,40,14.341537975000001,57.5,28.875,winter
1992-01-20,56,NA,55,43.125,winter
1992-01-21,52,NA,55,42.75,winter
1992-01-22,41,NA,53.5,37.625,winter
1992-01-23,46,NA,55.5,31.125,winter
1992-01-24,50,NA,61,33.25,winter
1992-01-25,52,49.384269912,61.5,36.125,winter
1992-01-26,39,NA,63.5,34.375,winter
1992-01-27,48,NA,61.5,39,winter
1992-01-28,51,NA,61.5,33.75,winter
1992-01-29,45,NA,62.5,32.25,winter
1992-01-30,49,NA,65.5,31.875,winter
1992-01-31,47,33.293233507,64,32.375,winter
1992-02-01,47,NA,64,37,winter
1992-02-02,36,NA,62.5,41.875,winter
1992-02-03,52,NA,62.5,42.875,winter
1992-02-04,47,NA,65.5,40.75,winter
1992-02-05,38,NA,62.5,40.125,winter
1992-02-06,43,26.878152471999996,65,46.125,winter
1992-02-07,48,NA,59.5,54,winter
1992-02-08,38,NA,60.5,53,winter
1992-02-09,42,NA,61,44.75,winter
1992-02-10,44,NA,61,50,winter
1992-02-11,42,NA,59.5,53.125,winter
1992-02-12,45,20.772232911000003,59.5,47.375,winter
1992-02-13,55,NA,60,43.5,winter
1992-02-14,38,NA,59,42.5,winter
1992-02-15,58,NA,59,42.375,winter
1992-02-16,36,NA,53.5,38.375,winter
1992-02-17,40,NA,55.5,38.625,winter
1992-02-18,44,32.348731516,59.5,33,winter
1992-02-19,50,NA,62,36.625,winter
1992-02-20,43,NA,60,44.75,winter
1992-02-21,44,NA,63,43.875,winter
1992-02-22,41,NA,64.5,48,winter
1992-02-23,40,NA,64.5,25.625,winter
1992-02-24,41,25.060655740000005,66.5,29.75,winter
1992-02-25,37,NA,63.5,21.625,winter
1992-02-26,33,NA,65.5,30.875,winter
1992-02-27,45,NA,65.5,27.5,winter
1992-02-28,46,NA,68.5,29.75,winter
1992-02-29,45,NA,69.5,31.375,winter
1992-03-01,44,32.159256802,67.5,36.625,winter
1992-03-02,45,NA,60,50.375,winter
1992-03-03,39,NA,58,47.125,winter
1992-03-04,38,NA,58.5,46.75,winter
1992-03-05,51,NA,61,44.625,winter
1992-03-06,49,NA,63.5,38.5,winter
1992-03-07,39,30.46593015,63,44.75,winter
1992-03-08,53,NA,55,46,winter
1992-03-09,35,NA,54.5,45.625,winter
1992-03-10,41,NA,58,44.375,winter
1992-03-11,50,NA,63.5,39.125,winter
1992-03-12,40,NA,66.5,36.375,winter
1992-03-13,42,42.609926156,68,38.375,winter
1992-03-14,47,NA,70,35,winter
1992-03-15,46,NA,70,37.75,winter
1992-03-16,53,NA,69,37.625,winter
1992-03-17,58,NA,66,36.5,winter
1992-03-18,49,NA,63,35,winter
1992-03-19,31,42.855801311,67,31,winter
1992-03-20,30,NA,69,36.125,winter
1992-03-21,40,NA,64.5,50.875,winter
1992-03-22,36,NA,63.5,44.25,winter
1992-03-23,26,NA,64,39.375,winter
1992-03-24,35,NA,64.5,34.875,winter
1992-03-25,33,35.661093914,70,36.875,winter
1992-03-26,45,NA,68.5,42.625,winter
1992-03-27,55,NA,61,53.125,winter
1992-03-28,46,NA,63,52.25,winter
1992-03-29,38,NA,67.5,50.25,winter
1992-03-30,44,NA,70,52.5,winter
1992-03-31,50,19.162077098999998,66.5,46.875,winter
1992-04-01,37,NA,60.5,51.75,spring
1992-04-02,32,NA,61.5,45.25,spring
1992-04-03,34,NA,67.5,44,spring
1992-04-04,43,NA,69.5,48.625,spring
1992-04-05,50,NA,70.5,46.375,spring
1992-04-06,27,33.003962038,71.5,42.375,spring
1992-04-07,33,NA,73.5,39.125,spring
1992-04-08,33,NA,73.5,37.75,spring
1992-04-09,37,NA,75.5,39.625,spring
1992-04-10,29,NA,76,43.625,spring
1992-04-11,51,NA,78,42.5,spring
1992-04-12,46,40.803018976000004,82,44.75,spring
1992-04-13,54,NA,80.5,41.625,spring
1992-04-14,38,NA,76.5,48.5,spring
1992-04-15,30,NA,77.5,48.25,spring
1992-04-16,48,NA,76,46.375,spring
1992-04-17,52,NA,76,46,spring
1992-04-18,54,56.622553805,78,34.75,spring
1992-04-19,39,NA,71,26,spring
1992-04-20,41,46.881868529200005,72.5,22.25,spring
1992-04-21,36,NA,76.5,24.375,spring
1992-04-22,41,NA,78,29,spring
1992-04-23,35,NA,78.5,29.625,spring
1992-04-24,37,64.045140726,82.5,27.5,spring
1992-04-25,39,NA,83.5,27.375,spring
1992-04-26,44,NA,85.5,33.5,spring
1992-04-27,27,NA,88,34.75,spring
1992-04-28,35,NA,88,33.75,spring
1992-04-29,34,NA,88.5,32.25,spring
1992-04-30,45,50.989044349,86,32.875,spring
1992-05-01,42,NA,87,40.875,spring
1992-05-02,33,NA,86.5,42.375,spring
1992-05-03,29,NA,88,49.75,spring
1992-05-04,34,NA,85,51.875,spring
1992-05-05,50,NA,79,58.5,spring
1992-05-06,24,23.560871255,80,48.25,spring
1992-05-07,35,NA,82,43.875,spring
1992-05-08,39,NA,84,47.75,spring
1992-05-09,34,NA,78,50.75,spring
1992-05-10,43,NA,79,54,spring
1992-05-11,44,NA,83.5,51.25,spring
1992-05-12,42,37.708528413,84.5,40.375,spring
1992-05-13,42,NA,86.5,38.75,spring
1992-05-14,38,NA,86.5,41.25,spring
1992-05-15,41,NA,87.5,38.5,spring
1992-05-16,39,NA,86.5,40.5,spring
1992-05-17,41,NA,87.5,43.875,spring
1992-05-18,47,69.439761601,89,44.5,spring
1992-05-19,40,NA,83.5,53.375,spring
1992-05-20,41,NA,79,57.625,spring
1992-05-21,30,NA,70.5,50.125,spring
1992-05-22,35,NA,73.5,44.625,spring
1992-05-23,42,NA,77,55.625,spring
1992-05-24,37,20.199339691,77,42.625,spring
1992-05-25,31,NA,81.5,53.5,spring
1992-05-26,33,NA,82,48.625,spring
1992-05-27,43,NA,86,47.375,spring
1992-05-28,38,NA,84.5,52.875,spring
1992-05-29,30,NA,84,51.375,spring
1992-05-30,42,27.003369107,84.5,50.375,spring
1992-05-31,48,NA,88,44.875,spring
1992-06-01,40,NA,89.5,51.375,spring
1992-06-02,38,NA,91,47.375,spring
1992-06-03,28,NA,92.5,46.625,spring
1992-06-04,53,NA,93,41.875,spring
1992-06-05,53,39.728496751,92,37,spring
1992-06-06,36,NA,89,27.75,spring
1992-06-07,38,NA,82,47.5,spring
1992-06-08,38,NA,82,46,spring
1992-06-09,34,NA,87,45.375,spring
1992-06-10,50,NA,89.5,42.75,spring
1992-06-11,46,30.113228071,89.5,41.5,spring
1992-06-12,40,NA,89,34.125,spring
1992-06-13,32,NA,87.5,25.25,spring
1992-06-14,30,NA,84.5,33,spring
1992-06-15,35,NA,83,34.5,spring
1992-06-16,29,NA,82,33,spring
1992-06-17,38,55.63358117599999,84,32.25,spring
1992-06-18,50,NA,88.5,38.875,spring
1992-06-19,37,NA,91.5,39.625,spring
1992-06-20,37,NA,91.5,40,spring
1992-06-21,25,NA,92.5,44.125,spring
1992-06-22,46,NA,94.5,49.125,spring
1992-06-23,40,49.1541888682,95.5,50.875,spring
1992-06-24,48,NA,97,51,spring
1992-06-25,35,NA,95.5,40.625,spring
1992-06-26,36,NA,92,43.625,spring
1992-06-27,36,NA,92,45.25,spring
1992-06-28,29,NA,93.5,46.875,spring
1992-06-29,34,42.908846727000004,93.5,50.625,spring
1992-06-30,30,NA,92,43.625,spring
1992-07-01,45,NA,88,38.375,summer
1992-07-02,35,NA,86.5,42.125,summer
1992-07-03,34,NA,92,45.125,summer
1992-07-04,30,NA,94.5,45.25,summer
1992-07-05,43,39.84564145,96.5,49.75,summer
1992-07-06,48,NA,96,63.25,summer
