date,mortality,pm10,temp,dewpt,season
1992-01-01,33,39.672647972099995,30.5,25.375,winter
1992-01-02,60,41.8099599951,37,30.875,winter
1992-01-03,45,27.927037219,47,42,winter
1992-01-04,37,9.408090368999996,47,39.75,winter
1992-01-05,47,12.221093079,37.5,30.125,winter
1992-01-06,35,17.426938239,34,26.5,winter
1992-01-07,39,25.167045621999996,34.5,26.875,winter
1992-01-08,42,33.2890065004,33.5,24.25,winter
1992-01-09,45,29.146165125,45,34.75,winter
1992-01-10,47,6.674282481999999,35.5,28.25,winter
1992-01-11,37,16.311558872,31,24.875,winter
1992-01-12,28,28.74900865,38,27.25,winter
1992-01-13,40,21.387292942000002,47,44,winter
1992-01-14,51,7.593602111999999,36,13.75,winter
1992-01-15,43,23.343634532,17.5,17,winter
1992-01-16,35,13.535548282,12.5,-5.25,winter
1992-01-17,53,16.151538462,21,20.25,winter
1992-01-18,32,8.748681882,12,0.125,winter
1992-01-19,35,22.845770218,8,-2.125,winter
1992-01-20,50,17.091669742,21.5,12,winter
1992-01-21,24,31.124484891,29,26.625,winter
1992-01-22,37,50.382422418000004,33.5,28.5,winter
1992-01-23,41,22.059476602,39.5,36.25,winter
1992-01-24,29,7.177489401999999,26,13.375,winter
1992-01-25,45,20.782556262,17.5,19.5,winter
1992-01-26,34,19.945688322000002,21,18.375,winter
1992-01-27,41,56.093356643999996,27,24.625,winter
1992-01-28,36,103.966828309,28.5,28.875,winter
1992-01-29,57,42.982008094,31.5,26,winter
1992-01-30,48,42.919751718,34,30.125,winter
1992-01-31,51,21.958575182,33.5,27.625,winter
1992-02-01,44,10.158944802,25,12.375,winter
1992-02-02,36,24.55171744,24.5,15.875,winter
1992-02-03,40,61.521446296,32,27.625,winter
1992-02-04,40,43.202279203,37.5,22.375,winter
1992-02-05,36,19.131305902,26.5,17.25,winter
1992-02-06,33,57.791348875,32,17.5,winter
1992-02-07,28,52.081256772,31,28.625,winter
1992-02-08,51,12.072489472000001,23.5,14.375,winter
1992-02-09,35,13.437073332,17,6,winter
1992-02-10,38,31.186926476,23.5,15.625,winter
1992-02-11,31,33.4262907606,30.5,20.875,winter
1992-02-12,45,24.256219329,17,2.125,winter
1992-02-13,39,28.742150707,32,35.75,winter
1992-02-14,41,25.362016126,34.5,32.625,winter
1992-02-15,46,19.714435352000002,43,49.125,winter
1992-02-16,41,12.098814632,41,30.875,winter
1992-02-17,37,NA,39.5,30.25,winter
1992-02-18,39,22.208639432,44.5,42.625,winter
1992-02-19,34,24.052639155,44,37.125,winter
1992-02-20,40,17.481930122,36,30.875,winter
1992-02-21,40,22.549315966,41,24.375,winter
1992-02-22,37,39.159697283599996,48.5,29.875,winter
1992-02-23,33,75.15637375,48,38.25,winter
1992-02-24,44,27.835824829,45.5,42.25,winter
1992-02-25,34,24.712820513,42.5,40.125,winter
1992-02-26,40,22.519033237000002,34,25.125,winter
1992-02-27,38,21.138695582,39,31.25,winter
1992-02-28,44,19.346162182,41,37.25,winter
1992-02-29,32,14.170322372000001,25.5,10.75,winter
1992-03-01,57,21.482193652,37.5,30.5,winter
1992-03-02,36,32.275276601,55,41.625,winter
1992-03-03,34,49.614960488,48,38.25,winter
1992-03-04,33,61.622857625,56,50,winter
1992-03-05,39,70.93431557299999,60.5,45.375,winter
1992-03-06,44,42.822737719,56,53,winter
1992-03-07,42,19.745313302,53,51.25,winter
1992-03-08,38,23.395406703,53,49.75,winter
1992-03-09,34,39.22163019,52.5,50.125,winter
1992-03-10,34,23.329965112,46,37,winter
1992-03-11,44,15.547756092,23,12.375,winter
1992-03-12,45,17.038307902,24.5,9.125,winter
1992-03-13,46,21.001754462,21,17.25,winter
1992-03-14,35,23.646086214,25,26,winter
1992-03-15,43,15.003138841999998,22.5,13.875,winter
1992-03-16,53,18.830590821999998,22,17.5,winter
1992-03-17,37,28.065116894,35,37.75,winter
1992-03-18,41,16.855053601999998,32,33,winter
1992-03-19,38,17.111106411999998,34,30.25,winter
1992-03-20,43,20.299270442,33,25.625,winter
