date,mortality,pm10,temp,dewpt,season
1992-01-01,25,14.589779741000005,54,34.5625,winter
1992-01-02,34,NA,57.666666667,29.71875,winter
1992-01-03,23,NA,52.083333333,45.625,winter
1992-01-04,22,NA,55.916666667,50.21875,winter
1992-01-05,41,NA,53.166666667,45.03125,winter
1992-01-06,29,NA,51.25,42.53125,winter
1992-01-07,30,14.236761876999996,47.833333333,42.625,winter
1992-01-08,25,NA,51.666666667,36.0625,winter
1992-01-09,29,NA,54.5,32.90625,winter
1992-01-10,30,NA,56.916666667,34.59375,winter
1992-01-11,22,NA,56.166666667,33.59375,winter
1992-01-12,33,NA,54.416666667,33.875,winter
1992-01-13,25,33.095035371,50.75,30.21875,winter
1992-01-14,20,NA,52.25,36.0625,winter
1992-01-15,32,NA,56.416666667,31.40625,winter
1992-01-16,15,NA,55,36.78125,winter
1992-01-17,19,NA,52.5,44.21875,winter
1992-01-18,20,NA,52.333333333,42.71875,winter
1992-01-19,22,16.942850298000003,55.75,30.65625,winter
1992-01-20,30,NA,56.666666667,34.46875,winter
1992-01-21,21,NA,53.25,42.3125,winter
1992-01-22,24,NA,54.666666667,41.1875,winter
1992-01-23,17,NA,57.166666667,37.96875,winter
1992-01-24,22,NA,60.083333333,34.96875,winter
1992-01-25,20,43.783243064400004,57.166666667,39.65625,winter
1992-01-26,18,NA,55.5,43.8125,winter
1992-01-27,20,NA,58.083333333,44.8125,winter
1992-01-28,23,NA,56.583333333,43.21875,winter
1992-01-29,18,NA,63.416666667,31.9375,winter
1992-01-30,25,NA,63.083333333,33.1875,winter
1992-01-31,27,28.560549960000003,61.666666667,33.28125,winter
1992-02-01,16,NA,57.833333333,43.71875,winter
1992-02-02,23,NA,60.75,34.21875,winter
1992-02-03,19,NA,63.666666667,24.8125,winter
1992-02-04,25,NA,60.833333333,34.875,winter
1992-02-05,26,NA,59.833333333,45.40625,winter
1992-02-06,19,13.524268103,58.333333333,52.1875,winter
1992-02-07,23,NA,58.833333333,50.96875,winter
1992-02-08,21,NA,58.166666667,48.8125,winter
1992-02-09,18,NA,56.833333333,49.1875,winter
1992-02-10,26,NA,58,50.5,winter
1992-02-11,22,NA,59,52.84375,winter
1992-02-12,22,11.374633823999996,56.75,52.90625,winter
1992-02-13,25,NA,56.583333333,45.5625,winter
1992-02-14,26,NA,54.166666667,46.90625,winter
1992-02-15,27,NA,54,43.65625,winter
1992-02-16,23,NA,53.583333333,47.15625,winter
1992-02-17,22,NA,56.416666667,48.625,winter
1992-02-18,25,27.505695021,57.333333333,49.875,winter
1992-02-19,20,NA,58.5,53.125,winter
1992-02-20,27,NA,61.583333333,54.25,winter
1992-02-21,18,NA,63.166666667,53.25,winter
1992-02-22,18,NA,64.333333333,49.65625,winter
1992-02-23,19,NA,66.916666667,29.5625,winter
1992-02-24,14,14.68152039,65.25,31.8125,winter
1992-02-25,20,NA,66.416666667,38.15625,winter
1992-02-26,27,NA,66.833333333,34.0625,winter
1992-02-27,27,NA,66.166666667,32.75,winter
1992-02-28,21,NA,66.083333333,35.5625,winter
1992-02-29,22,NA,63.833333333,44.28125,winter
1992-03-01,22,23.973196685999994,62.833333333,46.15625,winter
1992-03-02,26,NA,57.583333333,52.21875,winter
