date,mortality,pm10,temp,dewpt,season
1992-01-01,25,7.180096331999998,54.25,34.5625,winter
1992-01-02,28,NA,59.25,29.71875,winter
1992-01-03,28,NA,52.375,45.625,winter
1992-01-04,28,NA,56.375,50.21875,winter
1992-01-05,28,NA,53.25,45.03125,winter
1992-01-06,43,NA,49.875,42.53125,winter
1992-01-07,31,0.7092272659999992,47.5,42.625,winter
1992-01-08,28,NA,50.75,36.0625,winter
1992-01-09,24,NA,54,32.90625,winter
1992-01-10,29,NA,57.125,34.59375,winter
1992-01-11,21,NA,57.25,33.59375,winter
1992-01-12,23,NA,53.625,33.875,winter
1992-01-13,23,25.233725320000005,51.375,30.21875,winter
1992-01-14,24,NA,53.125,36.0625,winter
1992-01-15,26,NA,56.625,31.40625,winter
1992-01-16,28,NA,57,36.78125,winter
1992-01-17,20,NA,53.5,44.21875,winter
1992-01-18,32,NA,52.75,42.71875,winter
1992-01-19,20,11.594177339999998,55.875,30.65625,winter
1992-01-20,24,NA,56.5,34.46875,winter
1992-01-21,27,NA,54.375,42.3125,winter
1992-01-22,30,NA,55.5,41.1875,winter
1992-01-23,20,NA,58.25,37.96875,winter
1992-01-24,18,NA,61.125,34.96875,winter
1992-01-25,18,40.958588028099996,57.5,39.65625,winter
1992-01-26,20,NA,54.5,43.8125,winter
1992-01-27,32,NA,57.125,44.8125,winter
1992-01-28,20,NA,55.875,43.21875,winter
1992-01-29,20,NA,63.625,31.9375,winter
1992-01-30,14,NA,64.375,33.1875,winter
1992-01-31,15,43.1051912568,62,33.28125,winter
1992-02-01,24,NA,57.75,43.71875,winter
1992-02-02,30,NA,59.375,34.21875,winter
1992-02-03,32,NA,63.25,24.8125,winter
1992-02-04,22,NA,61,34.875,winter
1992-02-05,31,30,59.25,45.40625,winter
1992-02-06,25,-2.762226773000002,56.75,52.1875,winter
1992-02-07,22,NA,57,50.96875,winter
1992-02-08,16,NA,57,48.8125,winter
1992-02-09,18,NA,56,49.1875,winter
1992-02-10,23,NA,56,50.5,winter
1992-02-11,17,NA,57.75,52.84375,winter
1992-02-12,27,-9.026596040000001,55.625,52.90625,winter
1992-02-13,16,NA,54.875,45.5625,winter
1992-02-14,22,NA,53.5,46.90625,winter
1992-02-15,16,NA,52.5,43.65625,winter
1992-02-16,22,NA,53.375,47.15625,winter
1992-02-17,14,NA,56.125,48.625,winter
1992-02-18,24,15.474170706999999,56,49.875,winter
1992-02-19,16,NA,57.25,53.125,winter
1992-02-20,21,32.344166666999996,61.375,54.25,winter
1992-02-21,21,NA,62,53.25,winter
1992-02-22,24,NA,63,49.65625,winter
1992-02-23,29,NA,64.875,29.5625,winter
1992-02-24,21,16.197940949999996,64.625,31.8125,winter
1992-02-25,28,NA,66.875,38.15625,winter
1992-02-26,26,NA,66.25,34.0625,winter
1992-02-27,17,NA,66.5,32.75,winter
1992-02-28,33,NA,66.375,35.5625,winter
1992-02-29,21,NA,63,44.28125,winter
1992-03-01,18,14.634667327000003,61.5,46.15625,winter
1992-03-02,16,NA,56.875,52.21875,winter
1992-03-03,29,NA,57.75,50.5,winter
1992-03-04,25,NA,58.75,49.5,winter
1992-03-05,17,NA,58.875,45.6875,winter
1992-03-06,20,NA,57.375,48.53125,winter
1992-03-07,17,9.970768720000002,53.875,44.71875,winter
1992-03-08,19,NA,54.875,46.0625,winter
1992-03-09,28,NA,57.5,48.46875,winter
1992-03-10,23,NA,58.625,49.892857143,winter
1992-03-11,22,NA,60.625,48.75,winter
1992-03-12,20,NA,62.5,50.15625,winter
1992-03-13,25,68.060677966,62,47.84375,winter
1992-03-14,16,NA,59.625,43.875,winter
1992-03-15,27,NA,57.875,45.96875,winter
1992-03-16,27,NA,58.125,46.46875,winter
1992-03-17,13,NA,58.75,46.299107143,winter
1992-03-18,20,NA,57.5,45.71875,winter
1992-03-19,28,27.269809131000002,57.5,47.28125,winter
1992-03-20,19,NA,58.125,52.53125,winter
1992-03-21,30,NA,57.25,49.5,winter
1992-03-22,21,NA,57,50.875,winter
