date,mortality,pm10,temp,dewpt,season
1992-01-01,63,31.332441273,57.6,36.255,winter
1992-01-02,37,NA,64.6,32.65,winter
1992-01-03,36,NA,56,50.165,winter
1992-01-04,41,NA,59.8,52.175,winter
1992-01-05,38,NA,55.2,48.32,winter
1992-01-06,35,NA,51.7,44.71,winter
1992-01-07,45,22.332017544,50.3,43.63,winter
1992-01-08,40,NA,55.8,35.295,winter
1992-01-09,40,NA,58.5,33.645,winter
1992-01-10,43,NA,62.6,35.005,winter
1992-01-11,36,NA,59.8,37.055,winter
1992-01-12,32,NA,56.3,35.94,winter
1992-01-13,32,43.4736842103,54.3,32.845,winter
1992-01-14,42,NA,55.2,38.565,winter
1992-01-15,34,NA,60.9,31.81,winter
1992-01-16,37,NA,60.8,37.19,winter
1992-01-17,44,NA,56.3,45.025,winter
1992-01-18,42,NA,55.4,47.885,winter
1992-01-19,29,28.398684207,59.6,33.375,winter
1992-01-20,34,NA,59.4,36.29,winter
1992-01-21,43,NA,56.5,45.76,winter
1992-01-22,45,NA,57.4,45.065,winter
1992-01-23,49,NA,60.5,41.195,winter
1992-01-24,47,NA,64.2,37.44,winter
1992-01-25,31,88.29868421,60.1,42.49,winter
1992-01-26,35,NA,57.5,49.31,winter
1992-01-27,39,NA,59.1,50.635,winter
1992-01-28,37,NA,57.8,48.045,winter
1992-01-29,37,NA,68.3,31.505,winter
1992-01-30,34,NA,67.2,35.135,winter
1992-01-31,38,45.2986842103,65,34.67,winter
1992-02-01,36,NA,59.5,45.68,winter
1992-02-02,52,NA,61.5,39.28,winter
1992-02-03,36,NA,67.4,28.02,winter
1992-02-04,43,NA,64.6,34.6,winter
1992-02-05,37,NA,61.7,46.87,winter
1992-02-06,44,14.207017544,58.7,52.59,winter
1992-02-07,41,NA,58.6,52.11,winter
1992-02-08,38,NA,59,50.83,winter
1992-02-09,43,NA,57.2,50.605,winter
1992-02-10,38,NA,58,52.78,winter
1992-02-11,35,NA,59,54.525,winter
1992-02-12,28,18.123684206999997,57.8,54.075,winter
1992-02-13,32,NA,56.3,48.735,winter
1992-02-14,36,NA,55.4,48.41,winter
1992-02-15,38,NA,54.6,46.89,winter
1992-02-16,44,NA,55,49.265,winter
1992-02-17,42,NA,57.2,50.06,winter
1992-02-18,28,36.057017544,57.6,50.44,winter
1992-02-19,34,NA,58.8,53.52,winter
1992-02-20,38,NA,62.2,55.895,winter
1992-02-21,33,NA,63,55.875,winter
1992-02-22,28,NA,63.2,52.56,winter
1992-02-23,23,NA,66.8,29.72,winter
1992-02-24,31,NA,69.6,30.785,winter
1992-02-25,44,NA,69.4,38.425,winter
1992-02-26,41,NA,69.5,35.18,winter
1992-02-27,31,NA,69.1,33.62,winter
1992-02-28,31,NA,68.3,36.53,winter
1992-02-29,43,NA,64.3,44.775,winter
1992-03-01,30,28.107017544,62.6,46.43,winter
1992-03-02,24,NA,58.4,52.52,winter
1992-03-03,35,NA,59.4,52.615,winter
1992-03-04,20,NA,59.3,51.92,winter
1992-03-05,28,NA,60.1,47.955,winter
1992-03-06,40,NA,58.7,50.285,winter
1992-03-07,31,20.115350880999998,55.1,45.61,winter
1992-03-08,35,NA,55.1,47.85,winter
1992-03-09,40,NA,58.1,49.705,winter
1992-03-10,28,NA,59.2,52.18,winter
